family,task,k,auprc,auroc,kth_model_added,kth_model_own_auprc,n_test,n_positive,prevalence
NR,NR-AR,1,0.8253068451344314,0.8669444444444445,GIN_Pretrained,0.8253068451344314,312,12,0.038461538461538464
NR,NR-AR,2,0.8254909436810164,0.8694444444444444,Morgan_LR,0.775256533589867,312,12,0.038461538461538464
NR,NR-AR,3,0.8188134813191222,0.8663888888888888,Morgan_XGB,0.7490158237324627,312,12,0.038461538461538464
NR,NR-AR,4,0.8217247956851331,0.9005555555555557,GCN_Pretrained,0.7482816428240842,312,12,0.038461538461538464
NR,NR-AR,5,0.821566591626559,0.9005555555555556,Chemprop,0.7216909763914674,312,12,0.038461538461538464
NR,NR-AR,6,0.8048802308802309,0.9308333333333333,ChemBERTa_Pretrained,0.7104395141895141,312,12,0.038461538461538464
NR,NR-AR,7,0.8070570519736318,0.9391666666666666,RDKit_LR,0.7063734319119171,312,12,0.038461538461538464
NR,NR-AR,8,0.7977898672335347,0.9394444444444444,MACCS_LR,0.6959290966252467,312,12,0.038461538461538464
NR,NR-AR,9,0.7974489464483973,0.9372222222222222,GraphSAGE_Pretrained,0.6655373281689072,312,12,0.038461538461538464
NR,NR-AR,10,0.7880626551053626,0.9302777777777778,MACCS_XGB,0.6193740082491958,312,12,0.038461538461538464
NR,NR-AR,11,0.7783772268790995,0.9325,RDKit_XGB,0.6105715097546831,312,12,0.038461538461538464
NR,NR-AR,12,0.7784190610139977,0.9333333333333333,GAT_Pretrained,0.14100959263289933,312,12,0.038461538461538464
NR,NR-AR-LBD,1,0.4017769736871597,0.6418942274455582,MACCS_XGB,0.4017769736871597,274,11,0.040145985401459854
NR,NR-AR-LBD,2,0.38852187240751784,0.7137919115105427,GIN_Pretrained,0.36997790340334624,274,11,0.040145985401459854
NR,NR-AR-LBD,3,0.39907180359760164,0.7296923608710681,Morgan_XGB,0.36896185575430857,274,11,0.040145985401459854
NR,NR-AR-LBD,4,0.40087241794840167,0.7386795713791912,RDKit_XGB,0.36676167498667434,274,11,0.040145985401459854
NR,NR-AR-LBD,5,0.4049345417703644,0.6989284479778777,GraphSAGE_Pretrained,0.3490332995410149,274,11,0.040145985401459854
NR,NR-AR-LBD,6,0.3746376859042428,0.6878672658140339,RDKit_LR,0.33858322532395246,274,11,0.040145985401459854
NR,NR-AR-LBD,7,0.37718753023581963,0.6868302799861735,GCN_Pretrained,0.3075631177315159,274,11,0.040145985401459854
NR,NR-AR-LBD,8,0.37473933243761315,0.6847563083304529,ChemBERTa_Pretrained,0.2975861580800223,274,11,0.040145985401459854
NR,NR-AR-LBD,9,0.3650516976910068,0.6705841686830281,MACCS_LR,0.2730631140347328,274,11,0.040145985401459854
NR,NR-AR-LBD,10,0.3705569050041939,0.6723124783961286,Morgan_LR,0.23083288830469953,274,11,0.040145985401459854
NR,NR-AR-LBD,11,0.3785155171452457,0.6719668164535085,Chemprop,0.14056058132157054,274,11,0.040145985401459854
NR,NR-AR-LBD,12,0.3782851426349814,0.6754234358797097,GAT_Pretrained,0.07360421425141979,274,11,0.040145985401459854
NR,NR-AhR,1,0.5073520813285058,0.7719298245614035,GIN_Pretrained,0.5073520813285058,271,43,0.15867158671586715
NR,NR-AhR,2,0.5212565851546126,0.7944716442268462,Morgan_LR,0.49057264026159025,271,43,0.15867158671586715
NR,NR-AhR,3,0.5386345718066637,0.804875560995512,RDKit_XGB,0.48186327496731896,271,43,0.15867158671586715
NR,NR-AhR,4,0.5394538140166896,0.8089555283557732,GraphSAGE_Pretrained,0.4468986957959624,271,43,0.15867158671586715
NR,NR-AhR,5,0.5326655747387081,0.8110975112199102,RDKit_LR,0.44472330968981744,271,43,0.15867158671586715
NR,NR-AhR,6,0.5430151090048565,0.8127294981640146,MACCS_XGB,0.4392492415693792,271,43,0.15867158671586715
NR,NR-AhR,7,0.5258975728551607,0.8118115055079559,Chemprop,0.4354538733512471,271,43,0.15867158671586715
NR,NR-AhR,8,0.5217190253097665,0.8115055079559363,GCN_Pretrained,0.4290920129376926,271,43,0.15867158671586715
NR,NR-AhR,9,0.5210541383718056,0.8075275397796817,Morgan_XGB,0.4179302508243606,271,43,0.15867158671586715
NR,NR-AhR,10,0.5372063330625825,0.8003875968992248,ChemBERTa_Pretrained,0.40693942140936384,271,43,0.15867158671586715
NR,NR-AhR,11,0.5442412426594203,0.8015095879232966,GAT_Pretrained,0.3765892343467889,271,43,0.15867158671586715
NR,NR-AhR,12,0.5350880188529478,0.7971236230110159,MACCS_LR,0.31899648444349654,271,43,0.15867158671586715
NR,NR-Aromatase,1,0.4514036946759762,0.8059964726631393,RDKit_XGB,0.4514036946759762,204,15,0.07352941176470588
NR,NR-Aromatase,2,0.4449711960423325,0.7954144620811288,Morgan_XGB,0.3794313205375207,204,15,0.07352941176470588
NR,NR-Aromatase,3,0.46002571144728005,0.7925925925925926,MACCS_XGB,0.3571788873498014,204,15,0.07352941176470588
NR,NR-Aromatase,4,0.48512420157032027,0.7978835978835979,GraphSAGE_Pretrained,0.3458393883614836,204,15,0.07352941176470588
NR,NR-Aromatase,5,0.48838943123165846,0.8077601410934745,GIN_Pretrained,0.2975662899235135,204,15,0.07352941176470588
NR,NR-Aromatase,6,0.4392530583452856,0.8024691358024691,ChemBERTa_Pretrained,0.27996380971311974,204,15,0.07352941176470588
NR,NR-Aromatase,7,0.4352131530311368,0.8017636684303351,GCN_Pretrained,0.25938125053302186,204,15,0.07352941176470588
NR,NR-Aromatase,8,0.40803426623006867,0.7922398589065256,Chemprop,0.25520924132381423,204,15,0.07352941176470588
NR,NR-Aromatase,9,0.3788014571519374,0.7841269841269842,Morgan_LR,0.25235557405646547,204,15,0.07352941176470588
NR,NR-Aromatase,10,0.3902014318632027,0.8045855379188713,RDKit_LR,0.25083753300335754,204,15,0.07352941176470588
NR,NR-Aromatase,11,0.3887902005143487,0.8035273368606702,MACCS_LR,0.2058856681087027,204,15,0.07352941176470588
NR,NR-Aromatase,12,0.39009841904631753,0.8035273368606702,GAT_Pretrained,0.16697284095090337,204,15,0.07352941176470588
NR,NR-ER,1,0.4115361675236795,0.7386177041349455,ChemBERTa_Pretrained,0.4115361675236795,236,33,0.13983050847457626
NR,NR-ER,2,0.4525741515162931,0.7586206896551724,Chemprop,0.40268018981146875,236,33,0.13983050847457626
NR,NR-ER,3,0.45415354923004053,0.7602627257799671,Morgan_XGB,0.4018607435783408,236,33,0.13983050847457626
NR,NR-ER,4,0.48517673897729297,0.7784743991640543,MACCS_XGB,0.4018591243536889,236,33,0.13983050847457626
NR,NR-ER,5,0.48388761692311155,0.7829526795044036,GIN_Pretrained,0.39188516910482574,236,33,0.13983050847457626
NR,NR-ER,6,0.4900558247060065,0.7832512315270936,GCN_Pretrained,0.3905120069077661,236,33,0.13983050847457626
NR,NR-ER,7,0.48296230826180664,0.7802657113001941,GraphSAGE_Pretrained,0.37426950583836527,236,33,0.13983050847457626
NR,NR-ER,8,0.48448391191528206,0.7808628153455739,MACCS_LR,0.37022512292981097,236,33,0.13983050847457626
NR,NR-ER,9,0.4826178942969865,0.7796686072548141,RDKit_XGB,0.34064692652314665,236,33,0.13983050847457626
NR,NR-ER,10,0.4684368575537463,0.7789222271980892,Morgan_LR,0.30887657876381946,236,33,0.13983050847457626
NR,NR-ER,11,0.44786418386515187,0.7725033587102553,RDKit_LR,0.23843856763118756,236,33,0.13983050847457626
NR,NR-ER,12,0.44912408952599064,0.7726526347216003,GAT_Pretrained,0.2362482908961027,236,33,0.13983050847457626
NR,NR-ER-LBD,1,0.2428016856484854,0.6400794777178541,MACCS_XGB,0.2428016856484854,284,13,0.045774647887323945
NR,NR-ER-LBD,2,0.25359787110226645,0.6463241555492478,Chemprop,0.20765242085415353,284,13,0.045774647887323945
NR,NR-ER-LBD,3,0.231938554417213,0.6131138234459268,RDKit_LR,0.19354955113292655,284,13,0.045774647887323945
NR,NR-ER-LBD,4,0.22607264427177945,0.6128299744535907,ChemBERTa_Pretrained,0.18551762372454766,284,13,0.045774647887323945
NR,NR-ER-LBD,5,0.23022420674348587,0.621061595231337,GraphSAGE_Pretrained,0.18511087481034352,284,13,0.045774647887323945
NR,NR-ER-LBD,6,0.2228059714309717,0.6063014476298609,RDKit_XGB,0.17294646131340327,284,13,0.045774647887323945
NR,NR-ER-LBD,7,0.22507229735222792,0.6125461254612546,GIN_Pretrained,0.1712893673033434,284,13,0.045774647887323945
NR,NR-ER-LBD,8,0.22453003463436555,0.6077206925915414,GCN_Pretrained,0.17127262475861998,284,13,0.045774647887323945
NR,NR-ER-LBD,9,0.2236452985776768,0.5986375248367869,Morgan_XGB,0.152306267458669,284,13,0.045774647887323945
NR,NR-ER-LBD,10,0.22276181427405684,0.5946636389440818,Morgan_LR,0.15007265738145567,284,13,0.045774647887323945
NR,NR-ER-LBD,11,0.22264192842586605,0.5929605449900653,MACCS_LR,0.12987584941812944,284,13,0.045774647887323945
NR,NR-ER-LBD,12,0.22202718657774578,0.5909736020437127,GAT_Pretrained,0.05159156864220112,284,13,0.045774647887323945
NR,NR-PPAR-gamma,1,0.23390121324169968,0.7045454545454546,Morgan_LR,0.23390121324169968,247,11,0.044534412955465584
NR,NR-PPAR-gamma,2,0.2460935727155764,0.7299691833590138,Chemprop,0.22054850362317982,247,11,0.044534412955465584
NR,NR-PPAR-gamma,3,0.2707264272486443,0.6652542372881356,RDKit_LR,0.19304997773396115,247,11,0.044534412955465584
NR,NR-PPAR-gamma,4,0.2708113319741266,0.6633281972265023,Morgan_XGB,0.11797191973604562,247,11,0.044534412955465584
NR,NR-PPAR-gamma,5,0.2729278820120276,0.6779661016949152,GCN_Pretrained,0.09270418769788735,247,11,0.044534412955465584
NR,NR-PPAR-gamma,6,0.277402548490341,0.6506163328197226,MACCS_XGB,0.08263498843867394,247,11,0.044534412955465584
NR,NR-PPAR-gamma,7,0.27275888359548295,0.6413713405238829,RDKit_XGB,0.07757390811557732,247,11,0.044534412955465584
NR,NR-PPAR-gamma,8,0.2760102757300483,0.6610169491525424,GAT_Pretrained,0.07369811962709942,247,11,0.044534412955465584
NR,NR-PPAR-gamma,9,0.2792923525881892,0.6718027734976888,GraphSAGE_Pretrained,0.07313815269209721,247,11,0.044534412955465584
NR,NR-PPAR-gamma,10,0.27830699750250537,0.6725731895223421,GIN_Pretrained,0.07184394566886264,247,11,0.044534412955465584
NR,NR-PPAR-gamma,11,0.18994899193147882,0.6610169491525424,MACCS_LR,0.05717779692291096,247,11,0.044534412955465584
NR,NR-PPAR-gamma,12,0.18784511335185777,0.6394453004622496,ChemBERTa_Pretrained,0.04914665714558987,247,11,0.044534412955465584
SR,SR-ARE,1,0.5746818560379578,0.7194623655913979,GIN_Pretrained,0.5746818560379578,215,60,0.27906976744186046
SR,SR-ARE,2,0.6282232045189384,0.7382795698924731,ChemBERTa_Pretrained,0.5451924136457954,215,60,0.27906976744186046
SR,SR-ARE,3,0.6343301434314298,0.7336559139784946,GraphSAGE_Pretrained,0.4970709454472939,215,60,0.27906976744186046
SR,SR-ARE,4,0.6371267436312242,0.7369892473118279,GCN_Pretrained,0.4925228897836912,215,60,0.27906976744186046
SR,SR-ARE,5,0.6177142686350727,0.7250537634408601,RDKit_LR,0.4701185407270023,215,60,0.27906976744186046
SR,SR-ARE,6,0.6145064965748183,0.7226881720430107,Morgan_LR,0.45014010171404095,215,60,0.27906976744186046
SR,SR-ARE,7,0.5911457086645293,0.7183870967741935,MACCS_XGB,0.427050001248873,215,60,0.27906976744186046
SR,SR-ARE,8,0.5877036677049774,0.7154838709677419,RDKit_XGB,0.4223369346171005,215,60,0.27906976744186046
SR,SR-ARE,9,0.5506859605284805,0.7037634408602149,Chemprop,0.3979368335543927,215,60,0.27906976744186046
SR,SR-ARE,10,0.5533385872720783,0.699247311827957,Morgan_XGB,0.3860191727557615,215,60,0.27906976744186046
SR,SR-ARE,11,0.5502005095658093,0.6950537634408602,MACCS_LR,0.37731271421042534,215,60,0.27906976744186046
SR,SR-ARE,12,0.5487234477102337,0.6955913978494623,GAT_Pretrained,0.3711773150371647,215,60,0.27906976744186046
SR,SR-ATAD5,1,0.20500528638531018,0.7776132035548032,Morgan_LR,0.20500528638531018,295,17,0.0576271186440678
SR,SR-ATAD5,2,0.24230578681542733,0.756453660600931,GIN_Pretrained,0.19959864315043413,295,17,0.0576271186440678
SR,SR-ATAD5,3,0.3455697049365436,0.756453660600931,ChemBERTa_Pretrained,0.1994956753534915,295,17,0.0576271186440678
SR,SR-ATAD5,4,0.3501047166440881,0.7433347439695303,RDKit_LR,0.1769876255892548,295,17,0.0576271186440678
SR,SR-ATAD5,5,0.35206919893176836,0.7719001269572577,Morgan_XGB,0.17565108311928979,295,17,0.0576271186440678
SR,SR-ATAD5,6,0.29047501897352146,0.7636479052052475,Chemprop,0.14824738804981352,295,17,0.0576271186440678
SR,SR-ATAD5,7,0.29614644180096694,0.7689377909437156,GCN_Pretrained,0.14402714220169366,295,17,0.0576271186440678
SR,SR-ATAD5,8,0.2870617497360904,0.7702073635209479,GraphSAGE_Pretrained,0.1413118960442756,295,17,0.0576271186440678
