family,task,peak_k,peak_auprc,k4_auprc,k4_auprc_bootstrap_sd,peak_within_k4_auprc_plus_1sd,k4_auroc,k4_auroc_bootstrap_sd,ranked_candidates
NR,NR-AR,2,0.8254909436810164,0.8217247956851331,0.10358772997388994,True,0.9005555555555557,0.06599095721314807,GIN_Pretrained;Morgan_LR;Morgan_XGB;GCN_Pretrained;Chemprop;ChemBERTa_Pretrained;RDKit_LR;MACCS_LR;GraphSAGE_Pretrained;MACCS_XGB;RDKit_XGB;GAT_Pretrained
NR,NR-AR-LBD,5,0.4049345417703644,0.40087241794840167,0.14048699424670397,True,0.7386795713791912,0.08380909463543684,MACCS_XGB;GIN_Pretrained;Morgan_XGB;RDKit_XGB;GraphSAGE_Pretrained;RDKit_LR;GCN_Pretrained;ChemBERTa_Pretrained;MACCS_LR;Morgan_LR;Chemprop;GAT_Pretrained
NR,NR-AhR,11,0.5442412426594203,0.5394538140166896,0.0677724771362775,True,0.8089555283557732,0.03562786026791163,GIN_Pretrained;Morgan_LR;RDKit_XGB;GraphSAGE_Pretrained;RDKit_LR;MACCS_XGB;Chemprop;GCN_Pretrained;Morgan_XGB;ChemBERTa_Pretrained;GAT_Pretrained;MACCS_LR
NR,NR-Aromatase,5,0.48838943123165846,0.48512420157032027,0.11509679295987275,True,0.7978835978835979,0.06915574103700252,RDKit_XGB;Morgan_XGB;MACCS_XGB;GraphSAGE_Pretrained;GIN_Pretrained;ChemBERTa_Pretrained;GCN_Pretrained;Chemprop;Morgan_LR;RDKit_LR;MACCS_LR;GAT_Pretrained
NR,NR-ER,6,0.4900558247060065,0.48517673897729297,0.07532593931202103,True,0.7784743991640543,0.046664199666054895,ChemBERTa_Pretrained;Chemprop;Morgan_XGB;MACCS_XGB;GIN_Pretrained;GCN_Pretrained;GraphSAGE_Pretrained;MACCS_LR;RDKit_XGB;Morgan_LR;RDKit_LR;GAT_Pretrained
NR,NR-ER-LBD,2,0.25359787110226645,0.22607264427177945,0.1067010298817844,True,0.6128299744535907,0.1010245845146666,MACCS_XGB;Chemprop;RDKit_LR;ChemBERTa_Pretrained;GraphSAGE_Pretrained;RDKit_XGB;GIN_Pretrained;GCN_Pretrained;Morgan_XGB;Morgan_LR;MACCS_LR;GAT_Pretrained
NR,NR-PPAR-gamma,9,0.2792923525881892,0.2708113319741266,0.12697922782082077,True,0.6633281972265023,0.08159568841200418,Morgan_LR;Chemprop;RDKit_LR;Morgan_XGB;GCN_Pretrained;MACCS_XGB;RDKit_XGB;GAT_Pretrained;GraphSAGE_Pretrained;GIN_Pretrained;MACCS_LR;ChemBERTa_Pretrained
SR,SR-ARE,4,0.6371267436312242,0.6371267436312242,0.05229579355826845,True,0.7369892473118279,0.04326487860595091,GIN_Pretrained;ChemBERTa_Pretrained;GraphSAGE_Pretrained;GCN_Pretrained;RDKit_LR;Morgan_LR;MACCS_XGB;RDKit_XGB;Chemprop;Morgan_XGB;MACCS_LR;GAT_Pretrained
SR,SR-ATAD5,5,0.35206919893176836,0.3501047166440881,0.10448615170835826,True,0.7433347439695303,0.05864490281676971,Morgan_LR;GIN_Pretrained;ChemBERTa_Pretrained;RDKit_LR;Morgan_XGB;Chemprop;GCN_Pretrained;GraphSAGE_Pretrained;MACCS_XGB;GAT_Pretrained;MACCS_LR;RDKit_XGB
SR,SR-HSE,1,0.47006694201447813,0.3637651810629041,0.0878977921748747,False,0.84966838614591,0.03279937661064922,GIN_Pretrained;GCN_Pretrained;GraphSAGE_Pretrained;ChemBERTa_Pretrained;MACCS_XGB;Chemprop;Morgan_LR;RDKit_XGB;MACCS_LR;Morgan_XGB;RDKit_LR;GAT_Pretrained
SR,SR-MMP,9,0.6540956374873128,0.6253212977232148,0.06974367166976769,True,0.8819706994328922,0.025332452854882035,GCN_Pretrained;GIN_Pretrained;MACCS_XGB;ChemBERTa_Pretrained;RDKit_LR;GraphSAGE_Pretrained;Morgan_LR;Morgan_XGB;Chemprop;MACCS_LR;RDKit_XGB;GAT_Pretrained
SR,SR-p53,6,0.5412141039505137,0.496149334121656,0.07031579381787643,True,0.7923728813559321,0.04094070075780492,GIN_Pretrained;GraphSAGE_Pretrained;Chemprop;GCN_Pretrained;Morgan_LR;ChemBERTa_Pretrained;MACCS_XGB;MACCS_LR;RDKit_LR;RDKit_XGB;Morgan_XGB;GAT_Pretrained
