k,auprc_mean,auprc_std,auroc_mean,auroc_std
1,0.445712325617474,0.17386455646698046,0.7648746767265321,0.08123829189682191
2,0.4584506822708625,0.17212587198967724,0.7782473269752835,0.07085012521177657
3,0.47504972416170027,0.16322395208913723,0.7725053182411589,0.08155501277510298
4,0.4751419348022359,0.16815356224291347,0.7754202318528631,0.08383267438996754
5,0.4758252259235736,0.1690560552178378,0.7707964362181468,0.08040474338226147
6,0.4645437226098017,0.17312841299875503,0.7678136176483088,0.09153019570950584
7,0.458167728872461,0.17137547959103827,0.7656838284366767,0.09324032708141773
8,0.4518026625650151,0.17239997449624958,0.7639834688145997,0.09217314938613352
9,0.4477460501536454,0.16957035853491428,0.7604474912667846,0.09336471672218243
10,0.4457409026474957,0.16838585601386563,0.759973982096497,0.09284214985823257
11,0.43166067247385476,0.18166665545366922,0.7563146368633517,0.09446523778729458
12,0.43078283120444194,0.1818184662368296,0.7541445983713736,0.0963522980705327
