variant,task,cell,repeat_id,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
standardized,NR-AR,HA1E,0,0.5117530973674658,0.7523974749312381,0.3826061119369836,0.1063994280110198,0.5117530973674658,0.7523974749312381,0.20800356582474616,0.053580817052449756,0.5117530973674658,0.7523974749312381,0.3826061115259284,0.10639942784099773,0.5117530973674658,0.7523974749312381,0.20800356565648176,0.05358081708231196,0.0,0.0,-4.110551787839256e-10,-1.7002207142180482e-10,0.0,0.0,-1.6826438020700608e-10,2.9862205763731e-11,0.0,0.0,-0.17460254586944662,-0.05281861075868577
standardized,NR-AR,HA1E,1,0.4689724238324538,0.7399987936157473,0.3832612981013782,0.106579319380223,0.4689724238324538,0.7399987936157473,0.2142612559935563,0.05571380776987195,0.4689724238324538,0.7399987936157473,0.3832612978349047,0.10657931928267954,0.4689724238324538,0.7399987936157473,0.21426125573624524,0.05571380776286532,0.0,0.0,-2.664734544133296e-10,-9.75434483185822e-11,0.0,0.0,-2.5731104469350897e-10,-7.0066341617547325e-12,0.0,0.0,-0.1690000420986595,-0.050865511519814235
standardized,NR-AR,HA1E,2,0.467672108876683,0.7178453614150062,0.38365433782490016,0.10674453003469583,0.467672108876683,0.7178453614150062,0.20739085431100396,0.05327333733354346,0.467672108876683,0.7178453614150062,0.3836543376136495,0.10674452995699697,0.467672108876683,0.7178453614150062,0.20739085407251068,0.05327333730889163,0.0,0.0,-2.1125072802163912e-10,-7.76988695605496e-11,0.0,0.0,-2.384932862309341e-10,-2.46518236379778e-11,0.0,0.0,-0.1762634835411388,-0.053471192648105334
standardized,NR-AR,HA1E,3,0.45671684135468027,0.7319862489595925,0.3809277872148257,0.10564469989098577,0.45671684135468027,0.7319862489595925,0.20574547096278986,0.0529090819307879,0.45671684135468027,0.7319862489595925,0.3809277868758523,0.10564469977009619,0.45671684135468027,0.7319862489595925,0.20574547064267318,0.052909081892985835,0.0,0.0,-3.389733271852435e-10,-1.208895844539981e-10,0.0,0.0,-3.201167053656917e-10,-3.780207535886149e-11,0.0,0.0,-0.17518231623317915,-0.052735617877110355
standardized,NR-AR,HA1E,4,0.45672450501679884,0.6797855006102784,0.3871506370393701,0.10832859835636441,0.45672450501679884,0.6797855006102784,0.21250964167482939,0.0546764409663972,0.45672450501679884,0.6797855006102784,0.38715063679437983,0.10832859827178849,0.45672450501679884,0.6797855006102784,0.21250964141352896,0.05467644093330769,0.0,0.0,-2.449902170020835e-10,-8.457592681754278e-11,0.0,0.0,-2.613003702300887e-10,-3.3089511686235086e-11,0.0,0.0,-0.17464099538085084,-0.05365215733848081
standardized,NR-AR,HA1E,5,0.4433359594959009,0.7134964030378349,0.38021394869279224,0.10523800590638033,0.4433359594959009,0.7134964030378349,0.2160520053953085,0.056590808402122626,0.4433359594959009,0.7134964030378349,0.38021394841962824,0.1052380058104552,0.44532781894970325,0.725434387533959,0.21539891054082094,0.05647202134718261,0.0,0.0,-2.7316399142662817e-10,-9.592512895117977e-11,0.0019918594538023914,0.011937984496124033,-0.0006530948544875459,-0.00011878705494002411,0.0019918594538023914,0.011937984496124033,-0.1648150378788073,-0.048765984463272585
standardized,NR-AR,HA1E,6,0.4327091554338519,0.7314282980783771,0.3807481787105914,0.10547459189853559,0.4327091554338519,0.7314282980783771,0.1997387978363004,0.050305521179140965,0.4327091554338519,0.7314282980783771,0.38074817826801494,0.10547459172779512,0.4327091554338519,0.7314282980783771,0.19973879743315748,0.0503055211165799,0.0,0.0,-4.4257646436562935e-10,-1.7074046620990656e-10,0.0,0.0,-4.0314294125209924e-10,-6.256106188651244e-11,0.0,0.0,-0.18100938083485743,-0.05516907061121523
standardized,NR-AR,HA1E,7,0.4667564967104004,0.7307650379679278,0.3811858087546544,0.10577264148680374,0.4667564967104004,0.7307650379679278,0.20957685559897055,0.05420524809898384,0.4667564967104004,0.7307650379679278,0.38118580841349997,0.10577264136207909,0.4667564967104004,0.7307650379679278,0.20957685530302647,0.05420524807039495,0.0,0.0,-3.4115441582827086e-10,-1.2472465005242127e-10,0.0,0.0,-2.9594410255739945e-10,-2.858889652790353e-11,0.0,0.0,-0.17160895311047353,-0.05156739329168415
standardized,NR-AR,HA1E,8,0.4695903340840374,0.755656454113782,0.37671920253976915,0.10363382867542519,0.4695903340840374,0.755656454113782,0.20049738375275905,0.051553811516468,0.4695903340840374,0.755656454113782,0.37671920225706745,0.10363382856828493,0.4695903340840374,0.755656454113782,0.20049738351494942,0.05155381150009316,0.0,0.0,-2.8270173979549894e-10,-1.0714023557234497e-10,0.0,0.0,-2.3780963864794556e-10,-1.637483412753049e-11,0.0,0.0,-0.176221818742118,-0.052080017068191785
standardized,NR-AR,HA1E,9,0.3926540559617425,0.6763305059957545,0.385802844520321,0.10763409311217087,0.3926540559617425,0.6763305059957545,0.2107551431625899,0.05396143417030935,0.3926540559617425,0.6763305059957545,0.38580284413271676,0.10763409298333719,0.3926540559617425,0.6763305059957545,0.21075514283318428,0.05396143413700455,0.0,0.0,-3.876042153905246e-10,-1.288336715088434e-10,0.0,0.0,-3.2940563610139863e-10,-3.33048061351704e-11,0.0,0.0,-0.17504770129953248,-0.05367265884633264
