field,max_abs_diff,mean_abs_diff,n_changed_gt_1e-9
panel_a_mean,0.004623650356969045,0.0013843348741117267,48
panel_a_repeat_sd,0.0033744730076066065,0.0009560072240548524,48
panel_a_auprc_d_minus_c_mean,0.0,0.0,0
panel_a_auprc_d_minus_c_repeat_sd,0.0,0.0,0
panel_b_mean,0.15435762386387913,0.0486806470854442,48
panel_b_repeat_sd,0.0461974967246315,0.015430365503224535,48
panel_a_nb_mean,0.004623650356969128,0.0013843348741117356,48
panel_a_nb_ci_low,0.00934208573360748,0.0029216027843789565,48
panel_a_nb_ci_high,0.010955425231503252,0.0035096082346817176,48
panel_a_nb_p_value,0.005644199476125515,0.00029487104137660927,24
panel_b_nb_mean,0.1543576238638792,0.04868064708544423,48
panel_b_nb_ci_low,0.1145739673897563,0.04371369641983808,42
panel_b_nb_ci_high,0.2824692451091832,0.08924168247361956,42
panel_b_nb_p_value,0.9273236487167877,0.4376783131069561,42
