family,task,cell,panel_a_mean,panel_a_repeat_sd,panel_a_auprc_d_minus_c_mean,panel_a_auprc_d_minus_c_repeat_sd,panel_a_nb_mean,panel_a_nb_ci_low,panel_a_nb_ci_high,panel_a_nb_p_value,panel_a_n_outer_folds,panel_a_n_repeats,panel_a_auprc_nb_mean,panel_a_auprc_nb_ci_low,panel_a_auprc_nb_ci_high,panel_a_auprc_nb_p_value,panel_a_bh_q_value,panel_a_auprc_bh_q_value,panel_b_mean,panel_b_repeat_sd,n_unique_compounds,panel_b_nb_mean,panel_b_nb_ci_low,panel_b_nb_ci_high,panel_b_nb_p_value,panel_b_bh_q_value,panel_b_n_outer_folds,panel_b_n_repeats
NR,NR-AR,HA1E,-0.17302129757325305,0.004048041029484428,0.0,0.0,-0.17302129757325305,-0.2100092980849374,-0.1360332970615687,4.03512330847798e-15,100,20,0.0,,,,1.210536992543394e-14,,0.0004904240913187,0.005236654693500066,968,0.0004904240913187,-0.011315661670138,0.0122965098527754,0.934475771441366,0.9944839159520432,100,20
NR,NR-AR,HEPG2,-0.19048935330758032,0.00382283279788759,0.0,0.0,-0.19048935330758032,-0.2371954661643748,-0.14378324045078583,1.5199218098495084e-12,100,20,0.0,,,,4.943811862087345e-12,,0.0,0.0,668,0.0,,,,,100,20
NR,NR-AR,HT29,-0.17368271456671847,0.003975470203678729,0.0,0.0,-0.1736827145667184,-0.2077783903241432,-0.13958703880929363,6.373959263120497e-17,100,20,0.0,,,,2.549583705248199e-16,,0.0,0.0,960,0.0,,,,,100,20
NR,NR-AR,MCF7,-0.18133643094425855,0.0042711005294327154,0.0,0.0,-0.1813364309442586,-0.21329075743128448,-0.14938210445723274,1.9974862236583607e-19,100,20,0.0,,,,4.793966936780067e-19,,1.9713805375805e-05,8.816281783100154e-05,1259,1.9713805375805586e-05,-0.0001833558913325,0.0002227835020841,0.8476466200952134,0.9422480043060276,100,20
NR,NR-AR-LBD,HA1E,-0.03094490349252275,0.003577209908596178,0.0,0.0,-0.030944903492522755,-0.0546050920531565,-0.007284714931889005,0.010891717352599094,100,20,0.0,,,,0.010891717352599093,,0.0,0.0,869,0.0,,,,,100,20
NR,NR-AR-LBD,HEPG2,-0.03663304729301179,0.003207692129414176,0.0,0.0,-0.03663304729301178,-0.06054909740236976,-0.012716997183653812,0.003033410308577286,100,20,0.0,,,,0.003309174882084312,,-0.0002869348966825874,0.000711650855506683,598,-0.0002869348966825,-0.0019885970708176,0.0014147272774524,0.7386502007305138,0.8547756967435856,100,20
NR,NR-AR-LBD,HT29,-0.03404559722244808,0.002380552326544269,0.0,0.0,-0.03404559722244808,-0.056506494162613774,-0.011584700282282385,0.0033380974549098445,100,20,0.0,,,,0.0033380974549098445,,0.0003530324019649,0.0009735805041065844,862,0.0003530324019649,-0.0023899786346257,0.0030960434385556,0.7989642853629766,0.9538609038942544,100,20
NR,NR-AR-LBD,MCF7,-0.03490524272338981,0.0035288883478001936,0.0,0.0,-0.0349052427233898,-0.05565588673198783,-0.014154598714791775,0.0011910592274995096,100,20,0.0,,,,0.0011910592274995096,,0.0023356736856574383,0.005459038625395152,1145,0.0023356736856574,-0.0118735977865416,0.0165449451578565,0.7449924329496842,0.9422480043060276,100,20
NR,NR-AhR,HA1E,-0.08155207178516749,0.004676302691259903,0.0,0.0,-0.0815520717851675,-0.11576735198192203,-0.04733679158841297,7.4800518726437295e-06,100,20,0.0,,,,8.976062247172476e-06,,-0.000626282902499161,0.0022645693776238165,849,-0.0006262829024991,-0.0059009061641019,0.0046483403591035,0.8142327080604093,0.9944839159520432,100,20
NR,NR-AhR,HEPG2,-0.0956317269567998,0.008130080562133723,0.0,0.0,-0.09563172695679983,-0.13624226899657838,-0.05502118491702131,9.390448523033225e-06,100,20,0.0,,,,1.2520598030710966e-05,,0.0047268364793283755,0.006379264018552225,585,0.0047268364793283,-0.0127424038781187,0.0221960768367754,0.5925478219800095,0.8547756967435856,100,20
NR,NR-AhR,HT29,-0.08830760798490242,0.005282006262255307,0.0,0.0,-0.0883076079849024,-0.12224686071661539,-0.05436835525318943,1.2578408000794274e-06,100,20,0.0,,,,1.7426686694081566e-06,,0.00015881315706989,0.0005225226580875096,841,0.0001588131570698,-0.0010616620878817,0.0013792884020215,0.7967929465476322,0.9538609038942544,100,20
NR,NR-AhR,MCF7,-0.09306326837837127,0.00525617189075195,0.0,0.0,-0.09306326837837128,-0.12640992419206276,-0.05971661256467981,2.5266722742677527e-07,100,20,0.0,,,,3.368896365690337e-07,,0.0014442808260882831,0.008907503548504156,1111,0.0014442808260882,-0.0189017594320371,0.0217903210842137,0.888273602490802,0.9422480043060276,100,20
NR,NR-Aromatase,HA1E,-0.23561075916943355,0.0070058241953832034,0.0,0.0,-0.23561075916943358,-0.2811848855485818,-0.19003663279028538,2.994211606642879e-17,100,20,0.0,,,,1.1976846426571516e-16,,-0.0094237833166874,0.027665383294758542,759,-0.0094237833166874,-0.0707332764665719,0.0518857098331971,0.761013440754791,0.9944839159520432,100,20
NR,NR-Aromatase,HEPG2,-0.22526352514363518,0.00906827190458749,0.0,0.0,-0.2252635251436352,-0.28060785761436063,-0.16991919267290978,1.6479372873624483e-12,100,20,0.0,,,,4.943811862087345e-12,,0.00710808183968709,0.016827052049961405,512,0.007108081839687,-0.030442942230697,0.0446591059100712,0.7080215854679723,0.8547756967435856,100,20
NR,NR-Aromatase,HT29,-0.2354660725530112,0.0058758978911715165,0.0,0.0,-0.2354660725530113,-0.2836993210644368,-0.1872328240415858,5.282129314753422e-16,100,20,0.0,,,,1.5846387944260266e-15,,0.0011534770933595653,0.017263857620959857,758,0.0011534770933595,-0.0383037425589263,0.0406106967456455,0.9538609038942544,0.9538609038942544,100,20
NR,NR-Aromatase,MCF7,-0.23734417185929657,0.00933408129768308,0.0,0.0,-0.23734417185929652,-0.27667930863317947,-0.19800903508541354,5.8726501696473385e-21,100,20,0.0,,,,2.349060067858935e-20,,0.010782862025446335,0.02242776196986331,1021,0.0107828620254463,-0.0433218260399934,0.0648875500908861,0.6933638516193934,0.9422480043060276,100,20
NR,NR-ER,HA1E,-0.1799471643647057,0.007200269479282746,0.0,0.0,-0.17994716436470573,-0.22560202249878658,-0.13429230623062488,5.799133189852829e-12,100,20,0.0,,,,9.94137118260485e-12,,-0.000253002623359405,0.0006661904495896566,805,-0.0002530026233594,-0.0018014369793238,0.001295431732605,0.746465874457962,0.9944839159520432,100,20
NR,NR-ER,HEPG2,-0.1818722168804165,0.007942014233281672,0.0,0.0,-0.18187221688041647,-0.2430108823644062,-0.12073355139642672,5.0318979649771354e-08,100,20,0.0,,,,1.0063795929954271e-07,,0.0,0.0,540,0.0,,,,,100,20
NR,NR-ER,HT29,-0.18019248136386318,0.008551038280547393,0.0,0.0,-0.1801924813638632,-0.22909683442760778,-0.13128812830011863,6.949564415874128e-11,100,20,0.0,,,,1.1913538998641361e-10,,0.00016833408485866,0.0007528129133483638,799,0.0001683340848586,-0.0015626724984832,0.0018993406682005,0.8473872636098954,0.9538609038942544,100,20
NR,NR-ER,MCF7,-0.1928046849075007,0.0055793187175128935,0.0,0.0,-0.19280468490750063,-0.22644495884313132,-0.15916441097186995,1.1440280625265804e-19,100,20,0.0,,,,3.432084187579741e-19,,-0.0003221696805942513,0.0017840129688282526,1067,-0.0003221696805942,-0.0044247231563574,0.0037803837951689,0.8764932139665897,0.9422480043060276,100,20
NR,NR-ER-LBD,HA1E,-0.21948133294826885,0.005101124764656225,0.0,0.0,-0.21948133294826888,-0.25629239068619225,-0.18267027521034548,1.1821187325855702e-20,100,20,0.0,,,,7.092712395513421e-20,,-0.00121582038728171,0.00442697803422381,907,-0.0012158203872817,-0.0114853159538929,0.0090536751793295,0.8147604466398494,0.9944839159520432,100,20
NR,NR-ER-LBD,HEPG2,-0.22126568897423976,0.00505735032740597,0.0,0.0,-0.22126568897423968,-0.2646484425047271,-0.17788293544375225,5.98416742363956e-17,100,20,0.0,,,,3.5905004541837354e-16,,0.0,0.0,620,0.0,,,,,100,20
NR,NR-ER-LBD,HT29,-0.2193429460453761,0.0051221000132974474,0.0,0.0,-0.21934294604537607,-0.25708599580059743,-0.18159989629015472,5.198080395488224e-20,100,20,0.0,,,,6.23769647458587e-19,,0.000383445265242765,0.00171481935746652,902,0.0003834452652427,-0.0035479283004349,0.0043148188309204,0.8469404536382787,0.9538609038942544,100,20
NR,NR-ER-LBD,MCF7,-0.23232097715052885,0.004503776642955833,0.0,0.0,-0.23232097715052888,-0.26623397367774587,-0.1984079806233119,2.27143009975575e-24,100,20,0.0,,,,2.7257161197069e-23,,0.03860515960848442,0.045243473126367235,1194,0.0386051596084844,-0.0562664309546264,0.1334767501715953,0.4213614964556432,0.9422480043060276,100,20
NR,NR-PPAR-gamma,HA1E,-0.10302578729477141,0.003558243547852437,0.0,0.0,-0.10302578729477142,-0.12892909303662248,-0.07712248155292037,4.08828028262589e-12,100,20,0.0,,,,8.17656056525178e-12,,0.00163808571184553,0.0074073875579730155,811,0.0016380857118455,-0.0153895318923028,0.0186657033159939,0.8490065731357772,0.9944839159520432,100,20
NR,NR-PPAR-gamma,HEPG2,-0.111399337805464,0.005194355283254887,0.0,0.0,-0.11139933780546402,-0.1435026957473366,-0.07929597986359142,5.345015547571551e-10,100,20,0.0,,,,1.2828037314171722e-09,,-0.0004591159833249748,0.0021637593089445877,552,-0.0004591159833249,-0.0054234316529061,0.0045051996862561,0.8547756967435856,0.8547756967435856,100,20
NR,NR-PPAR-gamma,HT29,-0.1095953833222546,0.004258024097435916,0.0,0.0,-0.10959538332225462,-0.13647047261002054,-0.0827202940344887,1.5275874095497722e-12,100,20,0.0,,,,3.666209782919454e-12,,-0.00067342232417576,0.005037117164048324,803,-0.0006734223241757,-0.012141233541145,0.0107943888927935,0.907477402149763,0.9538609038942544,100,20
NR,NR-PPAR-gamma,MCF7,-0.1194126039773602,0.003752034835105959,0.0,0.0,-0.11941260397736016,-0.1411614715801993,-0.09766373637452103,1.2370785598438556e-18,100,20,0.0,,,,2.474157119687711e-18,,0.0,0.0,1073,0.0,,,,,100,20
SR,SR-ARE,HA1E,-0.07184982655916966,0.00708221572652578,0.0,0.0,-0.07184982655916966,-0.11017484571774172,-0.0335248074005976,0.00033074359200117376,100,20,0.0,,,,0.0003608111912740077,,-5.408919900868501e-05,0.005661252543854216,690,-5.408919900868781e-05,-0.0155389995567163,0.0154308211586989,0.9944839159520432,0.9944839159520432,100,20
SR,SR-ARE,HEPG2,-0.0646883944941978,0.007912596788156978,0.0,0.0,-0.0646883944941978,-0.11103366487041062,-0.018343124117984985,0.006703245559962927,100,20,0.0,,,,0.006703245559962927,,-0.00639194893662875,0.015940971792282783,451,-0.0063919489366287,-0.0614077901672851,0.0486238922940275,0.8181526858197494,0.8547756967435856,100,20
SR,SR-ARE,HT29,-0.08067021522466891,0.007057888172876275,0.0,0.0,-0.0806702152246689,-0.11956989407492866,-0.04177053637440914,8.022609659939275e-05,100,20,0.0,,,,8.751937810842846e-05,,-0.00271803375074877,0.008989327190948823,682,-0.0027180337507487,-0.0227102908058556,0.017274223304358,0.7879041846971796,0.9538609038942544,100,20
SR,SR-ARE,MCF7,-0.08348137722756004,0.008112325203339543,0.0,0.0,-0.08348137722756005,-0.12085653348340467,-0.04610622097171543,2.4162145380873173e-05,100,20,0.0,,,,2.6358704051861645e-05,,0.0035810731831717297,0.007918356306231021,923,0.0035810731831717,-0.0153131572988894,0.0224753036652329,0.7076666919515682,0.9422480043060276,100,20
SR,SR-ATAD5,HA1E,-0.055934955670862194,0.003438219913902545,0.0,0.0,-0.055934955670862194,-0.07925100966341447,-0.03261890167830991,6.610217507847214e-06,100,20,0.0,,,,8.813623343796285e-06,,-0.00169512614165401,0.011750490508157593,911,-0.001695126141654,-0.0279703849817453,0.0245801326984373,0.8984006684778212,0.9944839159520432,100,20
SR,SR-ATAD5,HEPG2,-0.060049319561679936,0.003082501284279743,0.0,0.0,-0.06004931956167994,-0.08398284326829414,-0.03611579585506575,2.7130341570502674e-06,100,20,0.0,,,,4.069551235575401e-06,,-0.005012216769193695,0.01240666629553952,619,-0.0050122167691936,-0.0387208704806427,0.0286964369422553,0.7685828788865519,0.8547756967435856,100,20
SR,SR-ATAD5,HT29,-0.05457882431888637,0.0036617160780147177,0.0,0.0,-0.054578824318886374,-0.07559219697722609,-0.033565451660546655,1.3070015020561173e-06,100,20,0.0,,,,1.7426686694081566e-06,,0.004330686187734885,0.014595309145677785,903,0.0043306861877349,-0.0317089427159828,0.0403703150914526,0.8120384504718241,0.9538609038942544,100,20
SR,SR-ATAD5,MCF7,-0.06523711815365979,0.003812953430482642,0.0,0.0,-0.06523711815365979,-0.08578181711176217,-0.044692419195557415,8.241514257537224e-09,100,20,0.0,,,,1.2362271386305835e-08,,0.006188265515471935,0.01239478040251492,1196,0.0061882655154719,-0.0233792234703255,0.0357557545012694,0.6788337626144627,0.9422480043060276,100,20
SR,SR-HSE,HA1E,-0.25141217726990794,0.006043168604560112,0.0,0.0,-0.25141217726990794,-0.2924728714886863,-0.2103514830511296,2.463585771285938e-21,100,20,0.0,,,,2.9563029255431254e-20,,-0.0043058632862373845,0.02055427416172728,814,-0.0043058632862373,-0.0560741538633115,0.0474624272908367,0.8692501168613568,0.9944839159520432,100,20
SR,SR-HSE,HEPG2,-0.2684375615744972,0.007741516298541183,0.0,0.0,-0.2684375615744973,-0.3202205803458355,-0.21665454280315904,2.6031871262547994e-17,100,20,0.0,,,,3.123824551505759e-16,,-0.013228635307659869,0.04417394119079668,547,-0.0132286353076598,-0.1140547317866373,0.0875974611713176,0.795146682315007,0.8547756967435856,100,20
SR,SR-HSE,HT29,-0.2503264271892495,0.00819681822933504,0.0,0.0,-0.2503264271892495,-0.2967186237654673,-0.20393423061303176,3.1632598446599263e-18,100,20,0.0,,,,1.8979559067959557e-17,,-0.003132356835225015,0.012178685056573922,806,-0.003132356835225,-0.0310359211743644,0.0247712075039143,0.8241957829177162,0.9538609038942544,100,20
SR,SR-HSE,MCF7,-0.25442452829692463,0.0043423924599262625,0.0,0.0,-0.25442452829692463,-0.29221699507767274,-0.21663206151617653,6.978922613534366e-24,100,20,0.0,,,,4.1873535681206197e-23,,-0.0014911002518729049,0.01743190680616769,1077,-0.0014911002518729,-0.0422278947759973,0.0392456942722515,0.9422480043060276,0.9422480043060276,100,20
SR,SR-MMP,HA1E,-0.08118769303403216,0.007037978268531026,0.0,0.0,-0.08118769303403216,-0.11490625897812635,-0.04746912708993796,6.1599543382442695e-06,100,20,0.0,,,,8.813623343796285e-06,,0.012811334902400676,0.012836773272129218,723,0.0128113349024007,-0.0212322045111763,0.0468548743159777,0.457011537596191,0.9944839159520432,100,20
SR,SR-MMP,HEPG2,-0.05741959783091297,0.005910472411947318,0.0,0.0,-0.05741959783091297,-0.09154080812523613,-0.023298387536589818,0.0011858444980044748,100,20,0.0,,,,0.00142301339760537,,0.0044350073987688195,0.011053020712309795,495,0.0044350073987688,-0.0219691559554856,0.0308391707530233,0.7396266832148686,0.8547756967435856,100,20
SR,SR-MMP,HT29,-0.08418130718584302,0.007189770735586611,0.0,0.0,-0.08418130718584299,-0.1201961166251945,-0.048166497746491475,1.0776944693131496e-05,100,20,0.0,,,,1.2932333631757796e-05,,0.012163201558800223,0.014745619727500357,717,0.0121632015588002,-0.030525238680792,0.0548516417983925,0.5731064813462089,0.9538609038942544,100,20
SR,SR-MMP,MCF7,-0.09124791691340264,0.005254053676728095,0.0,0.0,-0.09124791691340263,-0.1260548636784718,-0.05644097014833345,1.0675098342702207e-06,100,20,0.0,,,,1.2810118011242648e-06,,0.01998155077847273,0.01923383427803735,958,0.0199815507784727,-0.0273914448837586,0.0673545464407042,0.4046494266021038,0.9422480043060276,100,20
SR,SR-p53,HA1E,-0.1592830593111545,0.006866694726815621,0.0,0.0,-0.1592830593111545,-0.19385026838806144,-0.12471585023424756,8.086721525047265e-15,100,20,0.0,,,,1.9408131660113436e-14,,0.028329806109835716,0.025508265066450334,884,0.0283298061098357,-0.0246892000660951,0.0813488122857666,0.291618573653356,0.9944839159520432,100,20
SR,SR-p53,HEPG2,-0.1500374695756708,0.009037191612643537,0.0,0.0,-0.15003746957567074,-0.2046313233908611,-0.09544361576048037,3.6443778394047397e-07,100,20,0.0,,,,6.247504867550982e-07,,0.03068695557151192,0.02262231309305409,603,0.0306869555715119,-0.0365226833470198,0.0978965944900437,0.3671540830987507,0.8547756967435856,100,20
SR,SR-p53,HT29,-0.16319603480037786,0.006183575955535974,0.0,0.0,-0.1631960348003778,-0.20422543961251008,-0.12216662998824554,4.079653080455892e-12,100,20,0.0,,,,8.159306160911785e-12,,0.05469759335653733,0.0374830582845364,877,0.0546975933565373,-0.0360086905031544,0.1454038772162292,0.2343512732414236,0.9538609038942544,100,20
SR,SR-p53,MCF7,-0.1724337284736412,0.005686973218835911,0.0,0.0,-0.17243372847364122,-0.20653908583687905,-0.1383283711104034,9.314174003298832e-17,100,20,0.0,,,,1.5967155434226568e-16,,0.058055328482579174,0.04234669451836188,1158,0.0580553284825792,-0.0351504665972703,0.1512611235624288,0.2194149594805018,0.9422480043060276,100,20
