variant,task,cell,lambda,selection_n,selection_pct
residualized,NR-AR,HA1E,0.3162277660168379,1,1.0
residualized,NR-AR,HA1E,1.0,2,2.0
residualized,NR-AR,HA1E,3.162277660168379,1,1.0
residualized,NR-AR,HA1E,100000000.0,96,96.0
residualized,NR-AR,HEPG2,100000000.0,100,100.0
residualized,NR-AR,HT29,100000000.0,100,100.0
residualized,NR-AR,MCF7,3.162277660168379,1,1.0
residualized,NR-AR,MCF7,100000000.0,99,99.0
residualized,NR-AR-LBD,HA1E,10.0,2,2.0
residualized,NR-AR-LBD,HA1E,100000000.0,98,98.0
residualized,NR-AR-LBD,HEPG2,1.0,1,1.0
residualized,NR-AR-LBD,HEPG2,3.162277660168379,1,1.0
residualized,NR-AR-LBD,HEPG2,100000000.0,98,98.0
residualized,NR-AR-LBD,HT29,1.0,1,1.0
residualized,NR-AR-LBD,HT29,3.162277660168379,1,1.0
residualized,NR-AR-LBD,HT29,100000000.0,98,98.0
residualized,NR-AR-LBD,MCF7,0.0999999999999999,3,3.0
residualized,NR-AR-LBD,MCF7,0.3162277660168379,4,4.0
residualized,NR-AR-LBD,MCF7,1.0,3,3.0
residualized,NR-AR-LBD,MCF7,3.162277660168379,2,2.0
residualized,NR-AR-LBD,MCF7,10.0,1,1.0
residualized,NR-AR-LBD,MCF7,100000000.0,87,87.0
residualized,NR-AhR,HA1E,1.0,2,2.0
residualized,NR-AhR,HA1E,3.162277660168379,2,2.0
residualized,NR-AhR,HA1E,10.0,1,1.0
residualized,NR-AhR,HA1E,100000000.0,95,95.0
residualized,NR-AhR,HEPG2,0.3162277660168379,3,3.0
residualized,NR-AhR,HEPG2,1.0,1,1.0
residualized,NR-AhR,HEPG2,3.162277660168379,5,5.0
residualized,NR-AhR,HEPG2,10.0,2,2.0
residualized,NR-AhR,HEPG2,31.6227766016838,1,1.0
residualized,NR-AhR,HEPG2,100000000.0,88,88.0
residualized,NR-AhR,HT29,3.162277660168379,1,1.0
residualized,NR-AhR,HT29,31.6227766016838,1,1.0
residualized,NR-AhR,HT29,100000000.0,98,98.0
residualized,NR-AhR,MCF7,0.3162277660168379,1,1.0
residualized,NR-AhR,MCF7,1.0,2,2.0
residualized,NR-AhR,MCF7,100000000.0,97,97.0
residualized,NR-Aromatase,HA1E,0.3162277660168379,3,3.0
residualized,NR-Aromatase,HA1E,1.0,10,10.0
residualized,NR-Aromatase,HA1E,3.162277660168379,7,7.0
residualized,NR-Aromatase,HA1E,10.0,2,2.0
residualized,NR-Aromatase,HA1E,31.6227766016838,2,2.0
residualized,NR-Aromatase,HA1E,100.0,1,1.0
residualized,NR-Aromatase,HA1E,100000000.0,75,75.0
residualized,NR-Aromatase,HEPG2,0.3162277660168379,3,3.0
residualized,NR-Aromatase,HEPG2,1.0,8,8.0
residualized,NR-Aromatase,HEPG2,3.162277660168379,12,12.0
residualized,NR-Aromatase,HEPG2,10.0,1,1.0
residualized,NR-Aromatase,HEPG2,31.6227766016838,1,1.0
residualized,NR-Aromatase,HEPG2,100.0,1,1.0
residualized,NR-Aromatase,HEPG2,100000000.0,74,74.0
residualized,NR-Aromatase,HT29,0.3162277660168379,3,3.0
residualized,NR-Aromatase,HT29,1.0,4,4.0
residualized,NR-Aromatase,HT29,3.162277660168379,6,6.0
residualized,NR-Aromatase,HT29,10.0,1,1.0
residualized,NR-Aromatase,HT29,100000000.0,86,86.0
residualized,NR-Aromatase,MCF7,0.0999999999999999,1,1.0
residualized,NR-Aromatase,MCF7,0.3162277660168379,9,9.0
residualized,NR-Aromatase,MCF7,1.0,11,11.0
residualized,NR-Aromatase,MCF7,3.162277660168379,4,4.0
residualized,NR-Aromatase,MCF7,31.6227766016838,1,1.0
residualized,NR-Aromatase,MCF7,100000000.0,74,74.0
residualized,NR-ER,HA1E,100000000.0,100,100.0
residualized,NR-ER,HEPG2,100000000.0,100,100.0
residualized,NR-ER,HT29,100.0,1,1.0
residualized,NR-ER,HT29,100000000.0,99,99.0
residualized,NR-ER,MCF7,1.0,1,1.0
residualized,NR-ER,MCF7,100000000.0,99,99.0
residualized,NR-ER-LBD,HA1E,1.0,1,1.0
residualized,NR-ER-LBD,HA1E,100000000.0,99,99.0
residualized,NR-ER-LBD,HEPG2,100000000.0,100,100.0
residualized,NR-ER-LBD,HT29,100000000.0,100,100.0
residualized,NR-ER-LBD,MCF7,0.0999999999999999,2,2.0
residualized,NR-ER-LBD,MCF7,0.3162277660168379,4,4.0
residualized,NR-ER-LBD,MCF7,1.0,4,4.0
residualized,NR-ER-LBD,MCF7,100000000.0,90,90.0
residualized,NR-PPAR-gamma,HA1E,100000000.0,100,100.0
residualized,NR-PPAR-gamma,HEPG2,100000000.0,100,100.0
residualized,NR-PPAR-gamma,HT29,0.0999999999999999,1,1.0
residualized,NR-PPAR-gamma,HT29,0.3162277660168379,2,2.0
residualized,NR-PPAR-gamma,HT29,1.0,1,1.0
residualized,NR-PPAR-gamma,HT29,100000000.0,96,96.0
residualized,NR-PPAR-gamma,MCF7,100000000.0,100,100.0
residualized,SR-ARE,HA1E,1.0,5,5.0
residualized,SR-ARE,HA1E,3.162277660168379,8,8.0
residualized,SR-ARE,HA1E,10.0,12,12.0
residualized,SR-ARE,HA1E,31.6227766016838,2,2.0
residualized,SR-ARE,HA1E,100.0,1,1.0
residualized,SR-ARE,HA1E,100000000.0,72,72.0
residualized,SR-ARE,HEPG2,0.3162277660168379,8,8.0
residualized,SR-ARE,HEPG2,1.0,29,29.0
residualized,SR-ARE,HEPG2,3.162277660168379,36,36.0
residualized,SR-ARE,HEPG2,10.0,11,11.0
residualized,SR-ARE,HEPG2,31.6227766016838,2,2.0
residualized,SR-ARE,HEPG2,100.0,3,3.0
residualized,SR-ARE,HEPG2,316.2277660168379,1,1.0
residualized,SR-ARE,HEPG2,100000000.0,10,10.0
residualized,SR-ARE,HT29,0.3162277660168379,4,4.0
residualized,SR-ARE,HT29,1.0,5,5.0
residualized,SR-ARE,HT29,3.162277660168379,5,5.0
residualized,SR-ARE,HT29,10.0,4,4.0
residualized,SR-ARE,HT29,31.6227766016838,1,1.0
residualized,SR-ARE,HT29,1000.0,1,1.0
residualized,SR-ARE,HT29,100000000.0,80,80.0
residualized,SR-ARE,MCF7,0.0999999999999999,2,2.0
residualized,SR-ARE,MCF7,0.3162277660168379,8,8.0
residualized,SR-ARE,MCF7,1.0,6,6.0
residualized,SR-ARE,MCF7,3.162277660168379,6,6.0
residualized,SR-ARE,MCF7,10.0,4,4.0
residualized,SR-ARE,MCF7,100000000.0,74,74.0
residualized,SR-ATAD5,HA1E,0.3162277660168379,3,3.0
residualized,SR-ATAD5,HA1E,1.0,3,3.0
residualized,SR-ATAD5,HA1E,100.0,1,1.0
residualized,SR-ATAD5,HA1E,100000000.0,93,93.0
residualized,SR-ATAD5,HEPG2,0.3162277660168379,2,2.0
residualized,SR-ATAD5,HEPG2,1.0,1,1.0
residualized,SR-ATAD5,HEPG2,3.162277660168379,1,1.0
residualized,SR-ATAD5,HEPG2,10.0,6,6.0
residualized,SR-ATAD5,HEPG2,100000000.0,90,90.0
residualized,SR-ATAD5,HT29,0.0999999999999999,3,3.0
residualized,SR-ATAD5,HT29,0.3162277660168379,2,2.0
residualized,SR-ATAD5,HT29,1.0,8,8.0
residualized,SR-ATAD5,HT29,3.162277660168379,1,1.0
residualized,SR-ATAD5,HT29,10.0,2,2.0
residualized,SR-ATAD5,HT29,100000000.0,84,84.0
residualized,SR-ATAD5,MCF7,0.0999999999999999,2,2.0
residualized,SR-ATAD5,MCF7,0.3162277660168379,4,4.0
residualized,SR-ATAD5,MCF7,3.162277660168379,2,2.0
residualized,SR-ATAD5,MCF7,100000000.0,92,92.0
residualized,SR-HSE,HA1E,0.0999999999999999,2,2.0
residualized,SR-HSE,HA1E,0.3162277660168379,4,4.0
residualized,SR-HSE,HA1E,1.0,13,13.0
residualized,SR-HSE,HA1E,3.162277660168379,5,5.0
residualized,SR-HSE,HA1E,316.2277660168379,1,1.0
residualized,SR-HSE,HA1E,100000000.0,75,75.0
residualized,SR-HSE,HEPG2,0.3162277660168379,2,2.0
residualized,SR-HSE,HEPG2,1.0,6,6.0
residualized,SR-HSE,HEPG2,3.162277660168379,7,7.0
residualized,SR-HSE,HEPG2,10.0,2,2.0
residualized,SR-HSE,HEPG2,31.6227766016838,1,1.0
residualized,SR-HSE,HEPG2,100.0,1,1.0
residualized,SR-HSE,HEPG2,100000000.0,81,81.0
residualized,SR-HSE,HT29,0.3162277660168379,3,3.0
residualized,SR-HSE,HT29,1.0,3,3.0
residualized,SR-HSE,HT29,10.0,3,3.0
residualized,SR-HSE,HT29,100000000.0,91,91.0
residualized,SR-HSE,MCF7,0.3162277660168379,5,5.0
residualized,SR-HSE,MCF7,1.0,8,8.0
residualized,SR-HSE,MCF7,3.162277660168379,2,2.0
residualized,SR-HSE,MCF7,100000000.0,85,85.0
residualized,SR-MMP,HA1E,0.3162277660168379,20,20.0
residualized,SR-MMP,HA1E,1.0,29,29.0
residualized,SR-MMP,HA1E,3.162277660168379,23,23.0
residualized,SR-MMP,HA1E,10.0,8,8.0
residualized,SR-MMP,HA1E,31.6227766016838,7,7.0
residualized,SR-MMP,HA1E,100.0,2,2.0
residualized,SR-MMP,HA1E,100000000.0,11,11.0
residualized,SR-MMP,HEPG2,0.3162277660168379,12,12.0
residualized,SR-MMP,HEPG2,1.0,45,45.0
residualized,SR-MMP,HEPG2,3.162277660168379,26,26.0
residualized,SR-MMP,HEPG2,10.0,5,5.0
residualized,SR-MMP,HEPG2,31.6227766016838,2,2.0
residualized,SR-MMP,HEPG2,100000000.0,10,10.0
residualized,SR-MMP,HT29,0.0999999999999999,2,2.0
residualized,SR-MMP,HT29,0.3162277660168379,29,29.0
residualized,SR-MMP,HT29,1.0,42,42.0
residualized,SR-MMP,HT29,3.162277660168379,14,14.0
residualized,SR-MMP,HT29,10.0,6,6.0
residualized,SR-MMP,HT29,31.6227766016838,1,1.0
residualized,SR-MMP,HT29,100.0,1,1.0
residualized,SR-MMP,HT29,100000000.0,5,5.0
residualized,SR-MMP,MCF7,0.0999999999999999,22,22.0
residualized,SR-MMP,MCF7,0.3162277660168379,38,38.0
residualized,SR-MMP,MCF7,1.0,21,21.0
residualized,SR-MMP,MCF7,3.162277660168379,6,6.0
residualized,SR-MMP,MCF7,10.0,1,1.0
residualized,SR-MMP,MCF7,100000000.0,12,12.0
residualized,SR-p53,HA1E,0.3162277660168379,6,6.0
