family,task,cell,variant,n_outer_folds,lambda_selected_display,lambda_mode,one_se_stronger_pct,upper_boundary_pct,saturated_no_bio_signal_pct
NR,NR-AR,HA1E,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,92.0,96.0,88.0
NR,NR-AR,HEPG2,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,26.0,100.0,26.0
NR,NR-AR,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,62.0,100.0,62.0
NR,NR-AR,MCF7,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,82.0,99.0,81.0
NR,NR-AR-LBD,HA1E,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,72.0,98.0,70.0
NR,NR-AR-LBD,HEPG2,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,74.0,98.0,72.0
NR,NR-AR-LBD,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,97.0,98.0,95.0
NR,NR-AR-LBD,MCF7,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,97.0,87.0,85.0
NR,NR-AhR,HA1E,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,88.0,95.0,83.0
NR,NR-AhR,HEPG2,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,95.0,88.0,86.0
NR,NR-AhR,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,66.0,98.0,64.0
NR,NR-AhR,MCF7,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,90.0,97.0,88.0
NR,NR-Aromatase,HA1E,residualized,100,"1e+8 [3.16e+06, 1e+8]",100000000.0,98.0,75.0,74.0
NR,NR-Aromatase,HEPG2,residualized,100,"1e+8 [75, 1e+8]",100000000.0,96.0,74.0,71.0
NR,NR-Aromatase,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,94.0,86.0,81.0
NR,NR-Aromatase,MCF7,residualized,100,"1e+8 [17.8, 1e+8]",100000000.0,98.0,74.0,75.0
NR,NR-ER,HA1E,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,74.0,100.0,74.0
NR,NR-ER,HEPG2,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,48.0,100.0,48.0
NR,NR-ER,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,93.0,99.0,92.0
NR,NR-ER,MCF7,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,92.0,99.0,91.0
NR,NR-ER-LBD,HA1E,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,30.0,99.0,28.999999999999996
NR,NR-ER-LBD,HEPG2,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,42.0,100.0,42.0
