task,cell,variant,solver,n_repeats,outer_folds_per_repeat,n_paired_outer_draws,n_failed_outer_draws,n_unique_compounds,n_test_evaluations,mean_delta_auprc,sd_delta_auprc,mean_delta_auroc,sd_delta_auroc,n_alpha_boundary_hits,n_folds_saturated_no_bio_signal,nb_auprc_n,nb_auprc_mean,nb_auprc_naive_se,nb_auprc_corrected_se,nb_auprc_correction_factor,nb_auprc_mean_test_train_ratio,nb_auprc_t_stat,nb_auprc_p_value,nb_auprc_df,nb_auprc_ci_low,nb_auprc_ci_high,nb_auprc_significant_nb,nb_auprc_empirical_variance,nb_auprc_variance_degenerate,nb_auprc_inference_valid,nb_auroc_n,nb_auroc_mean,nb_auroc_naive_se,nb_auroc_corrected_se,nb_auroc_correction_factor,nb_auroc_mean_test_train_ratio,nb_auroc_t_stat,nb_auroc_p_value,nb_auroc_df,nb_auroc_ci_low,nb_auroc_ci_high,nb_auroc_significant_nb,nb_auroc_empirical_variance,nb_auroc_variance_degenerate,nb_auroc_inference_valid,nb_log_loss_n,nb_log_loss_mean,nb_log_loss_naive_se,nb_log_loss_corrected_se,nb_log_loss_correction_factor,nb_log_loss_mean_test_train_ratio,nb_log_loss_t_stat,nb_log_loss_p_value,nb_log_loss_df,nb_log_loss_ci_low,nb_log_loss_ci_high,nb_log_loss_significant_nb,nb_log_loss_empirical_variance,nb_log_loss_variance_degenerate,nb_log_loss_inference_valid
NR-AR,HA1E,standardized,lbfgs,20,5,100,0,968,19360,0.00043072188581757127,0.011878175643475899,-0.0006425370717766105,0.01101625441895547,96,88,100,0.00043072188581757127,0.00118781756434759,0.006138827742357791,0.2670984749413978,0.2570984749413978,0.07016353999406087,0.9442050282776921,99,-0.011750044182960535,0.012611487954595676,False,0.00014109105661726408,False,True,100,-0.0006425370717766105,0.0011016254418955472,0.0056933733153794195,0.2670984749413978,0.2570984749413978,-0.11285700694190125,0.9103724523232923,99,-0.011939424915419645,0.010654350771866423,False,0.00012135786142315595,False,True,100,3.813488808512053e-05,7.649965949231044e-05,0.0003953622560129915,0.2670984749413978,0.2570984749413978,0.09645556070447815,0.9233537577754198,99,-0.0007463496022825728,0.0008226193784528138,False,5.852197902439442e-07,False,True
NR-AR-LBD,HA1E,standardized,lbfgs,20,5,100,0,869,17380,0.0,0.0,0.0,0.0,100,67,100,0.0,0.0,0.0,0.2685402073007554,0.2585402073007554,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.2685402073007554,0.2585402073007554,,,99,,,False,0.0,True,False,100,-4.56958743760838e-11,2.5187724578457552e-11,1.3052496807872831e-10,0.2685402073007554,0.2585402073007554,,,99,,,False,6.344214694402346e-20,True,False
NR-AhR,HA1E,standardized,lbfgs,20,5,100,0,849,16980,-0.0005531054297498178,0.005017052029880709,-0.00030161990086737813,0.0022078448479665924,96,88,100,-0.0005531054297498178,0.0005017052029880709,0.002605776858751941,0.2697598030743203,0.2597598030743203,-0.2122612409777606,0.8323396445070569,99,-0.005723532044734465,0.004617321185234829,False,2.5170811070530143e-05,False,True,100,-0.00030161990086737813,0.00022078448479665924,0.0011467194237335498,0.2697598030743203,0.2597598030743203,-0.2630285095244555,0.7930752339895527,99,-0.0025769600200637554,0.0019737202183289994,False,4.874578872692625e-06,False,True,100,4.923084869195404e-05,4.414018597349005e-05,0.00022925709054977093,0.2697598030743203,0.2597598030743203,0.21474078980020117,0.8304111424807304,99,-0.0004056649566304625,0.0005041266540143706,False,1.9483560177742875e-07,False,True
NR-Aromatase,HA1E,standardized,lbfgs,20,5,100,0,759,15180,0.0001081779358019952,0.05948918144875815,0.008149544964021142,0.024342807694847184,70,71,100,0.0001081779358019952,0.0059489181448758146,0.03093091735523651,0.2703395675471746,0.2603395675471746,0.0034974047022139484,0.9972165182884258,99,-0.0612654726061724,0.06148182847777638,False,0.0035389627094432707,False,True,100,0.008149544964021142,0.0024342807694847186,0.012656845407299708,0.2703395675471746,0.2603395675471746,0.6438843725878942,0.5211393220439058,99,-0.016964382245767757,0.03326347217381004,False,0.0005925722864683113,False,True,100,-0.0018226545445542497,0.0006538659251588552,0.003399722840347807,0.2703395675471746,0.2603395675471746,-0.5361185691148235,0.5930791651703036,99,-0.008568442234803617,0.004923133145695116,False,4.2754064808384575e-05,False,True
NR-ER,HA1E,standardized,lbfgs,20,5,100,0,805,16100,0.0,0.0,0.0,0.0,100,75,100,0.0,0.0,0.0,0.26873404775750076,0.25873404775750075,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.26873404775750076,0.25873404775750075,,,99,,,False,0.0,True,False,100,-2.039895713457085e-10,1.022953891079462e-10,5.302948451338592e-10,0.26873404775750076,0.25873404775750075,,,99,,,False,1.0464346632746118e-18,True,False
NR-ER-LBD,HA1E,standardized,lbfgs,20,5,100,0,907,18140,-0.0009724048733879159,0.00972404873387916,-0.0003663003663003661,0.003663003663003661,99,46,100,-0.0009724048733879159,0.0009724048733879159,0.005032667923787424,0.2678565656285556,0.2578565656285556,-0.19321856480769253,0.8471836540132325,99,-0.01095830987908093,0.0090135001323051,False,9.455712377885687e-05,False,True,100,-0.0003663003663003661,0.0003663003663003661,0.0018957824609914646,0.2678565656285556,0.2578565656285556,-0.1932185648076925,0.8471836540132325,99,-0.004127944061772478,0.0033953433291717457,False,1.3417595835178238e-05,False,True,100,0.00017027651587904035,0.00017027642689860953,0.0008812632837226746,0.2678565656285556,0.2578565656285556,0.1932186657768722,0.8471835751553686,99,-0.0015783410304256963,0.0019188940621837768,False,2.899406155735751e-06,False,True
NR-PPAR-gamma,HA1E,standardized,lbfgs,20,5,100,0,811,16220,-1.7258491053023794e-05,0.00017258491053023803,-0.0005539568345323742,0.005539568345323742,98,75,100,-1.7258491053023794e-05,1.72584910530238e-05,8.945609024689567e-05,0.2686669113551219,0.2586669113551219,-0.19292695450238173,0.8474114108386547,99,-0.0001947587817366047,0.00016024179963055712,False,2.978555134273026e-08,False,True,100,-0.0005539568345323742,0.0005539568345323742,0.0028713293897226545,0.2686669113551219,0.2586669113551219,-0.19292695450238176,0.8474114108386547,99,-0.006251297282985146,0.005143383613920398,False,3.068681745251282e-05,False,True,100,-8.555413605807332e-06,1.032204362253922e-05,5.3502340557663176e-05,0.2686669113551219,0.2586669113551219,-0.1599072772636287,0.8732799230215464,99,-0.00011471566468571312,9.760483747409845e-05,False,1.065445845456026e-08,False,True
SR-ARE,HA1E,standardized,lbfgs,20,5,100,0,690,13800,0.004676447171863725,0.016499764054531605,0.002515190655323161,0.00844365230644273,68,68,100,0.004676447171863725,0.0016499764054531602,0.008594069835115133,0.2712953119390802,0.2612953119390802,0.5441481465226046,0.5875629903796116,99,-0.012376051877421152,0.021728946221148602,False,0.0002722422138552132,False,True,100,0.002515190655323161,0.0008443652306442729,0.004397962137226439,0.2712953119390802,0.2612953119390802,0.5718991152819152,0.5686866150033844,99,-0.006211320369454895,0.011241701680101216,False,7.129526427209562e-05,False,True,100,-0.001994374861535767,0.000492594725053269,0.002565729699846492,0.2712953119390802,0.2612953119390802,-0.7773129264766631,0.43882767333725636,99,-0.007085339224960461,0.003096589501888927,False,2.4264956315030566e-05,False,True
SR-ATAD5,HA1E,standardized,lbfgs,20,5,100,0,911,18220,-0.0017734062183745838,0.025651251179311767,-0.0027983933833275777,0.01649381723126383,85,79,100,-0.0017734062183745838,0.0025651251179311767,0.013262314255868182,0.2673138877721062,0.2573138877721062,-0.1337177044790583,0.8938972520427655,99,-0.02808871498110349,0.024541902544354323,False,0.0006579866870641434,False,True,100,-0.0027983933833275777,0.0016493817231263829,0.00852770049580652,0.2673138877721062,0.2573138877721062,-0.32815333801927987,0.7434887551975917,99,-0.019719201264495872,0.014122414497840716,False,0.00027204600685833564,False,True,100,-0.0002258123699059386,0.0002999558030128934,0.0015508436974944542,0.2673138877721062,0.2573138877721062,-0.14560614346291728,0.8845283701999395,99,-0.0033030227236148383,0.0028513979838029613,False,8.997348376110971e-06,False,True
SR-HSE,HA1E,standardized,lbfgs,20,5,100,0,814,16280,0.014707384682194926,0.04801545604714209,0.004592397530821973,0.04476623166977138,64,64,100,0.014707384682194926,0.004801545604714208,0.02488543874045621,0.2686139032367394,0.2586139032367394,0.5910036321073641,0.5558649185088369,99,-0.034670724712349166,0.06408549407673902,False,0.0023054840194150334,False,True,100,0.004592397530821973,0.004476623166977138,0.023201431529993228,0.2686139032367394,0.2586139032367394,0.1979359560156982,0.8435010364653333,99,-0.04144427621025862,0.05062907127190257,False,0.002004015497911642,False,True,100,-0.0028589496480190633,0.0005435869417911983,0.0028173010638023422,0.2686139032367394,0.2586139032367394,-1.014783149998357,0.31268288331395255,99,-0.008449086176319115,0.0027311868802809888,False,2.954867632859076e-05,False,True
