variant,task,cell,gene,mean_beta,sd_beta,n_outer_fits
standardized,NR-AR,HA1E,DDR1,-5.687139026404569e-05,0.00034991424054979167,100
standardized,NR-AR,HA1E,PAX8,-1.3925213268053086e-05,0.00017071228377408244,100
standardized,NR-AR,HA1E,RPS5,3.4459968204908204e-08,2.4371683219933137e-05,100
standardized,NR-AR,HA1E,ABCF1,-7.526002187121708e-05,0.000583547430305813,100
standardized,NR-AR,HA1E,SPAG7,0.0001365175678094575,0.000974793866297645,100
standardized,NR-AR,HA1E,RHOA,9.961564540429988e-06,0.00024223018969441625,100
standardized,NR-AR,HA1E,RNPS1,0.00011287552151217441,0.0007385140345402182,100
standardized,NR-AR,HA1E,SMNDC1,4.266651481589191e-05,0.0003287213715568235,100
standardized,NR-AR,HA1E,ATP6V0B,9.434007961133053e-05,0.0008284645760649821,100
standardized,NR-AR,HA1E,RPS6,-0.00013487946841953249,0.0008807310542227162,100
standardized,NR-AR,HA1E,USP22,-3.748726144219158e-06,5.24694042034209e-05,100
standardized,NR-AR,HA1E,APP,-0.00018234041577309536,0.001180803973437518,100
standardized,NR-AR,HA1E,CLTC,-1.339933260404664e-05,0.00013098938909069733,100
standardized,NR-AR,HA1E,MLEC,-3.800695235533995e-05,0.0004434742262643453,100
standardized,NR-AR,HA1E,CSRP1,8.75331932287939e-05,0.0005618019934499044,100
standardized,NR-AR,HA1E,CALM3,0.00010883783454005559,0.0007137146923146279,100
standardized,NR-AR,HA1E,PTPRF,-8.387506292383969e-05,0.0004950040257164083,100
standardized,NR-AR,HA1E,DNAJB1,-2.3603284590686057e-05,0.00015693009538116572,100
standardized,NR-AR,HA1E,XBP1,0.00010500780453774119,0.0006112813059895526,100
standardized,NR-AR,HA1E,GRN,5.394545002720539e-05,0.0004276945144652941,100
standardized,NR-AR,HA1E,HK1,2.1037607270424236e-05,0.0001348094803003161,100
standardized,NR-AR,HA1E,KDELR2,0.000166244715362092,0.0012112333655157697,100
standardized,NR-AR,HA1E,SKP1,0.0001433612978063751,0.0009970543023224683,100
standardized,NR-AR,HA1E,CAPN1,-1.543369602575727e-05,0.0002576600705212769,100
standardized,NR-AR,HA1E,CALU,5.982821769839845e-05,0.0003222901589364549,100
standardized,NR-AR,HA1E,CTSD,4.618080637831373e-06,9.39634611437574e-05,100
standardized,NR-AR,HA1E,MAT2A,2.1472694248075166e-05,0.00014688716078351753,100
standardized,NR-AR,HA1E,STMN1,-0.00012787409493052364,0.0009306128232818032,100
standardized,NR-AR,HA1E,ECH1,0.00022089461483797818,0.0014437819413692884,100
standardized,NR-AR,HA1E,IQGAP1,-0.00012450945967014412,0.0009474203120324014,100
standardized,NR-AR,HA1E,HSPA1A,-4.409892209924352e-05,0.0003516131201588646,100
standardized,NR-AR,HA1E,HSPD1,-0.00016089446095748702,0.0011990547949298229,100
standardized,NR-AR,HA1E,CIRBP,-1.1635249085729542e-05,0.0001345968053913838,100
standardized,NR-AR,HA1E,PSME1,-2.3496201301350063e-05,0.00022635032571713084,100
standardized,NR-AR,HA1E,PAFAH1B1,5.539335570513501e-05,0.0003499759436405255,100
standardized,NR-AR,HA1E,HYOU1,4.6778015785504257e-05,0.0003038496837529175,100
standardized,NR-AR,HA1E,PSMD2,-0.00023694213691693764,0.0015201478751009675,100
standardized,NR-AR,HA1E,EPRS,9.211517560962235e-05,0.0005087093071296113,100
standardized,NR-AR,HA1E,PSMD4,-5.5757627617554676e-05,0.0004575787413003567,100
standardized,NR-AR,HA1E,PGAM1,0.00011140841405817605,0.0008618071223194008,100
standardized,NR-AR,HA1E,STAT1,6.730169225421168e-05,0.0006023818338581896,100
standardized,NR-AR,HA1E,FKBP4,6.575572811900364e-05,0.00045826841310637047,100
standardized,NR-AR,HA1E,KTN1,1.232364427478088e-05,9.42121211595312e-05,100
standardized,NR-AR,HA1E,TMED10,0.00010820284537582784,0.0006005317545369897,100
standardized,NR-AR,HA1E,ALDOA,1.7106588999804484e-05,0.0003518031024534789,100
standardized,NR-AR,HA1E,TSPAN3,-2.8817688853725914e-05,0.0003036059542634126,100
standardized,NR-AR,HA1E,GNAS,-6.891334995871245e-06,0.0001295227948892037,100
standardized,NR-AR,HA1E,HIF1A,-9.249528410743467e-05,0.0007154893756204172,100
standardized,NR-AR,HA1E,AARS,-5.769653058734591e-05,0.00046223571125215794,100
standardized,NR-AR,HA1E,RPN1,0.0001241627079435007,0.000967680088358301,100
standardized,NR-AR,HA1E,PAICS,6.444965891024485e-05,0.0004340925864454603,100
standardized,NR-AR,HA1E,BLCAP,3.736620441356825e-05,0.0003695068880262421,100
standardized,NR-AR,HA1E,HADH,-5.01656472822765e-05,0.0004968665143632921,100
standardized,NR-AR,HA1E,GNAI2,2.2037178703979677e-05,0.00017243285939500986,100
standardized,NR-AR,HA1E,PSMF1,-2.1671262598517102e-05,0.00014401356047158257,100
standardized,NR-AR,HA1E,MYL9,-1.2973373727743921e-05,0.00015757082822267837,100
standardized,NR-AR,HA1E,MMP2,-0.00011770658367616,0.000686899504087691,100
standardized,NR-AR,HA1E,SMARCC1,-9.966591271207413e-05,0.000778611919076316,100
standardized,NR-AR,HA1E,TM9SF2,5.465470262011833e-05,0.0003121086745682571,100
standardized,NR-AR,HA1E,PIP4K2B,2.116083550164703e-05,0.0001632681094773432,100
standardized,NR-AR,HA1E,PXN,5.9210773792922665e-05,0.00043122416083293,100
standardized,NR-AR,HA1E,COPB2,0.00014196237018106292,0.0010405120788387935,100
standardized,NR-AR,HA1E,PFKL,3.1894392738352456e-05,0.00016926234650319093,100
standardized,NR-AR,HA1E,PGRMC1,-2.40913257519222e-05,0.00015991783856951963,100
standardized,NR-AR,HA1E,ITGB5,-1.146241846246814e-05,0.00023248256342596756,100
standardized,NR-AR,HA1E,PLP2,0.000132445570365485,0.0008826720986834018,100
standardized,NR-AR,HA1E,NFE2L2,3.076317744154833e-05,0.00021632515263983313,100
standardized,NR-AR,HA1E,MBNL1,1.5621829312421763e-05,0.00015809042764285312,100
standardized,NR-AR,HA1E,NMT1,-5.433595277332813e-05,0.00039394860144115966,100
standardized,NR-AR,HA1E,BHLHE40,9.261590064124735e-05,0.0005958397737777242,100
standardized,NR-AR,HA1E,TERF2IP,-1.5160786786415452e-05,0.00018610586999258247,100
standardized,NR-AR,HA1E,FBXO7,2.060281422200129e-05,0.00012542710947186913,100
standardized,NR-AR,HA1E,HTRA1,-9.335911502691944e-05,0.0006344999647827725,100
standardized,NR-AR,HA1E,LRPAP1,6.492466537478407e-06,0.00012429353331543078,100
standardized,NR-AR,HA1E,CREG1,0.0001377426544991217,0.000884000927341286,100
standardized,NR-AR,HA1E,PCNA,1.1439207673870527e-05,0.00033369523225288474,100
standardized,NR-AR,HA1E,LGMN,-7.581520601349984e-05,0.0006620448166173976,100
standardized,NR-AR,HA1E,ILK,7.216166259054085e-05,0.00043694637994565573,100
standardized,NR-AR,HA1E,ATP1B1,3.728261832534585e-05,0.00024021734826491008,100
standardized,NR-AR,HA1E,SYPL1,1.2456998028590253e-05,0.00039397259014453635,100
standardized,NR-AR,HA1E,TXNRD1,1.966416153382984e-05,0.00017690097371016197,100
standardized,NR-AR,HA1E,NUDCD3,-3.1449383580073916e-05,0.00029061339235873226,100
standardized,NR-AR,HA1E,TOP2A,3.585562891232144e-06,0.00011104029120908612,100
standardized,NR-AR,HA1E,STK25,0.0001315550195233211,0.0008537377608624664,100
standardized,NR-AR,HA1E,EBNA1BP2,5.325512321011254e-05,0.0004643641962457958,100
standardized,NR-AR,HA1E,ARHGEF12,-2.6870076027512853e-05,0.00017333946728318692,100
standardized,NR-AR,HA1E,SCP2,-1.4788636842286913e-05,0.0001470284704566648,100
standardized,NR-AR,HA1E,YME1L1,0.0001373240081061724,0.0009225276980592367,100
standardized,NR-AR,HA1E,TMEM109,-4.614830221895148e-06,0.0003271020750749893,100
standardized,NR-AR,HA1E,TPD52L2,5.656261061915307e-06,7.733215979921514e-05,100
standardized,NR-AR,HA1E,CRTAP,0.00017795088336256936,0.0012243544320085556,100
standardized,NR-AR,HA1E,TRAP1,9.792603607328275e-05,0.0008680333454896599,100
standardized,NR-AR,HA1E,IGF2R,-8.514477429900394e-05,0.0008032910547806864,100
standardized,NR-AR,HA1E,PHGDH,-6.288179482748658e-05,0.0005263349855674053,100
standardized,NR-AR,HA1E,LRP10,-5.2872419097941475e-05,0.00048239273983179,100
standardized,NR-AR,HA1E,SOX4,-7.148371681549333e-06,7.71870225625946e-05,100
standardized,NR-AR,HA1E,CAT,0.0001126385806916394,0.0006994423144473235,100
standardized,NR-AR,HA1E,RHEB,-8.068125014075253e-05,0.00048443530243910335,100
standardized,NR-AR,HA1E,MAPKAPK2,2.118525722274486e-05,0.0001239404287675411,100
standardized,NR-AR,HA1E,SCRN1,-0.0001720732554233469,0.001178601857314104,100
standardized,NR-AR,HA1E,JUN,-0.00024157519848173374,0.0014634312024632387,100
standardized,NR-AR,HA1E,SHC1,9.178265101263982e-06,0.0003178875194704907,100
standardized,NR-AR,HA1E,SQSTM1,-5.525453806136453e-05,0.0003660659470552143,100
standardized,NR-AR,HA1E,PRCP,8.490471159769476e-05,0.0006045118408783052,100
standardized,NR-AR,HA1E,USP7,-3.81373501396592e-05,0.0003746611007666024,100
standardized,NR-AR,HA1E,NFKBIA,0.00026216579071342884,0.0017010281307362379,100
standardized,NR-AR,HA1E,G3BP1,7.994166209432174e-05,0.0005802090162418192,100
standardized,NR-AR,HA1E,TOMM70A,-6.501407471776157e-05,0.0005301760895651922,100
standardized,NR-AR,HA1E,RPA1,1.148477406913328e-05,0.00019691697281511958,100
standardized,NR-AR,HA1E,ZFP36,-3.8403250826396794e-05,0.0003430204227435061,100
standardized,NR-AR,HA1E,DUSP3,9.800241909823013e-05,0.0006966312535552711,100
standardized,NR-AR,HA1E,KDM5B,-4.422776796528522e-05,0.0005220870618524096,100
standardized,NR-AR,HA1E,MCM3,3.7863343443129877e-06,7.298742360367622e-05,100
standardized,NR-AR,HA1E,CLIC4,-0.00017646418288538816,0.0013596996666598315,100
standardized,NR-AR,HA1E,CLSTN1,3.3445100989934015e-05,0.0002445132985253471,100
standardized,NR-AR,HA1E,ID2,-0.00023173835077289567,0.001540682493819819,100
standardized,NR-AR,HA1E,DCTD,0.00014494447022159787,0.0009884602339359193,100
standardized,NR-AR,HA1E,FAT1,-3.470439620129659e-05,0.0005065958720450041,100
standardized,NR-AR,HA1E,SMC1A,-0.0001318790345084591,0.0010423930881794977,100
standardized,NR-AR,HA1E,NISCH,-3.044208894951437e-05,0.00027042753687033677,100
standardized,NR-AR,HA1E,PWP1,0.00016955759704156156,0.0010922036552172114,100
standardized,NR-AR,HA1E,ICMT,-6.698848288768337e-05,0.00048578124212406647,100
standardized,NR-AR,HA1E,RUVBL1,-1.8369134964917426e-05,0.00019182082205592573,100
standardized,NR-AR,HA1E,MBTPS1,1.073052133711544e-05,0.00028263108622180144,100
standardized,NR-AR,HA1E,INSIG1,-0.00012060497483006682,0.0008146694707668206,100
standardized,NR-AR,HA1E,RRAGA,0.00016277958179012036,0.0011642982348838106,100
standardized,NR-AR,HA1E,IER3,-0.00016458696395521132,0.0011350115807939596,100
standardized,NR-AR,HA1E,UBE2L6,-5.1193137715279294e-05,0.000337359230672474,100
standardized,NR-AR,HA1E,SMC4,-6.14115265353533e-05,0.0005016180949638483,100
standardized,NR-AR,HA1E,USP14,-4.697396023718135e-05,0.00027074843641131693,100
standardized,NR-AR,HA1E,EGR1,-4.909636341580338e-05,0.0002917210791237783,100
standardized,NR-AR,HA1E,PNP,-6.745429376899808e-05,0.00039958419744461277,100
standardized,NR-AR,HA1E,DNMT1,-3.3006318963198676e-05,0.0001747361499018587,100
standardized,NR-AR,HA1E,CCND3,0.000221598778947839,0.001372097202684034,100
standardized,NR-AR,HA1E,NIPSNAP1,-5.9318803769291654e-05,0.0005355169472097618,100
standardized,NR-AR,HA1E,MYBL2,1.3177221548151172e-05,0.0002609953394372161,100
standardized,NR-AR,HA1E,EPB41L2,-8.152382737084948e-05,0.0005233435764685567,100
standardized,NR-AR,HA1E,ELAVL1,-5.9110270658032744e-05,0.0004430602620014902,100
standardized,NR-AR,HA1E,KIAA0100,0.0001863028580133894,0.0013260889648373684,100
standardized,NR-AR,HA1E,TP53,0.00010081743583249868,0.0006524206767541539,100
standardized,NR-AR,HA1E,RPA2,3.9564076816742104e-05,0.0003550090734533454,100
standardized,NR-AR,HA1E,MTHFD2,5.239985594240454e-05,0.00027821416314253777,100
standardized,NR-AR,HA1E,PSME2,8.765829107478932e-05,0.0006807511548068361,100
standardized,NR-AR,HA1E,DAXX,6.661095251743918e-05,0.0009296145200683467,100
standardized,NR-AR,HA1E,ELAC2,0.00011664499249311572,0.0007307928421486057,100
standardized,NR-AR,HA1E,NCAPD2,-7.766227848457396e-05,0.0006168961854566964,100
standardized,NR-AR,HA1E,EFCAB14,-0.00012420302037614966,0.000947831165888352,100
standardized,NR-AR,HA1E,DDX42,-9.768815040306577e-05,0.0007159019229117707,100
standardized,NR-AR,HA1E,LBR,-2.0794066178334735e-05,0.0001383671017114902,100
standardized,NR-AR,HA1E,SH3BP5,-0.0002767172248262507,0.0017826667761595065,100
standardized,NR-AR,HA1E,UBE3C,0.00010869666193956253,0.0008567350846233725,100
standardized,NR-AR,HA1E,SCARB1,1.8261113965667338e-05,0.000104779625779479,100
standardized,NR-AR,HA1E,SCCPDH,1.3896278974067299e-05,0.00025362727142420215,100
standardized,NR-AR,HA1E,SMARCD2,1.37486605795088e-05,0.00012429267350074782,100
standardized,NR-AR,HA1E,NET1,-0.000254013626664143,0.0017286841404156278,100
standardized,NR-AR,HA1E,HDAC2,3.049644085711011e-05,0.0002816629661393726,100
standardized,NR-AR,HA1E,HSPB1,-9.960020324035692e-06,9.606805667123208e-05,100
standardized,NR-AR,HA1E,LIPA,9.365131275637371e-05,0.000557779555577094,100
standardized,NR-AR,HA1E,BNIP3,0.00015041260048903683,0.0011144019551813066,100
standardized,NR-AR,HA1E,CDC25B,-6.220251920171046e-05,0.0004834615428645376,100
standardized,NR-AR,HA1E,ATMIN,-0.00011670385108142655,0.0009035330610628728,100
standardized,NR-AR,HA1E,TOMM34,-8.51579308357951e-05,0.0005788891317592077,100
standardized,NR-AR,HA1E,MPZL1,0.0001805307978310647,0.0012400734822060003,100
standardized,NR-AR,HA1E,IL13RA1,1.7851968041211216e-05,0.0001296009544565374,100
standardized,NR-AR,HA1E,PSRC1,5.50095997011084e-05,0.0004051486711543177,100
standardized,NR-AR,HA1E,UBE2A,4.4339308657837946e-05,0.0002433475637468392,100
standardized,NR-AR,HA1E,COASY,-2.739172219631372e-05,0.00046603926091847526,100
standardized,NR-AR,HA1E,LRRC41,5.538794927258293e-05,0.0004026226859587372,100
standardized,NR-AR,HA1E,MYCBP2,5.789965833935707e-05,0.000358541999672909,100
standardized,NR-AR,HA1E,RBM6,0.00018748863162388934,0.0015071830970574684,100
standardized,NR-AR,HA1E,PGM1,0.00022670651030439693,0.001536808155143791,100
standardized,NR-AR,HA1E,MYO10,-0.0003120227683348727,0.0020275969204383835,100
standardized,NR-AR,HA1E,RSU1,0.00014890853736579404,0.0009198703249964815,100
standardized,NR-AR,HA1E,EGFR,-8.757820621424629e-05,0.0005509491231963372,100
standardized,NR-AR,HA1E,KIAA0196,2.3228429402703138e-05,0.0002012888256287586,100
standardized,NR-AR,HA1E,EXT1,-2.1474741031100568e-05,0.00017964150063659625,100
standardized,NR-AR,HA1E,SPEN,-7.5881906714375605e-06,0.0001062610637659611,100
standardized,NR-AR,HA1E,PTPN12,6.673717907690982e-05,0.0004024655332520369,100
standardized,NR-AR,HA1E,TWF2,0.00022170046093203537,0.0013795133700898277,100
standardized,NR-AR,HA1E,TJP1,-2.857875239874554e-05,0.00030687065275409524,100
standardized,NR-AR,HA1E,MEST,-4.2548046638030575e-05,0.0002354818554147117,100
standardized,NR-AR,HA1E,ALDOC,6.26219787125211e-05,0.0004358555464379832,100
standardized,NR-AR,HA1E,KDM5A,-6.62361772089218e-05,0.00041623266854410424,100
standardized,NR-AR,HA1E,RAI14,1.2041366551750474e-05,0.00013615004563834933,100
standardized,NR-AR,HA1E,BIRC2,0.00014375960685775375,0.001305377200494268,100
standardized,NR-AR,HA1E,CTSL,-1.0353112879581017e-05,0.00029294101284019675,100
standardized,NR-AR,HA1E,PAF1,9.154720936964132e-05,0.000634323746076347,100
standardized,NR-AR,HA1E,BIRC5,4.5998422970866274e-05,0.00025595802459083683,100
standardized,NR-AR,HA1E,RALB,-0.00012588615804332465,0.0011512508847347992,100
standardized,NR-AR,HA1E,ARFIP2,2.6407111117922707e-05,0.00015458902357172658,100
standardized,NR-AR,HA1E,ARHGAP1,1.3503284946320836e-05,0.00010694645452315941,100
standardized,NR-AR,HA1E,CPNE3,0.00014365799850452315,0.0009305861072273284,100
standardized,NR-AR,HA1E,ABL1,-1.4462953598053225e-05,0.0003438353918998582,100
standardized,NR-AR,HA1E,TRAK2,-3.431146290330876e-05,0.0002718448845659836,100
standardized,NR-AR,HA1E,PYCR1,0.00014289933968088643,0.0009942855999392323,100
standardized,NR-AR,HA1E,NUP62,-4.539317151610508e-05,0.00036205509036023624,100
standardized,NR-AR,HA1E,PCM1,-0.00012451114340991575,0.001000209833669466,100
