analysis,task,cell,ik,gene_set,es,nes,nominal_p,leading_edge_size,gene_set_size_measured,ranked_gene_count,leading_edge_genes,drug_name,context,mean_B,directionally_stable_positive,abs_nes,bh_q_within_task_pathway
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Xenobiotic Metabolism,0.4022831745762905,1.049358986932539,0.38276969582467407,4,28,978,RAP1GAP;PROS1;ABHD6;NPC1,eticlopride,MCF7 x 24 h,,False,1.049358986932539,0.5387129052347265
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Fatty Acid Metabolism,-0.3245597255911618,-0.8328328634578563,0.7221652655320894,3,22,978,ECH1;HSD17B11;CBR1,eticlopride,MCF7 x 24 h,,False,0.8328328634578563,0.8712480359571954
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Oxidative Phosphorylation,0.30129861047600626,0.7446887895637886,0.8330062794348508,5,21,978,HSD17B10;NNT;TIMM9;ACAA1;DLD,eticlopride,MCF7 x 24 h,,False,0.7446887895637886,0.9797759508248792
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Glycolysis,-0.258389795038372,-0.7614693400265538,0.8863337713534822,5,42,978,IGFBP3;AURKA;PGAM1;CXCR4;SLC37A4,eticlopride,MCF7 x 24 h,,False,0.7614693400265538,0.9104346202075719
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Reactive Oxygen Species Pathway,0.5422771355118731,1.0359010589048563,0.4464178806625424,2,7,978,OXSR1;TXNRD1,eticlopride,MCF7 x 24 h,,False,1.0359010589048563,0.8829311885612152
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,p53 Pathway,0.3607298921585122,0.9906912199238024,0.467322688451541,7,37,978,DDIT4;IER3;SESN1;CDK5R1;CDKN1A;RAD51C;HMOX1,eticlopride,MCF7 x 24 h,,False,0.9906912199238024,0.6662649219467401
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,UV Response Up,0.45114506458962966,1.1846551646141692,0.22628700735432775,6,29,978,SQSTM1;PRKCD;RAB27A;BID;NFKBIA;HMOX1,eticlopride,MCF7 x 24 h,,False,1.1846551646141692,0.5418046785260637
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,UV Response Dn,0.3690565351965326,0.9322504875851019,0.556328502415459,5,23,978,PIK3R3;ERBB2;COL1A1;MAP2K5;CDKN1B,eticlopride,MCF7 x 24 h,,False,0.9322504875851019,0.8623307086614173
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Angiogenesis,-0.7408507901428243,-1.4171985952278645,0.07526036549420319,2,7,978,APP;PDGFA,eticlopride,MCF7 x 24 h,,False,1.4171985952278645,0.8195645863570391
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,heme Metabolism,0.5207552030250878,1.2882524664219899,0.15299292407726142,10,22,978,RAP1GAP;XPO7;NNT;LRP10;SLC11A2;FOXO3;ABCB6;PSMD9;FBXO7;BNIP3L,eticlopride,MCF7 x 24 h,,False,1.2882524664219899,0.3750794267700603
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Coagulation,-0.47046604053322966,-1.0386043623406942,0.42369112593491004,3,12,978,FYN;SERPINE1;PRSS23,eticlopride,MCF7 x 24 h,,False,1.0386043623406942,0.8133783323396644
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,IL-2/STAT5 Signaling,0.3761275955945096,0.9754345215298168,0.4864088820826952,10,27,978,NCOA3;PRAF2;IL4R;TIAM1;IGF2R;GADD45B;CASP3;CD44;MYC;BCL2,eticlopride,MCF7 x 24 h,,False,0.9754345215298168,0.9688359303391385
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Bile Acid Metabolism,-0.4213814820291723,-0.8397048416515337,0.6798048780487805,2,8,978,PXMP2;HSD17B11,eticlopride,MCF7 x 24 h,,False,0.8397048416515337,0.8907788057190917
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Pperoxisome,-0.4857353854147186,-1.157849340590748,0.2628792506617797,3,16,978,MVP;ECH1;HSD17B11,eticlopride,MCF7 x 24 h,,False,1.157849340590748,0.44397384556211683
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Allograft Rejection,0.3176681384306473,0.8066763416505887,0.7384437596302003,5,24,978,AKT1;IL4R;DYRK3;HLA-DRA;PTPN6,eticlopride,MCF7 x 24 h,,False,0.8066763416505887,0.9119880980346098
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Spermatogenesis,-0.5163423369435363,-1.214287712906792,0.21648440664236532,7,15,978,PSMG1;KIF2C;MAST2;CCNB2;EZH2;AURKA;PARP2,eticlopride,MCF7 x 24 h,,False,1.214287712906792,0.4700804258519933
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,KRAS Signaling Up,-0.5576297469801624,-1.3820135747644295,0.08380120607194844,4,19,978,IGFBP3;ETS1;EPHB2;CXCR4,eticlopride,MCF7 x 24 h,,False,1.3820135747644295,0.8751336799793488
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,KRAS Signaling Dn,0.3716173507279009,0.6187172469633704,0.8920570264765784,1,4,978,EGF,eticlopride,MCF7 x 24 h,,False,0.6187172469633704,0.952906865557468
paired_24h_20x5,NR-Aromatase,MCF7,AADCDMQTJNYOSS,Pancreas Beta Cells,0.5997952917093132,0.8009204934312295,0.801038753495805,1,1,978,STXBP1,eticlopride,MCF7 x 24 h,,False,0.8009204934312295,0.9971876255524307
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,TNF-alpha Signaling via NF-kB,0.3183653812021681,0.8367663625120806,0.7322232837450525,14,38,978,SERPINE1;ZFP36;CCND1;NFKBIE;SMAD3;TIPARP;JUN;BHLHE40;SLC2A6;GADD45A;TRIB1;TNIP1;MYC;CDKN1A,erlotinib,MCF7 x 24 h,,False,0.8367663625120806,0.8348188981282506
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Hypoxia,0.37373566149811743,0.9909525128314014,0.48417157736055916,5,41,978,DDIT4;SLC37A4;SERPINE1;FOXO3;ZFP36,erlotinib,MCF7 x 24 h,,False,0.9909525128314014,0.6814266644333796
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Cholesterol Homeostasis,0.8034249396747749,1.7995884381068312,0.0004576659038901602,8,17,978,ECH1;TMEM97;FDFT1;EBP;HMGCS1;GSTM2;ATF5;TRIB3,erlotinib,MCF7 x 24 h,,False,1.7995884381068312,0.011594202898550725
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Mitotic Spindle,0.2644458105188747,0.6641033563079028,0.9411100127100692,3,30,978,AURKA;PLK1;NUSAP1,erlotinib,MCF7 x 24 h,,False,0.6641033563079028,0.9870656370656372
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Wnt-beta Catenin Signaling,0.5281568436547801,1.02839802227766,0.45548387096774196,4,9,978,FZD1;AXIN1;TP53;MYC,erlotinib,MCF7 x 24 h,,False,1.02839802227766,0.985466377440347
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,TGF-beta Signaling,0.4698504082196905,0.8653430843766204,0.6644306282722513,2,7,978,SERPINE1;SMAD3,erlotinib,MCF7 x 24 h,,False,0.8653430843766204,0.9507355918477528
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,IL-6/JAK/STAT3 Signaling,0.47786139558739604,0.9948264885915006,0.4909147869674185,6,12,978,PTPN1;IFNAR1;JUN;TNFRSF21;HMOX1;FAS,erlotinib,MCF7 x 24 h,,False,0.9948264885915006,0.9952099632763851
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,DNA Repair,0.5553362027059198,1.3354274435074258,0.10667058477813694,6,23,978,LIG1;RPA2;RFC5;RFC2;RPA3;GTF2A2,erlotinib,MCF7 x 24 h,,False,1.3354274435074258,0.39503871522798967
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,G2-M Checkpoint,0.5680458208266012,1.5343538374350645,0.01108557523320265,19,45,978,RPA2;LBR;AURKA;CCND1;CCNF;STMN1;MYBL2;CCNA2;CDC25A;UBE2C;TFDP1;SUV39H1;ATF5;PLK1;SMAD3;NUSAP1;EZH2;CDC20;HIF1A,erlotinib,MCF7 x 24 h,,False,1.5343538374350645,0.024779521109511805
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Apoptosis,-0.36130532275958904,-1.112380617568303,0.25910780669144984,8,40,978,PAK1;CASP2;TIMP2;SPTAN1;SQSTM1;CASP3;BID;IER3,erlotinib,MCF7 x 24 h,,False,1.112380617568303,0.763748850430566
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Notch Signaling,0.6842200971552699,1.2548654195173057,0.1889332003988036,3,7,978,CCND1;FZD1;FZD7,erlotinib,MCF7 x 24 h,,False,1.2548654195173057,0.6125585754451734
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Adipogenesis,0.409280138648365,0.9960218119343738,0.4756559766763848,2,25,978,ECH1;ACLY,erlotinib,MCF7 x 24 h,,False,0.9960218119343738,0.9937212222687318
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Estrogen Response Early,0.4833144679977569,1.2100450609282598,0.19948739854762923,8,29,978,FDFT1;CCND1;PMAIP1;SFN;PRSS23;TIPARP;SH3BP5;BHLHE40,erlotinib,MCF7 x 24 h,,False,1.2100450609282598,0.7868521563612003
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Estrogen Response Late,0.3735693252496949,0.9623659254411417,0.5224750277469479,6,34,978,FDFT1;ZFP36;CCND1;SFN;CDC20;PRSS23,erlotinib,MCF7 x 24 h,,False,0.9623659254411417,0.8824022690837342
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Androgen Response,0.6092069408689744,1.392302773306594,0.07518129347343495,5,19,978,AKT1;CCND1;HMGCS1;INPP4B;UBE2J1,erlotinib,MCF7 x 24 h,,False,1.392302773306594,0.4982192477789519
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Myogenesis,-0.4797507374167749,-1.219183251008332,0.19940476190476192,3,18,978,SPTAN1;IGFBP3;COL1A1,erlotinib,MCF7 x 24 h,,False,1.219183251008332,0.7577380952380952
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Protein Secretion,0.5409541943058903,1.1514213156755735,0.2960772104607721,5,13,978,YKT6;BNIP3;TMED10;ZW10;CLTC,erlotinib,MCF7 x 24 h,,False,1.1514213156755735,0.6896157873028966
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Interferon Alpha Response,0.44926555396207674,0.8481064033505136,0.687266222149943,6,8,978,PSME2;UBE2L6;PSME1;PSMB8;PLSCR1;HERC6,erlotinib,MCF7 x 24 h,,False,0.8481064033505136,0.9995801847187238
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Interferon Gamma Response,0.4825539586689925,1.2330081744008496,0.17236046675101926,15,33,978,MVP;PLA2G4A;PSME2;ST3GAL5;HIF1A;UBE2L6;PTPN1;PNP;CDKN1A;HLA-DMA;NUP93;PSME1;PSMB8;FAS;CASP7,erlotinib,MCF7 x 24 h,,False,1.2330081744008496,0.8128281282812828
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Apical Junction,-0.39605181475725293,-1.1285445217600378,0.25746516257465163,4,29,978,GNAI2;LAMA3;MAPK13;RSU1,erlotinib,MCF7 x 24 h,,False,1.1285445217600378,0.8244793684171693
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Apical Surface,0.6650266459724228,1.1789540780796335,0.27859286428809604,2,6,978,BRCA1;APP,erlotinib,MCF7 x 24 h,,False,1.1789540780796335,0.8759885579673565
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Hedgehog Signaling,-0.5059088006857442,-0.9226774704117418,0.5608974358974359,2,5,978,RASA1;CDK5R1,erlotinib,MCF7 x 24 h,,False,0.9226774704117418,0.9691335068798811
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Complement,0.30106896870529587,0.7561040183913351,0.8386549872845437,5,30,978,SERPINE1;PLA2G4A;FYN;PIK3CA;CBLB,erlotinib,MCF7 x 24 h,,False,0.7561040183913351,0.9865036865461134
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Unfolded Protein Response,0.4383045790038249,1.0572413864976438,0.3871620644788203,3,24,978,DDIT4;POP4;DDX10,erlotinib,MCF7 x 24 h,,False,1.0572413864976438,0.8409732950783491
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,PI3K/AKT/mTOR  Signaling,0.3913627572925277,0.9573118253127637,0.5432420686657975,12,26,978,AKT1;SFN;TRIB3;RPS6KA1;PAK4;CDKN1B;DUSP3;CXCR4;PIK3R3;CDK2;CLTC;CDKN1A,erlotinib,MCF7 x 24 h,,False,0.9573118253127637,0.7420020444478099
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,mTORC1 Signaling,0.6323164409331924,1.7191535529827944,0.00039856516540454366,17,48,978,TMEM97;DDIT4;ACLY;SLC37A4;TXNRD1;AURKA;EBP;CCNF;HMGCS1;CDC25A;YKT6;RPN1;PHGDH;PLK1;TRIB3;ELOVL6;HSPD1,erlotinib,MCF7 x 24 h,,False,1.7191535529827944,0.03029095257074532
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,E2F Targets,0.6616977163140378,1.8357129133264158,0.00013194352816994325,21,53,978,LIG1;RPA2;LBR;TIMELESS;CHEK2;AURKA;PSIP1;BRCA1;STMN1;MYBL2;RFC2;CDC25A;DCK;SUV39H1;PLK1;EZH2;RPA3;RAD51C;CDC20;MELK;CCP110,erlotinib,MCF7 x 24 h,,False,1.8357129133264158,0.0006267317588072304
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Myc Targets V1,-0.40007264538961673,-1.051690307650984,0.37382039573820397,3,20,978,NOLC1;CDC45;SMARCC1,erlotinib,MCF7 x 24 h,,False,1.051690307650984,0.4984271943176053
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Myc Targets V2,0.5814676946022358,1.1356131352560401,0.3214055448098001,4,9,978,TMEM97;PLK1;HSPD1;GRWD1,erlotinib,MCF7 x 24 h,,False,1.1356131352560401,0.6951772324471711
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Epithelial Mesenchymal Transition,-0.43266360582332103,-1.1944085480784512,0.19158724942490962,4,25,978,IGFBP3;HTRA1;LAMA3;COL1A1,erlotinib,MCF7 x 24 h,,False,1.1944085480784512,0.48148746857254887
