analysis,task,cell,ik,gene_set,es,nes,nominal_p,leading_edge_size,gene_set_size_measured,ranked_gene_count,leading_edge_genes,drug_name,context,mean_B,directionally_stable_positive,abs_nes,bh_q_within_task_pathway
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Inflammatory Response,0.3970089341351133,0.8793098813578137,0.6468097973994557,5,16,978,SERPINE1;HIF1A;IFNAR1;MYC;CDKN1A,erlotinib,MCF7 x 24 h,,False,0.8793098813578137,0.9493559678468159
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Xenobiotic Metabolism,0.5521844355238683,1.372919257151951,0.0735609198685902,5,28,978,RAP1GAP;ECH1;TMEM97;SERPINE1;CBR1,erlotinib,MCF7 x 24 h,,False,1.372919257151951,0.3727086606675237
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Fatty Acid Metabolism,0.41124378105131676,0.9713648636099851,0.5068392410648624,3,22,978,ECH1;CBR1;HMGCS1,erlotinib,MCF7 x 24 h,,False,0.9713648636099851,0.8712480359571954
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Oxidative Phosphorylation,0.34381931583208375,0.8091849857335098,0.7506978110768326,1,21,978,ECH1,erlotinib,MCF7 x 24 h,,False,0.8091849857335098,0.9592950417733096
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Glycolysis,0.40497112347375136,1.0781668169296492,0.3531659388646288,5,42,978,DDIT4;SLC37A4;ECD;AURKA;STMN1,erlotinib,MCF7 x 24 h,,False,1.0781668169296492,0.6606621400959083
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Reactive Oxygen Species Pathway,0.376614804458796,0.6934143823794185,0.8609096901779829,1,7,978,TXNRD1,erlotinib,MCF7 x 24 h,,False,0.6934143823794185,0.9347019493360956
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,p53 Pathway,0.36350545339988916,0.9488978175196855,0.5452777777777778,13,37,978,DDIT4;FOXO3;APP;CEBPA;SFN;TRIB3;RAD51C;PDGFA;CCP110;JUN;GADD45A;TP53;RAD9A,erlotinib,MCF7 x 24 h,,False,0.9488978175196855,0.6684050179211469
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,UV Response Up,-0.35947909959371077,-1.0391286228747432,0.3762609280430397,11,29,978,CCND3;STK25;CLTB;ACAA1;CXCL2;CREG1;LYN;FOS;SQSTM1;CASP3;BID,erlotinib,MCF7 x 24 h,,False,1.0391286228747432,0.6650193146807213
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,UV Response Dn,0.4355746828591153,1.0468974042144732,0.4033527696793003,13,23,978,SERPINE1;INPP4B;FYN;SMAD3;MAP2K5;CDKN1B;INSIG1;BHLHE40;TJP1;PIK3R3;MYC;ERBB2;PPARG,erlotinib,MCF7 x 24 h,,False,1.0468974042144732,0.8597671617824165
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Angiogenesis,0.6971316050813934,1.2712043144591105,0.16541964866623293,3,7,978,APP;PDGFA;TNFRSF21,erlotinib,MCF7 x 24 h,,False,1.2712043144591105,0.8195645863570391
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,heme Metabolism,0.4656191783846123,1.097640297921421,0.33601874908451734,6,22,978,RAP1GAP;FOXO3;SNCA;PPOX;CAST;CAT,erlotinib,MCF7 x 24 h,,False,1.097640297921421,0.4761180793107817
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Coagulation,0.4261229396230021,0.8867554308217652,0.6314384422110553,3,12,978,SERPINE1;FYN;PRSS23,erlotinib,MCF7 x 24 h,,False,0.8867554308217652,0.8133783323396644
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,IL-2/STAT5 Signaling,-0.26114640240870757,-0.7375600535948695,0.9029605263157895,3,27,978,MAPKAPK2;TIAM1;CASP3,erlotinib,MCF7 x 24 h,,False,0.7375600535948695,0.9688359303391385
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Bile Acid Metabolism,0.2837933888112034,0.5364398658570289,0.9673170731707317,2,8,978,CAT;NPC1,erlotinib,MCF7 x 24 h,,False,0.5364398658570289,0.9673170731707317
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Pperoxisome,0.5104366822982929,1.1376768563349617,0.3081219806763285,2,16,978,MVP;ECH1,erlotinib,MCF7 x 24 h,,False,1.1376768563349617,0.4683454106280193
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Allograft Rejection,0.4653347850609723,1.1217697213000288,0.30669546436285094,5,24,978,AKT1;BRCA1;ETS1;HIF1A;IKBKB,erlotinib,MCF7 x 24 h,,False,1.1217697213000288,0.9119880980346098
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Spermatogenesis,0.7609120996479205,1.6567722400537033,0.0045296693341386075,3,15,978,PARP2;AURKA;EZH2,erlotinib,MCF7 x 24 h,,False,1.6567722400537033,0.0983793299849842
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,KRAS Signaling Up,-0.46183018927906844,-1.1961905278192804,0.20988407565588774,4,19,978,ERO1A;GLRX;KIF5C;IGFBP3,erlotinib,MCF7 x 24 h,,False,1.1961905278192804,0.8751336799793488
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,KRAS Signaling Dn,-0.8055748225590286,-1.3887726232659534,0.11432637571157495,2,4,978,EGF;C5,erlotinib,MCF7 x 24 h,,False,1.3887726232659534,0.6206288967199782
paired_24h_20x5,NR-Aromatase,MCF7,AAKJLRGGTJKAMG,Pancreas Beta Cells,-0.5701125895598786,-0.7590998775715441,0.863672814755413,1,1,978,STXBP1,erlotinib,MCF7 x 24 h,,False,0.7590998775715441,0.9971876255524307
paired_24h_20x5,NR-Aromatase,MCF7,AFNXATANNDIXLG,TNF-alpha Signaling via NF-kB,0.44532814176099283,1.0087735889839062,0.4838410749449786,13,38,978,SQSTM1;DUSP4;IER3;MYC;CDKN1A;EDN1;NFKBIA;TIPARP;ICAM1;TNIP1;GADD45B;GADD45A;JUN,sulconazole,MCF7 x 24 h,,True,1.0087735889839062,0.7891939656603475
