Assay family,Tox21 assay,Chem.only (baseline),6h | HA1E | No adjustment,6h | HepG2 | No adjustment,6h | HT29 | No adjustment,6h | MCF7 | No adjustment,24h | HA1E | No adjustment,24h | HepG2 | No adjustment,24h | HT29 | No adjustment,24h | MCF7 | No adjustment
NR,NR-AR,0.483 ± 0.107,0.432 ± 0.204,**0.553 ± 0.234**,0.385 ± 0.167,0.460 ± 0.199,0.432 ± 0.204,-,0.385 ± 0.167,0.460 ± 0.199
NR,NR-AR-LBD,0.560 ± 0.127,0.503 ± 0.240,0.567 ± 0.271,0.510 ± 0.214,0.584 ± 0.222,0.503 ± 0.240,-,0.510 ± 0.214,**0.586 ± 0.221**
NR,NR-AhR,0.488 ± 0.078,0.528 ± 0.123,0.476 ± 0.159,0.521 ± 0.144,0.468 ± 0.124,**0.529 ± 0.125**,-,0.521 ± 0.143,0.469 ± 0.123
NR,NR-Aromatase,0.375 ± 0.074,0.396 ± 0.129,0.355 ± 0.138,0.371 ± 0.147,0.425 ± 0.125,0.462 ± 0.143,-,0.371 ± 0.148,**0.527 ± 0.135** *
NR,NR-ER,0.424 ± 0.055,0.441 ± 0.123,**0.468 ± 0.129**,0.409 ± 0.142,0.407 ± 0.102,0.440 ± 0.124,-,0.409 ± 0.142,0.406 ± 0.102
NR,NR-ER-LBD,0.404 ± 0.100,0.404 ± 0.193,**0.430 ± 0.221**,0.375 ± 0.217,0.404 ± 0.182,0.407 ± 0.193,-,0.372 ± 0.216,0.411 ± 0.181
NR,NR-PPAR-γ,0.208 ± 0.082,0.241 ± 0.153,**0.292 ± 0.230**,-,0.212 ± 0.150,0.241 ± 0.153,-,-,0.212 ± 0.150
