task,random_auprc
NR-AR,0.038461538461538464
NR-AR-LBD,0.040145985401459854
NR-AhR,0.15867158671586715
NR-Aromatase,0.07352941176470588
NR-ER,0.13983050847457626
NR-ER-LBD,0.045774647887323945
NR-PPAR-gamma,0.044534412955465584
SR-ARE,0.27906976744186046
SR-ATAD5,0.0576271186440678
SR-HSE,0.0888030888030888
SR-MMP,0.2
SR-p53,0.13553113553113552
