display_order,category,model_key,model,seed,nr_macro_auprc,sr_macro_auprc,all_task_macro_auprc,is_ensemble,auprc__NR-AR,role__NR-AR,auprc__NR-AR-LBD,role__NR-AR-LBD,auprc__NR-AhR,role__NR-AhR,auprc__NR-Aromatase,role__NR-Aromatase,auprc__NR-ER,role__NR-ER,auprc__NR-ER-LBD,role__NR-ER-LBD,auprc__NR-PPAR-gamma,role__NR-PPAR-gamma,auprc__SR-ARE,role__SR-ARE,auprc__SR-ATAD5,role__SR-ATAD5,auprc__SR-HSE,role__SR-HSE,auprc__SR-MMP,role__SR-MMP,auprc__SR-p53,role__SR-p53,role__NR_overall,role__SR_overall
1,GNN (MPNN),GAT_Pretrained,GAT,1,0.1629286263005939,0.2402630145710931,0.1951512880799685,False,0.1383310144411457,,0.0865035402308491,,0.3653680589324354,,0.1650811917721306,,0.2627882192996365,,0.048950681524077,,0.0734776779038827,,0.3708721867094897,,0.1399410335789526,,0.1286428750438787,,0.3507302507996942,,0.21112872672345,,,
2,Classical ML,MACCS_LR,MACCS + logistic regression,1,0.2930218760690043,0.2763861453425478,0.2860903215996474,False,0.6959290966252467,,0.2730631140347328,,0.3189964844434965,,0.2058856681087027,,0.3702251229298109,,0.1298758494181294,,0.0571777969229109,,0.3773127142104253,,0.0855731793039288,,0.1535728247120805,,0.4732130412659489,,0.2922589672203555,,,
3,Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,1,0.3286892821967646,0.3157022473883541,0.3232780176932602,False,0.6157459153593091,,0.3409514668948998,,0.471657932889504,,0.2209376527079337,,0.3067150347663608,,0.1947685082601991,,0.1500484644991453,,0.4800983813137966,,0.1775478980066495,,0.1540181672808385,,0.4750742684044481,,0.2917725219360377,,,
4,Classical ML,RDKit_LR,RDKit descriptors + logistic regression,1,0.3379365137753028,0.3258101280770429,0.3328838530676946,False,0.7063734319119171,,0.3385832253239524,,0.4447233096898174,,0.2508375330033575,,0.2384385676311876,,0.1935495511329265,,0.1930499777339611,,0.4701185407270023,,0.1769876255892548,,0.1439042383202485,,0.5515909858942347,,0.2864492498544744,,,
5,Classical ML,MACCS_XGB,MACCS + XGBoost,1,0.353385357995036,0.322587318350337,0.3405528414764114,False,0.6157906885777298,,0.3741164882256529,,0.3747569263844467,,0.3600872225404378,,0.3841544438880541,,0.2641339182936812,winner,0.1006578180552498,,0.5389238898457006,,0.1102958621990637,,0.1109350539967336,,0.5134789053697743,,0.3393028803404127,,,
6,Classical ML,Morgan_XGB,Morgan + XGBoost,1,0.3811063885069735,0.2930061141614944,0.3443979408630239,False,0.7643470645929662,,0.3811513652805788,runner-up,0.4238190253561976,,0.3696321099986692,runner-up,0.3305681321744588,,0.1525280389526816,,0.2456989831932623,,0.4280228318875644,,0.1592202213058412,,0.1572563285770519,,0.4735999416150064,,0.2469312474220084,,runner-up,
7,Classical ML,Morgan_LR,Morgan + logistic regression,1,0.3488382979427996,0.349084845508424,0.3489410260951431,False,0.775256533589867,,0.2308328883046995,,0.4905726402615902,,0.2523555740564654,,0.3088765787638194,,0.1500726573814556,,0.2339012132416996,,0.4501401017140409,,0.2050052863853101,,0.2259884036886586,,0.5373989203037185,,0.3268915154503917,,,
8,BERT,ChemBERTa_Pretrained,ChemBERTa,1,0.3520868499906968,0.3500925401043612,0.351255887538057,False,0.7438790954415955,,0.367393141903481,,0.4504569580454566,,0.2826284325138067,,0.4154323206411537,runner-up,0.1609293692329779,,0.0438886321564059,,0.5044406071320084,,0.1797856378292018,,0.203156562412494,,0.5622909562110147,,0.3007889369370873,,,
9,GNN (D-MPNN),Chemprop,Chemprop,1,0.3364502641022593,0.3726064520929733,0.3515153424317235,False,0.7340116546406338,,0.2318801097679466,,0.3732896548676636,,0.2513448304887672,,0.3353794736103511,,0.1211451108695122,,0.308101014470941,runner-up,0.4319704682249884,,0.1879919277925282,,0.312704639353232,,0.5332865800349511,,0.3970786450591669,,,
10,GNN (MPNN),GCN_Pretrained,GCN,1,0.3385454144218506,0.3919656422252244,0.3608038426732563,False,0.73644610351399,,0.3058305983422262,,0.4316674506783924,,0.2373486145288688,,0.3879599370641601,,0.1673638827087993,,0.1032013141165171,,0.4999605979521808,,0.1157128144981635,,0.3826567350508981,,0.5719377520056399,runner-up,0.3895603116192398,,,
11,GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,1,0.3679062209817492,0.3869604878279796,0.3758454988343452,False,0.8019087308480071,,0.3424450479394891,,0.447877151458187,,0.3500284648978366,,0.375875756128242,,0.1827221721969227,,0.0744862234035601,,0.5082369807468202,,0.1309341946726895,,0.3206088715514318,,0.5444131901285467,,0.4306092020404101,,,
12,GNN (MPNN),GIN_Pretrained,GIN,1,0.3761721140106759,0.4397199032379551,0.4026503595220423,False,0.817776855311102,runner-up,0.3700605771137347,,0.5121548754145218,runner-up,0.3085363211915259,,0.3863576801128477,,0.1664343218624478,,0.0718841670685518,,0.5687786693405894,runner-up,0.2123892356045923,runner-up,0.4560723467673271,winner,0.5253431997048468,,0.43601606477242,runner-up,,runner-up
13,Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,1,0.4649422812539263,0.5078687806382827,0.4828283226640747,True,0.8207627237963292,winner,0.4149017732552602,winner,0.5740318828989827,winner,0.4435769122299972,winner,0.4599549661132784,winner,0.2190428289853234,runner-up,0.3223248814983128,winner,0.618125302550079,winner,0.3407768625635515,winner,0.4317337456062108,runner-up,0.6221280618528017,winner,0.52657993061877,winner,winner,winner
