role,ik,drug_name,compound_name,n_evaluable_endpoints,n_selected_endpoints,sum_selected_delta_p,maximum_selected_delta_p,candidate_rank
Correction,XNMYNYSCEJBRPZ,quinisocaine,Quinisocaine,3,2,0.0497963964219861,0.0278615878325429,67
Correction,SYTBZMRGLBWNTM,flurbiprofen,Flurbiprofen,3,1,0.0497209710255773,0.0497209710255773,68
Correction,XWTYSIMOBUGWOL,terbutaline,Terbutaline,3,1,0.0489266193955341,0.0489266193955341,69
Correction,BAQCROVBDNBEEB,metrizamide,Metrizamide,3,2,0.0476772031744734,0.0272972614773413,70
Correction,NQDJXKOVJZTUJA,nevirapine,Nevirapine,3,2,0.0473420452873835,0.026526615987612,71
Correction,BCEHBSKCWLPMDN,voriconazole,Voriconazole,4,1,0.0472477411371234,0.0472477411371234,72
Correction,DNXHEGUUPJUMQT,estrone,Estrone,3,1,0.0470920339388539,0.0470920339388539,73
Correction,MNJNPLVXBISNSX,bemesetron,Bemesetron,3,1,0.0468613161901917,0.0468613161901917,74
Correction,PBBGSZCBWVPOOL,hexestrol,Hexestrol,1,1,0.0465523517049754,0.0465523517049754,75
Correction,SGTNSNPWRIOYBX,verapamil,Verapamil,3,1,0.0461794370346,0.0461794370346,76
Correction,IJHNSHDBIRRJRN,pheniramine,Pheniramine,4,2,0.0457961199354366,0.0242955606930976,77
Correction,ODQWQRRAPPTVAG,doxepin,Doxepin,3,1,0.0456126813383332,0.0456126813383332,78
Correction,KPSRODZRAIWAKH,ciprofibrate,Ciprofibrate,4,1,0.0454396223486293,0.0454396223486293,79
Correction,KWGRBVOPPLSCSI,racephedrine,Racephedrine,4,1,0.0445105789873323,0.0445105789873323,80
Correction,OPNUROKCUBTKLF,ditolylguanidine,Ditolylguanidine,3,1,0.0441353455716696,0.0441353455716696,81
Correction,KYLIZBIRMBGUOP,BRD-K92490248,BRD-K92490248,1,1,0.0440440542392187,0.0440440542392187,82
Correction,FEROPKNOYKURCJ,zacopride,Zacopride,3,2,0.0436560792640865,0.0225340304514186,83
Correction,UIAYVIIHMORPSJ,cilostamide,Cilostamide,4,1,0.0434671813853358,0.0434671813853358,84
Correction,JZRWCGZRTZMZEH,thiamine,Thiamine,3,1,0.0432835640409447,0.0432835640409447,85
Correction,JBDGDEWWOUBZPM,ambroxol,Ambroxol,3,1,0.0427626129413224,0.0427626129413224,86
Correction,HEFNNWSXXWATRW,BRD-K14965640,BRD-K14965640,3,1,0.0423444529032362,0.0423444529032362,87
Correction,WHTVZRBIWZFKQO,chloroquine,Chloroquine,4,1,0.0422535521153436,0.0422535521153436,88
Correction,CTRLABGOLIVAIY,oxcarbazepine,Oxcarbazepine,3,1,0.0418165909201895,0.0418165909201895,89
Correction,VZJFGSRCJCXDSG,hexamethonium,Hexamethonium,3,1,0.0417922601372567,0.0417922601372567,90
Correction,OVGORFFCBUIFIA,fenipentol,Fenipentol,3,1,0.041652892905951,0.041652892905951,91
Correction,VHGCDTVCOLNTBX,atomoxetine,Atomoxetine,3,1,0.0414783233775782,0.0414783233775782,92
Correction,KRMDCWKBEZIMAB,amitriptyline,Amitriptyline,3,1,0.0411947769117677,0.0411947769117677,93
Correction,HEMJJKBWTPKOJG,gemfibrozil,Gemfibrozil,3,1,0.0409780642151114,0.0409780642151114,94
Correction,FFINMCNLQNTKLU,adipiodone,Adipiodone,3,1,0.0408502399919299,0.0408502399919299,95
Correction,RRAFCDWBNXTKKO,eugenol,Eugenol,3,1,0.0408321002425977,0.0408321002425977,96
Correction,QWGDMFLQWFTERH,amoxapine,Amoxapine,1,1,0.0407416412776419,0.0407416412776419,97
Correction,XGLHZTBDUXXHOM,loreclezole,Loreclezole,3,1,0.040727430545433,0.040727430545433,98
Correction,FJLBFSROUSIWMA,metyrapone,Metyrapone,3,1,0.0403713072997237,0.0403713072997237,99
Correction,YOSHYTLCDANDAN,irbesartan,Irbesartan,3,1,0.0402199228462188,0.0402199228462188,100
Correction,JWDYCNIAQWPBHD,mephenesin,Mephenesin,3,1,0.0400321770479996,0.0400321770479996,101
Correction,YMBXTVYHTMGZDW,loxoprofen,Loxoprofen,3,1,0.0399831196067994,0.0399831196067994,102
Correction,FYPMFJGVHOHGLL,probucol,Probucol,4,1,0.0395850279525799,0.0395850279525799,103
Correction,BKYKPTRYDKTTJY,cyclopenthiazide,Cyclopenthiazide,4,1,0.039343042201926,0.039343042201926,104
Correction,FELGMEQIXOGIFQ,ondansetron,Ondansetron,4,1,0.0391103694521765,0.0391103694521765,105
Correction,QDIYJDPBMZUZEH,fenpiverinium,Fenpiverinium,3,1,0.0390057284784099,0.0390057284784099,106
Correction,UOWZUVNAGUAEQC,tiratricol,Tiratricol,1,1,0.0384609470442179,0.0384609470442179,107
