Family,Tox21 endpoint,Cell line,Compounds,Delta log loss (D1-C1) +/- repeat SD,Log-loss NB 95% CI,Log-loss P,Log-loss BH q,Delta AUPRC (D1-C1) +/- repeat SD,AUPRC NB 95% CI,AUPRC P,AUPRC BH q
NR,NR-ER-LBD,MCF7,1194,-0.2426 ± 0.0061,"[-0.2791, -0.2061]",1.53e-23,1.84e-22,+0.0332 ± 0.0417,"[-0.0539, +0.1203]",0.4516,0.8655
NR,NR-PPAR-gamma,HA1E,811,-0.1026 ± 0.0040,"[-0.1290, -0.0762]",9.48e-12,1.62e-11,+0.0017 ± 0.0074,"[-0.0154, +0.0187]",0.8474,0.9991
NR,NR-PPAR-gamma,HepG2,552,-0.1099 ± 0.0060,"[-0.1460, -0.0738]",2.66e-08,4.56e-08,+0.0000 ± 0.0001,"[-0.0002, +0.0002]",0.8287,0.9559
NR,NR-PPAR-gamma,HT29,803,-0.1077 ± 0.0069,"[-0.1400, -0.0755]",1.86e-09,3.19e-09,-0.0008 ± 0.0069,"[-0.0163, +0.0148]",0.9228,0.9999
NR,NR-PPAR-gamma,MCF7,1073,-0.1184 ± 0.0046,"[-0.1403, -0.0965]",2.90e-18,5.79e-18,+0.0000 ± 0.0000,NA,NA,NA
SR,SR-ARE,HA1E,690,-0.0743 ± 0.0076,"[-0.1130, -0.0357]",2.39e-04,2.61e-04,-0.0008 ± 0.0055,"[-0.0148, +0.0132]",0.9114,0.9991
SR,SR-ARE,HepG2,451,-0.0645 ± 0.0119,"[-0.1093, -0.0197]",0.0052,0.0057,-0.0048 ± 0.0183,"[-0.0510, +0.0415]",0.8380,0.9559
SR,SR-ARE,HT29,682,-0.0815 ± 0.0057,"[-0.1175, -0.0455]",1.89e-05,2.06e-05,+0.0018 ± 0.0076,"[-0.0182, +0.0217]",0.8610,0.9999
SR,SR-ARE,MCF7,923,-0.0865 ± 0.0104,"[-0.1240, -0.0491]",1.34e-05,1.47e-05,+0.0030 ± 0.0076,"[-0.0160, +0.0220]",0.7536,0.8655
SR,SR-ATAD5,HA1E,911,-0.0565 ± 0.0030,"[-0.0760, -0.0369]",1.05e-07,1.40e-07,+0.0000 ± 0.0119,"[-0.0295, +0.0295]",0.9991,0.9991
SR,SR-ATAD5,HepG2,619,-0.0604 ± 0.0029,"[-0.0826, -0.0381]",4.77e-07,6.35e-07,-0.0040 ± 0.0144,"[-0.0396, +0.0315]",0.8218,0.9559
SR,SR-ATAD5,HT29,903,-0.0552 ± 0.0035,"[-0.0775, -0.0329]",3.55e-06,4.26e-06,-0.0039 ± 0.0130,"[-0.0343, +0.0266]",0.8005,0.9999
SR,SR-ATAD5,MCF7,1196,-0.0646 ± 0.0041,"[-0.0855, -0.0436]",1.90e-08,2.54e-08,+0.0048 ± 0.0127,"[-0.0244, +0.0341]",0.7433,0.8655
