family,task,cell,logloss_mean,logloss_repeat_sd,auprc_mean,auprc_repeat_sd,n_repeats,n_unique_compounds,logloss_n_folds,logloss_ci_low,logloss_ci_high,logloss_p,auprc_n_folds,auprc_ci_low,auprc_ci_high,auprc_p,logloss_q,auprc_q
NR,NR-AR,HA1E,-0.17166341618458386,0.004667544927879457,-0.00019911633968923998,0.005916608123287437,20,968,100,-0.2062554333506493,-0.1370713990185183,2.3628820470677643e-16,100,-0.013510020813988,0.0131117881346095,0.9763806763812592,9.451528188271057e-16,0.9991292686576868
NR,NR-AR,HEPG2,-0.1923512157674641,0.0032486632444492657,0.000158531845188515,0.0007089759648799851,20,668,100,-0.2314781645144843,-0.1532242670204438,3.753899585148848e-16,100,-0.0014647418630407,0.0017818055534178,0.846743462292969,1.501559834059539e-15,0.9558943298430902
NR,NR-AR,HT29,-0.17416610181757372,0.0034730796627628875,0.0,0.0,20,960,100,-0.2125709725385465,-0.1357612310966009,1.6699024850901253e-14,100,,,,5.009707455270376e-14,
NR,NR-AR,MCF7,-0.18127910720262153,0.004592457008110855,-0.00015914558720356498,0.0008093265626749963,20,1259,100,-0.2092744856307106,-0.1532837287745325,8.134494754884024e-23,100,-0.0020192848869561,0.0017009937125489,0.8655444030200162,4.880696852930415e-22,0.8655444030200162
NR,NR-AR-LBD,HA1E,-0.03076336559334868,0.003796212097715832,-0.00036823908307283997,0.0016468152434461248,20,869,100,-0.0533346913198686,-0.0081920398668288,0.0080570967477016,100,-0.0041626376101238,0.0034261594439781,0.8476945634228713,0.0080570967477016,0.9991292686576868
NR,NR-AR-LBD,HEPG2,-0.03563225557901718,0.004443486418254318,-0.000107065339386295,0.0005633077061529371,20,598,100,-0.0621350449114611,-0.0091294662465733,0.0089230451552626,100,-0.0013917530967527,0.0011776224179801,0.8689948453119002,0.0089230451552626,0.9558943298430902
NR,NR-AR-LBD,HT29,-0.03393862127203602,0.003072368750642389,0.000299370246219415,0.0009612945446023838,20,862,100,-0.0562957330530046,-0.0115815094910674,0.0032934713407662,100,-0.0023979579137073,0.0029966984061461,0.8261504526844498,0.0032934713407662005,0.9998546448656873
NR,NR-AR-LBD,MCF7,-0.03597364326068832,0.00437292853101665,0.0016359340650498283,0.008925919598020948,20,1145,100,-0.0560130620918656,-0.0159342244295111,0.0005678877492333,100,-0.0140103987252164,0.0172822668553161,0.8360737958577691,0.0005678877492333,0.8655444030200162
NR,NR-AhR,HA1E,-0.08162516755366309,0.005883818000494933,-0.000718369666902691,0.002375275083404461,20,849,100,-0.1153589958123607,-0.0478913392949654,5.600036931699539e-06,100,-0.0062844213067082,0.0048476819729028,0.7984139481211352,6.720044318039446e-06,0.9991292686576868
NR,NR-AhR,HEPG2,-0.09884916807762216,0.00609480664738352,0.002802966713068435,0.006844751720871408,20,585,100,-0.1325345413967825,-0.0651637947584619,7.191628324942211e-08,100,-0.0127260477956299,0.0183319812217667,0.720994670045506,1.0787442487413316e-07,0.9558943298430902
NR,NR-AhR,HT29,-0.09076991938138806,0.004189712095624055,0.0006377785638475399,0.0015525761531739544,20,841,100,-0.1225181705593234,-0.0590216682034527,1.395858492664865e-07,100,-0.0031012229803686,0.0043767801080637,0.7357356171023435,2.0937877389972973e-07,0.9998546448656873
NR,NR-AhR,MCF7,-0.0920393929218491,0.006601948307322226,-0.00046706860511476,0.002088794302385219,20,1111,100,-0.1258778133465777,-0.0582009724971206,4.64239211217554e-07,100,-0.0052886355435486,0.0043544983333191,0.8479694755340689,5.570870534610648e-07,0.8655444030200162
