family,task,cell,logloss_mean,logloss_repeat_sd,auprc_mean,auprc_repeat_sd,n_repeats,n_unique_compounds,logloss_n_folds,logloss_ci_low,logloss_ci_high,logloss_p,auprc_n_folds,auprc_ci_low,auprc_ci_high,auprc_p,logloss_q,auprc_q
NR,NR-Aromatase,HA1E,-0.23556041148030982,0.008064949515010399,-0.006931276005388415,0.019368788191059808,20,759,100,-0.2856647489540703,-0.1854560740065495,3.1890630414542347e-15,100,-0.0476275874509698,0.0337650354401929,0.7361194568809815,9.567189124362704e-15,0.9991292686576868
NR,NR-Aromatase,HEPG2,-0.2242224547146369,0.009380429872433678,0.00391743374805994,0.015114556644962236,20,512,100,-0.2800990391874891,-0.1683458702417846,2.890509398466439e-12,100,-0.029853680438362,0.0376885479344819,0.8184359565222676,8.671528195399318e-12,0.9558943298430902
NR,NR-Aromatase,HT29,-0.23435165066855754,0.00782895734293573,4.362171605605189e-06,0.021118804961306928,20,758,100,-0.2888943604960374,-0.1798089408410777,1.7732390918716362e-13,100,-0.0473876228697125,0.0473963472129237,0.9998546448656872,3.5464781837432723e-13,0.9998546448656873
NR,NR-Aromatase,MCF7,-0.2399038343305301,0.007003189516159407,0.01134126496781553,0.023170108249462643,20,1021,100,-0.2794992377506163,-0.2003084309104439,4.601164497373616e-21,100,-0.0377916200802986,0.0604741500159297,0.6479463881456291,1.3803493492120848e-20,0.8655444030200162
NR,NR-ER,HA1E,-0.18109374971176304,0.008671465630227146,1.3036071704199992e-06,0.0007146572115165125,20,805,100,-0.2246644735656753,-0.1375230258578508,7.075859597201219e-13,100,-0.0015703969981579,0.0015730042124988,0.9986901871264032,1.415171919440244e-12,0.9991292686576868
NR,NR-ER,HEPG2,-0.18547114076693585,0.00840634307522447,-1.3985087463705e-05,6.2543212480249e-05,20,540,100,-0.2450559212817253,-0.1258863602521464,1.4573957122630325e-08,100,-0.000157767945431,0.0001297977705036,0.847357856921659,2.914791424526065e-08,0.9558943298430902
NR,NR-ER,HT29,-0.17848518996909737,0.006890341080579992,1.055966809586e-05,4.722427136435744e-05,20,799,100,-0.2197532805009757,-0.1372170994372189,1.3397337373955904e-13,100,-9.825368069511564e-05,0.0001193730168868,0.8477010902859643,3.215360969749417e-13,0.9998546448656873
NR,NR-ER,MCF7,-0.19187935635272557,0.008944023961501459,-0.0007330053983796,0.0018266064355184164,20,1067,100,-0.2355429125982596,-0.1482158001071915,6.734070363716861e-14,100,-0.0051531081979945,0.0036870974012353,0.7428118040494367,1.154412062351462e-13,0.8655444030200162
NR,NR-ER-LBD,HA1E,-0.22257708031535167,0.004482186888593879,0.000482836018553585,0.0017880643035068076,20,907,100,-0.2599184343985924,-0.185235726232111,1.2027821211194874e-20,100,-0.0036675160623712,0.0046331880994784,0.8179184465932876,7.216692726716924e-20,0.9991292686576868
NR,NR-ER-LBD,HEPG2,-0.2236122483566661,0.0047223299021285905,0.0,0.0,20,620,100,-0.2638230463556778,-0.1834014503576544,6.155337416518389e-19,100,,,,3.6932024499110334e-18,
NR,NR-ER-LBD,HT29,-0.2219205530278802,0.004920058184216006,0.0,0.0,20,902,100,-0.2611574894254068,-0.1826836166303536,2.408550105181241e-19,100,,,,2.8902601262174893e-18,
NR,NR-ER-LBD,MCF7,-0.24262250332287535,0.006129827515896784,0.03317717632690241,0.041746891911034444,20,1194,100,-0.2791093435346,-0.2061356631111508,1.5323942885637758e-23,100,-0.0539383527277164,0.1202927053815213,0.4516404552211503,1.838873146276531e-22,0.8655444030200162
NR,NR-PPAR-gamma,HA1E,-0.10262314099404371,0.004016518072063127,0.00165534420289855,0.007402924327682724,20,811,100,-0.1289979078430323,-0.0762483741450552,9.478835769445804e-12,100,-0.0153709763070092,0.0186816647128063,0.84742398630978,1.6249432747621377e-11,0.9991292686576868
NR,NR-PPAR-gamma,HEPG2,-0.10988182404126094,0.005972784151566482,2.3072646027260155e-05,9.118681408694836e-05,20,552,100,-0.145955732398466,-0.0738079156840559,2.6608286686641605e-08,100,-0.0001879797416481,0.0002341250337027,0.8287183717663559,4.5614205748528465e-08,0.9558943298430902
NR,NR-PPAR-gamma,HT29,-0.10774473544143381,0.006926502453718639,-0.0007633099571990648,0.006865391277765092,20,803,100,-0.1400355048626773,-0.0754539660201903,1.862277746123379e-09,100,-0.0163472261152972,0.014820606200899,0.9227734348750204,3.192476136211507e-09,0.9998546448656873
NR,NR-PPAR-gamma,MCF7,-0.11837303744479588,0.004642984745769373,0.0,0.0,20,1073,100,-0.1402745258704058,-0.0964715490191859,2.8951822954435893e-18,100,,,,5.790364590887179e-18,
SR,SR-ARE,HA1E,-0.07434566405952471,0.0076227729995432866,-0.0007867479602409602,0.005470556957392668,20,690,100,-0.1130357138671196,-0.0356556142519298,0.000238969818581,100,-0.0147753908327064,0.0132018949122245,0.9113695736201866,0.0002606943475429091,0.9991292686576868
SR,SR-ARE,HEPG2,-0.06448614114612718,0.011886316390008627,-0.00477796970456666,0.01832542344880776,20,451,100,-0.1093074400018829,-0.0196648422903715,0.0052465935578195,100,-0.0510371198973247,0.0414811804881913,0.8380367728459955,0.0057235566085303636,0.9558943298430902
SR,SR-ARE,HT29,-0.08152297703832587,0.005747953366839882,0.0017660759782441048,0.007554790178137616,20,682,100,-0.1175077099565927,-0.045538244120059,1.8898260436861812e-05,100,-0.0181911984619328,0.021723350418421,0.8609754906602394,2.061628411294016e-05,0.9998546448656873
SR,SR-ARE,MCF7,-0.08651838978453354,0.010406095946684546,0.0030188412938618,0.007554555225693397,20,923,100,-0.1239835721286196,-0.0490532074404474,1.343829800472508e-05,100,-0.0160074589929317,0.0220451415806553,0.753553878668076,1.4659961459700087e-05,0.8655444030200162
SR,SR-ATAD5,HA1E,-0.056476664797871536,0.0030147481428537304,1.6251298887085072e-05,0.011910732740055361,20,911,100,-0.0760063904933016,-0.0369469391024415,1.0473647668066945e-07,100,-0.0294575631662361,0.0294900657640102,0.9991292686576868,1.3964863557422596e-07,0.9991292686576868
SR,SR-ATAD5,HEPG2,-0.06036977833224781,0.0028649866451448017,-0.004045476803025805,0.014364634480622012,20,619,100,-0.082589896978737,-0.0381496596857586,4.765635482101448e-07,100,-0.0395996703844668,0.0315087167784152,0.821845016832301,6.354180642801931e-07,0.9558943298430902
SR,SR-ATAD5,HT29,-0.055197868793239166,0.0034954868711980468,-0.0038896006090370348,0.012967197951016503,20,903,100,-0.0774915589272191,-0.0329041786592592,3.553664895776427e-06,100,-0.034347558592495,0.0265683573744209,0.8004905518990222,4.2643978749317124e-06,0.9998546448656873
SR,SR-ATAD5,MCF7,-0.06457786804740781,0.00408345012294331,0.00484243240845765,0.012749421488159905,20,1196,100,-0.0855228925764949,-0.0436328435183207,1.903488297801492e-08,100,-0.0244205365671597,0.0341054013840751,0.7433420526257621,2.5379843970686558e-08,0.8655444030200162
SR,SR-HSE,HA1E,-0.25460710282716964,0.004858707458156748,-0.006241385389811325,0.021673378621164162,20,814,100,-0.2953993224107009,-0.2138148832436385,7.7764500816309185e-22,100,-0.0624846138847066,0.0500018431050839,0.8261756904202274,9.331740097957103e-21,0.9991292686576868
SR,SR-HSE,HEPG2,-0.26992673373873927,0.008170282788258338,-0.0006796842221560601,0.0186048533880599,20,547,100,-0.3162120060190682,-0.2236414614584103,4.256346829940167e-20,100,-0.0506222722815505,0.0492629038372384,0.978511041615599,5.1076161959282e-19,0.978511041615599
SR,SR-HSE,HT29,-0.24823599924369436,0.008707757666730579,-0.0023257978231121445,0.00762097245121274,20,806,100,-0.2984479142119772,-0.1980240842754115,2.8484755367335983e-16,100,-0.0196595178270489,0.0150079221808246,0.7906099567837682,1.1393902146934393e-15,0.9998546448656873
SR,SR-HSE,MCF7,-0.25511775707987916,0.007341002233965151,-0.005926850391113544,0.016541737786694953,20,1077,100,-0.2968560816982892,-0.2133794324614692,2.732307318899862e-21,100,-0.0471698127472375,0.0353161119650104,0.7761299865762333,1.0929229275599448e-20,0.8655444030200162
SR,SR-MMP,HA1E,-0.08976081698535823,0.009327956943562104,0.011469635561983785,0.017154382199125462,20,723,100,-0.1197515811274069,-0.0597700528433096,4.2789273243963896e-08,100,-0.0213415125521344,0.0442807836761021,0.4895490403101182,6.418390986594584e-08,0.9991292686576868
SR,SR-MMP,HEPG2,-0.06377317056770554,0.009867904611736462,0.0058994675595192055,0.010549164007028055,20,495,100,-0.0993225274220294,-0.0282238137133817,0.0005725085726185,100,-0.0205778353916663,0.0323767705107048,0.6593754634108353,0.0006870102871422,0.9558943298430902
SR,SR-MMP,HT29,-0.09870263969192776,0.010358904279534224,0.016402344638669804,0.017893389622478453,20,717,100,-0.135173218920386,-0.0622320604634695,5.213355073200398e-07,100,-0.035308939457057,0.0681136287343966,0.5305530347110733,6.951140097600531e-07,0.9998546448656873
SR,SR-MMP,MCF7,-0.10796163415792241,0.007601680575342047,0.018868491174529912,0.0166944147874817,20,958,100,-0.1406767641057255,-0.0752465042101193,2.6170388235331423e-09,100,-0.0272756345722191,0.0650126169212789,0.4191093152451998,3.925558235299714e-09,0.8655444030200162
SR,SR-p53,HA1E,-0.1676328004190782,0.007367697834795862,0.019463802984627097,0.02213887125378759,20,884,100,-0.2037329256763142,-0.1315326751618422,5.67276683154042e-15,100,-0.0422299043371329,0.0811575103063872,0.5327540086224531,1.3614640395697009e-14,0.9991292686576868
SR,SR-p53,HEPG2,-0.16166667838734403,0.009758755751109566,0.039089861325421416,0.02531780965719352,20,603,100,-0.2120529187236225,-0.1112804380510655,6.083398036089126e-09,100,-0.0284890282207832,0.1066687508716262,0.2538432694948754,1.4600155286613901e-08,0.9558943298430902
SR,SR-p53,HT29,-0.17309751020392883,0.009040295668922697,0.050752865056289974,0.04374919160657322,20,877,100,-0.2072197165246091,-0.1389753038832486,7.86612905447474e-17,100,-0.0394268597244567,0.1409325898370367,0.2668208468392926,4.719677432684844e-16,0.9998546448656873
SR,SR-p53,MCF7,-0.1854170958299171,0.007868458137267631,0.04390008273019198,0.028898227312778708,20,1158,100,-0.2194447560074942,-0.15138943565234,1.866954390177e-18,100,-0.0315875360443529,0.119387701504737,0.2513077301069662,4.480690536424801e-18,0.8655444030200162
