family,task,analysis_cohort,lincs_cell_line,lincs_exposure_h,n_compounds,chem_term_off_auprc,sd_repeat_mean_auprc_term_off,chem_bio_auprc,sd_repeat_mean_auprc_biotox,delta_auprc,nb_ci_low,nb_ci_high,nominal_p_value,bh_q_value,best_absolute_chem,best_absolute_bio,best_absolute_context,toxicity_assay_cell_line,assay_cell_match,tick_label_category,nominal_significant_positive,exploratory_significant_positive,confirmatory_significant_positive,source_run
SR,SR-ARE,Primary full 6-h cohort,MCF7,6,923,0.4522691323498201,0.0187664290918862,0.4591151738301088,0.0197910354325252,0.0068460414802886,-0.0153035958832403,0.0289956788438177,0.5410946259946955,1.0,False,False,False,HEPG2,False,other,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-ARE,Paired 6/24-h cohort,HA1E,24,584,0.4693430971876147,0.0149787021628668,0.4817966800635551,0.0176841135337023,0.0124535828759403,-0.024167405074025,0.0490745708259057,0.5013970111652466,1.0,False,False,False,HEPG2,False,other,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-ARE,Paired 6/24-h cohort,HT29,24,416,0.497614253776103,0.0166201416530312,0.4915058075958645,0.0266085510609844,-0.0061084461802385,-0.0480215952867544,0.0358047029262774,0.7730476468937117,1.0,True,False,True,HEPG2,False,best_model_context,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-ARE,Paired 6/24-h cohort,MCF7,24,913,0.4486725347093145,0.0167419825800652,0.4627297430216303,0.0201062330511714,0.0140572083123156,-0.0203721067128884,0.0484865233375197,0.4198030513699918,0.8396061027399838,False,False,False,HEPG2,False,other,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-MMP,Primary full 6-h cohort,HA1E,6,723,0.5877024030860306,0.0176192328234264,0.6462338768624327,0.0225705708601898,0.058531473776402,0.0168963927616628,0.1001665547911412,0.0063333994205457,0.0760007930465495,False,False,False,HEPG2,False,other,True,True,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-MMP,Primary full 6-h cohort,HEPG2,6,495,0.6155897273647046,0.0153103058294356,0.6860393421543346,0.015916679335455,0.07044961478963,0.0142849000333594,0.1266143295459006,0.0144826301901066,0.0868957811406399,False,True,True,HEPG2,True,assay_match_and_best,True,True,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-MMP,Primary full 6-h cohort,HT29,6,717,0.5631671131601228,0.0171291860270049,0.6425872768757418,0.0211783917570497,0.0794201637156189,0.0291407089907576,0.1296996184404802,0.0022676825650382,0.0272121907804585,False,False,False,HEPG2,False,other,True,False,True,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-MMP,Primary full 6-h cohort,MCF7,6,958,0.5270626901233163,0.013729843832021,0.6350226971551362,0.025490003605878,0.1079600070318198,0.0518615788522499,0.1640584352113898,0.0002341611072001,0.0028099332864012,False,False,False,HEPG2,False,other,True,False,True,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-MMP,Paired 6/24-h cohort,HA1E,24,613,0.5706945670756347,0.0251159013753669,0.6813584544715873,0.0211405556994799,0.1106638873959524,0.0299397418299292,0.1913880329619756,0.0077084496581681,0.0925013958980181,False,True,True,HEPG2,False,best_model_context,True,True,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-MMP,Paired 6/24-h cohort,HT29,24,430,0.5466303727087007,0.0226704442318057,0.5533233391970299,0.0204131611575439,0.0066929664883291,-0.0203315337667558,0.0337174667434142,0.6242193034490338,1.0,False,False,False,HEPG2,False,other,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-MMP,Paired 6/24-h cohort,MCF7,24,947,0.5285651375011651,0.0190522326749683,0.6593604427123259,0.0313319809255745,0.1307953052111605,0.0523461694075347,0.2092444410147863,0.0013097926111077,0.0078587556666462,False,False,False,HEPG2,False,other,True,False,True,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-p53,Primary full 6-h cohort,HA1E,6,884,0.3614453829841328,0.0111778660809289,0.4043344345705722,0.0267804442684632,0.0428890515864393,-0.0197757521798892,0.105553855352768,0.1775386530662339,1.0,False,False,False,HT29,False,other,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-p53,Primary full 6-h cohort,HEPG2,6,603,0.3440235497951706,0.0203329772734811,0.3946017996860944,0.0287820697730868,0.0505782498909239,-0.0238207528979199,0.1249772526797677,0.1804403824135611,0.7217615296542444,False,False,False,HT29,False,other,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-p53,Primary full 6-h cohort,HT29,6,877,0.3380347758232166,0.0196122435082067,0.4273655367447195,0.0423933194854539,0.0893307609215028,-0.0067214605781246,0.1853829824211303,0.0679730765981944,0.4078384595891669,False,True,True,HT29,True,assay_match_and_best,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-p53,Primary full 6-h cohort,MCF7,6,1158,0.2950761908088222,0.0154664257741157,0.3965285913060047,0.034213872965274,0.1014524004971825,0.0090074630391034,0.1938973379552615,0.031815112926932,0.1908906775615921,False,False,False,HT29,False,other,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-p53,Paired 6/24-h cohort,HA1E,24,757,0.3504103052761853,0.0182599133874593,0.3808859758370589,0.0326720091168271,0.0304756705608736,-0.0273638239069688,0.088315165028716,0.2983447287804843,1.0,False,False,False,HT29,False,other,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-p53,Paired 6/24-h cohort,HT29,24,533,0.3736725753504066,0.0179108489089229,0.3994805877351661,0.0271555829976883,0.0258080123847594,-0.0293173846647762,0.080933409434295,0.3551748662293308,1.0,False,False,False,HT29,True,assay_cell_match,False,False,False,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
SR,SR-p53,Paired 6/24-h cohort,MCF7,24,1142,0.2935296250498518,0.017163112915319,0.5084174015722295,0.0440887485825941,0.2148877765223776,0.1013216795075388,0.3284538735372165,0.0002932245041903,0.0035186940502842,False,True,True,HT29,False,best_model_context,True,False,True,/data/kyungan/scripts/BioTox/publication/figures/Figure3/source_data
