ik,NR-AR_chem_logit,NR-AR-LBD_chem_logit,NR-AhR_chem_logit,NR-Aromatase_chem_logit,NR-ER_chem_logit,NR-ER-LBD_chem_logit,NR-PPAR-gamma_chem_logit,SR-ARE_chem_logit,SR-ATAD5_chem_logit,SR-HSE_chem_logit,SR-MMP_chem_logit,SR-p53_chem_logit
AADCDMQTJNYOSS,-1.3485016249158677,-2.243129744624039,-0.6908072303011829,-1.3581991302877887,-1.3485696675988623,-1.8362514024580419,-2.676800771275145,-0.042202208466750865,-1.9225436035437815,-0.5969931175651069,-1.3180565173831769,-0.5575931244116851
AAKJLRGGTJKAMG,-1.2305778626688832,-2.190224341897496,0.7043004731456588,-0.7023992761608449,-0.7181094550992803,-2.071941920077545,-2.3821867783989847,0.08036671570568679,-0.43445102295056104,-0.5751499934245745,-0.7930907336290225,-0.32717047432447866
AAOVKJBEBIDNHE,-0.9174313480423387,-2.241029916287908,-0.5246634678858167,-0.9768455711292428,-0.9573648825592229,-2.2248526010729472,-2.737232732338209,0.4015251497990148,-1.4851488572120937,-0.6059467916816693,-0.2576306857690258,0.12837670458693987
AAQOQKQBGPPFNS,-1.4839829909892495,-2.3482172159749974,-0.886469260680213,-1.1855190322134037,-1.1328888694755093,-2.5953521329261693,-2.1466679201770384,-0.2671411979075602,-1.7628014707102684,-0.551678039519469,-0.8833160453224171,-1.1628555609470237
ABJKWBDEJIDSJZ,-1.541438449837493,-2.211506223071261,0.22864445156568716,-0.5090230287697703,-0.7935765751851429,-2.4528703019444285,-1.291162217185499,0.4744976329862544,-1.7053103472798405,-0.39310165428858534,1.2609200333494954,-0.42656867918324576
ACSIXWWBWUQEHA,-1.4203180309078605,-2.3763938423734623,-2.7268976428519704,-1.42474695124407,-1.1908083997557268,-2.4287576072319585,-2.4634245534784047,-0.8943002050885437,-1.9725241899458634,-0.7302765871790082,-3.133683631420523,-1.6554288107033837
ACTRVOBWPAIOHC,-1.1369314923445875,-2.265402184289502,-3.320882355028058,-1.7534801020228037,-1.6288600807082347,-2.625124110141332,-2.480595964612007,-0.841623283442628,-1.8839161991323852,-0.20464843398055102,-2.5810366578145314,-1.3849533350415466
ACWBQPMHZXGDFX,-1.2264076417725014,-2.2357354077032725,-1.3651701949389279,-1.046622433859197,-1.0988466930856338,-2.345138401712704,-2.607006839299912,-0.2882810831790724,-2.1619609488214633,-0.656841268543024,-0.9578853313862639,-0.7302706536689111
ADEBPBSSDYVVLD,-0.9247262784898801,-1.9451732518701688,-0.7036735838034798,-1.3092873810008032,-0.9392437063600723,-2.1636618668318035,-3.4546001178307195,0.07035703558699917,-1.6610383074500361,-0.5465538397283842,-1.0178697988892067,-0.6861739401896769
AELCINSCMGFISI,-0.8918801532409655,-2.13439056651589,0.00658380790878623,-1.3948702388284098,-0.05706406622522209,-2.4981141270006844,-2.8561349164731267,-0.7028081999432853,-1.6040466812947998,-0.5091160328344508,-0.777485975669112,-0.9262698195439972
AEMFNILZOJDQLW,1.4405578333052595,1.4624494808656798,-2.347794080907809,-1.1841845588928135,1.2737435167499194,1.5358209117593877,-2.8536258426886234,-0.05771680000186783,-2.5436775588359355,-0.6615790171644849,-1.8100470153850643,-1.285161479243039
AEOCXXJPGCBFJA,-1.3331296868001545,-2.4014083874554553,0.01227812720959795,-0.660702629082836,-1.4110053349538443,-2.543656195637061,-2.5019464189793057,-0.27451640076641354,-1.3732628755811445,-0.3264023335249735,-1.3054719598950326,-0.5862735478984044
AEUTYOVWOVBAKS,-1.535301214779519,-2.423117471059156,-2.9461699168848963,-1.4357931353254365,-1.6232235159929898,-2.8433257067730624,-3.064153304877759,-1.7269340328740233,-2.0017432832959012,-0.783863293613969,-2.9916845300021597,-1.333910307093156
AFCGFAGUEYAMAO,-1.5167392615664403,-2.4589833914717465,-3.8635047180919173,-1.8688727288566354,-0.37961726882126684,-2.4144572619043374,-3.4701625775391887,-1.7875209533958483,-2.314154426992541,-1.0030927558358778,-3.5588671347767504,-1.607035368355692
AFJYYKSVHJGXSN,-0.3889969705689815,-0.7483180639923218,-2.6943636295022952,-0.30447619120205893,-0.5978839980038583,-0.6989076241047047,-1.0832150252826498,0.13323212374635687,0.39940287496102567,-0.5383157998408099,0.5617324138550281,0.38118204447124915
AFNXATANNDIXLG,-1.6587104669813724,-2.3551012469632324,1.3898004865383613,1.319707434902356,-0.623114327251447,-2.3546225146530464,-2.3834535257535703,1.0971280479047398,-1.709966631066499,-0.42498269381870585,0.6914889326096705,-0.812744743043036
AFSOIHMEOKEZJF,-1.3207488550310569,-2.0065933342791924,-0.5262507076551486,-0.8985632380788605,-0.5003232383517913,-2.0133139518380476,-2.3969584429994204,0.26728150875722073,-1.8756770431997192,0.44384010868129803,-0.6146303860844532,-0.6576546343503459
AGHANLSBXUWXTB,-1.1088180222580164,-2.0874791667444192,-0.5669031731572024,-0.7420214518812828,-0.7857555701118972,-0.09863636664023198,-0.40449709031273606,0.5149490574039965,-1.3079736533091764,-0.5186320624119216,-0.7678654798991799,-0.5816504296176821
AGMMTXLNIQSRCG,-1.0755535003952055,-2.106405563219645,-0.6880375507326858,-1.7336735517795212,-1.565600157334279,-2.587624496633533,-2.921017554333953,-0.20090269267723834,-1.3716995974200503,-0.6643740086957067,-1.3333086706387474,-0.32884211872331115
AGOYDEPGAOXOCK,-0.17100377509359352,-1.18845884079819,-2.974376386921369,-1.3862559637145244,-0.7542219859146628,-2.04104109458173,-2.578017763111637,-0.4345910678519675,-0.3269269885439831,-0.6012323184399013,-0.05849473064042675,0.04077943659302324
AHLBNYSZXLDEJQ,-1.248890495881498,-2.2917750503124807,-3.4537784040111763,-1.1410759607834975,-1.5487337632949874,-1.7100312372302513,-2.0123728466336566,-0.6179435078912089,-1.535379177894877,-0.5371423415310933,-0.3031773616727363,-0.6967666961410157
AHOUBRCZNHFOSL,-1.320040453872226,-2.118204532675329,-0.3010525062405275,-0.9880623149169742,-1.19932250497345,-2.14684881884872,-2.8951281192581564,0.1454918511499982,-0.3277561877550148,-0.48252648471309856,-0.669579318736615,-0.5798613768701876
AJLFOPYRIVGYMJ,-0.3201032070554462,-0.46993902211082744,-3.1904048551563036,-0.5008716956030048,-0.2056831313478103,-0.7182058965030818,-1.7406357907300511,-0.3764159210351152,-1.2772257416972095,-0.5809351973117826,-0.48571826571271437,-0.7615731689960493
AKJHMTWEGVYYSE,-1.1616340317738656,-2.275026707452232,-0.05636755801355459,-1.0381034041326918,-0.4607303935401881,-0.9682304136503084,-3.2830430489439917,0.703009050020075,0.5371446555390573,0.5975632526128006,1.0420726956358364,-0.12583220702898273
AKNNEGZIBPJZJG,-1.4223790675031076,-2.2612141152786807,-0.25217294729948037,-0.8168539019519476,-1.4123169383690717,-1.782037017264288,-1.9778702437300626,-0.03936769298616392,-1.4340562060527198,-0.5063589171464267,-0.6498218892170369,-0.3952249347234034
ALLWOAVDORUJLA,-1.0647122253540355,-2.107479439648652,-0.03297219213938339,-0.7993102555223257,-1.096359002004391,-1.4299355965767382,-1.8828616686174717,-0.4541515610890377,-2.1602179429126935,-0.7270839579610966,-1.2626606726849494,-0.8452401680626698
