variant,task,cell,ik,y,n_repeats,mean_probability_chem,mean_probability_bio,mean_delta_probability,n_repeats_exceeding_threshold,effect_threshold,wilcoxon_alternative,wilcoxon_p_value,effect_and_stability_pass,bh_q_value,retained,classification
standardized,NR-AR,HA1E,AADCDMQTJNYOSS,0,20,0.04136013575840458,0.04176186138302905,0.0004017256246244709,0,-0.02,less,0.0004253387451171875,False,0.000968771541819853,False,not_retained
standardized,NR-AR,HA1E,AAKJLRGGTJKAMG,1,20,0.052050637615417596,0.051546623400012745,-0.000504014215404841,0,0.05,greater,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AAOVKJBEBIDNHE,0,20,0.05928066068353357,0.05935645839405247,7.579771051891004e-05,0,-0.02,less,0.9999971389770508,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ACWBQPMHZXGDFX,0,20,0.043640766449455845,0.04364076701509819,5.656423503197505e-10,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ADEBPBSSDYVVLD,0,20,0.06468934585420687,0.06823663432493232,0.0035472884707254556,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AELCINSCMGFISI,0,20,0.07342297659929765,0.07327825860235095,-0.0001447179969467062,0,-0.02,less,0.0085906982421875,False,0.017845055576046136,False,not_retained
standardized,NR-AR,HA1E,AEMFNILZOJDQLW,1,20,0.37844289158836514,0.3784428948421853,3.253820063386925e-09,0,0.05,greater,9.5367431640625e-07,False,3.1082718460648146e-06,False,not_retained
standardized,NR-AR,HA1E,AEUTYOVWOVBAKS,0,20,0.03774408039622894,0.03774408034400805,-5.2220884907971945e-11,0,-0.02,less,0.0008449554443359375,False,0.0018716633183459667,False,not_retained
standardized,NR-AR,HA1E,AFJYYKSVHJGXSN,0,20,0.06337929946709728,0.06248276511199792,-0.0008965343550993473,0,-0.02,less,9.5367431640625e-07,False,3.1082718460648146e-06,False,not_retained
standardized,NR-AR,HA1E,AFNXATANNDIXLG,0,20,0.032411786632415174,0.03241178453181036,-2.100604814571361e-09,0,-0.02,less,9.5367431640625e-07,False,3.1082718460648146e-06,False,not_retained
standardized,NR-AR,HA1E,AFSOIHMEOKEZJF,0,20,0.04503888433364338,0.04503888499999264,6.663492702063678e-10,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AGHANLSBXUWXTB,0,20,0.0623368023411051,0.061845609020816684,-0.0004911933202884008,0,-0.02,less,9.5367431640625e-07,False,3.1082718460648146e-06,False,not_retained
standardized,NR-AR,HA1E,AGMMTXLNIQSRCG,0,20,0.05369341991003832,0.05369341963758684,-2.724514808205569e-10,0,-0.02,less,0.0001049041748046875,False,0.0002797444661458333,False,not_retained
standardized,NR-AR,HA1E,AGOYDEPGAOXOCK,0,20,0.10014322901673296,0.10794139466280539,0.007798165646072419,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AHLBNYSZXLDEJQ,0,20,0.03979580449305878,0.03979580621869113,1.7256323543712871e-09,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AHOUBRCZNHFOSL,0,20,0.046561505936760963,0.04678895552071371,0.0002274495839527494,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AJLFOPYRIVGYMJ,0,20,0.07868474817114691,0.07868474765524364,-5.159032777368733e-10,0,-0.02,less,9.5367431640625e-07,False,3.1082718460648146e-06,False,not_retained
standardized,NR-AR,HA1E,AKJHMTWEGVYYSE,0,20,0.04418802021392107,0.04419987648372643,1.1856269805370426e-05,0,-0.02,less,0.9998950958251953,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AKNNEGZIBPJZJG,0,20,0.04856025804265789,0.04853870886385812,-2.154917879979429e-05,0,-0.02,less,0.9997072219848633,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ANGKOCUUWGHLCE,0,20,0.09322600213897007,0.09322600261357802,4.746079550199678e-10,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ANMLJLFWUCQGKZ,0,20,0.04411743102501035,0.04400285799777505,-0.00011457302723530127,0,-0.02,less,0.9997072219848633,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ANTSCNMPPGJYLG,0,20,0.05919219980132926,0.05853887245818784,-0.0006533273431414237,0,-0.02,less,9.5367431640625e-07,False,3.1082718460648146e-06,False,not_retained
standardized,NR-AR,HA1E,APGDTXUMTIZLCJ,1,20,0.4688048922165036,0.4688048978730765,5.656572804602078e-09,0,0.05,greater,9.5367431640625e-07,False,3.1082718460648146e-06,False,not_retained
