variant,task,cell,ik,y,n_repeats,mean_probability_chem,mean_probability_bio,mean_delta_probability,n_repeats_exceeding_threshold,effect_threshold,wilcoxon_alternative,wilcoxon_p_value,effect_and_stability_pass,bh_q_value,retained,classification
standardized,NR-Aromatase,HA1E,HYFHYPWGAURHIV,1,20,0.06460902483017726,0.328493286882995,0.2638842620528178,18,0.05,greater,9.5367431640625e-07,True,1.8053661192083635e-06,True,rescued
standardized,NR-Aromatase,HA1E,LPMXVESGRSUGHW,1,20,0.09511659635366937,0.34219540763474343,0.24707881128107415,15,0.05,greater,9.5367431640625e-07,True,1.8053661192083635e-06,True,rescued
standardized,NR-Aromatase,HA1E,LTMHDMANZUZIPE,1,20,0.1578203631043571,0.4566859050757962,0.29886554197143916,17,0.05,greater,9.5367431640625e-07,True,1.8053661192083635e-06,True,rescued
standardized,NR-Aromatase,HA1E,YPHMISFOHDHNIV,1,20,0.08984086269565485,0.1975482898109079,0.10770742711525305,15,0.05,greater,9.5367431640625e-07,True,1.8053661192083635e-06,True,rescued
standardized,SR-MMP,HA1E,AAOVKJBEBIDNHE,0,20,0.2838371567206101,0.2238864797138807,-0.05995067700672942,20,-0.02,less,9.5367431640625e-07,True,1.5757475901806773e-06,True,corrected
standardized,SR-MMP,HA1E,ADEBPBSSDYVVLD,0,20,0.16373796974993549,0.1322429384838567,-0.03149503126607877,17,-0.02,less,9.5367431640625e-07,True,1.5757475901806773e-06,True,corrected
standardized,SR-MMP,HA1E,AFSOIHMEOKEZJF,0,20,0.20395994039310752,0.17178273256780957,-0.032177207825297954,16,-0.02,less,9.5367431640625e-07,True,1.5757475901806773e-06,True,corrected
standardized,SR-MMP,HA1E,AKJHMTWEGVYYSE,1,20,0.46633690360369745,0.9478024010942946,0.481465497490597,20,0.05,greater,9.5367431640625e-07,True,1.5757475901806773e-06,True,rescued
standardized,SR-MMP,HA1E,AKNNEGZIBPJZJG,0,20,0.192056881839087,0.16065695715593703,-0.03139992468314991,18,-0.02,less,9.5367431640625e-07,True,1.5757475901806773e-06,True,corrected
standardized,SR-MMP,HA1E,ANGKOCUUWGHLCE,0,20,0.11976250906876304,0.08938826297315158,-0.030374246095611478,18,-0.02,less,9.5367431640625e-07,True,1.5757475901806773e-06,True,corrected
