category,model_key,model,family,task,seed,auprc,selected_in_task_k4,k4_selection_rank,n_test,n_positive,source_cache
Classical ML,MACCS_LR,MACCS + logistic regression,NR,NR-AR,1,0.6959290966252467,False,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,NR,NR-AR,1,0.6157906885777298,False,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,NR,NR-AR,1,0.775256533589867,True,3.0,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,NR,NR-AR,1,0.7643470645929662,True,4.0,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,NR,NR-AR,1,0.7063734319119171,False,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,NR,NR-AR,1,0.6157459153593091,False,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
GNN (MPNN),GCN_Pretrained,GCN,NR,NR-AR,1,0.73644610351399,False,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
GNN (MPNN),GAT_Pretrained,GAT,NR,NR-AR,1,0.1383310144411457,False,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
GNN (MPNN),GIN_Pretrained,GIN,NR,NR-AR,1,0.817776855311102,True,1.0,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,NR,NR-AR,1,0.8019087308480071,True,2.0,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,NR,NR-AR,1,0.7438790954415955,False,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
GNN (D-MPNN),Chemprop,Chemprop,NR,NR-AR,1,0.7340116546406338,False,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,NR,NR-AR,1,0.8207627237963292,,,312,12,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,NR,NR-AR-LBD,1,0.2730631140347328,False,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,NR,NR-AR-LBD,1,0.3741164882256529,True,2.0,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
