category,model_key,model,family,task,seed,auprc,selected_in_task_k4,k4_selection_rank,n_test,n_positive,source_cache
Classical ML,Morgan_LR,Morgan + logistic regression,NR,NR-AR-LBD,1,0.2308328883046995,False,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,NR,NR-AR-LBD,1,0.3811513652805788,True,1.0,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,NR,NR-AR-LBD,1,0.3385832253239524,False,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,NR,NR-AR-LBD,1,0.3409514668948998,False,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
GNN (MPNN),GCN_Pretrained,GCN,NR,NR-AR-LBD,1,0.3058305983422262,False,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
GNN (MPNN),GAT_Pretrained,GAT,NR,NR-AR-LBD,1,0.0865035402308491,False,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
GNN (MPNN),GIN_Pretrained,GIN,NR,NR-AR-LBD,1,0.3700605771137347,True,3.0,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,NR,NR-AR-LBD,1,0.3424450479394891,False,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,NR,NR-AR-LBD,1,0.367393141903481,True,4.0,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
GNN (D-MPNN),Chemprop,Chemprop,NR,NR-AR-LBD,1,0.2318801097679466,False,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AR-LBD.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,NR,NR-AR-LBD,1,0.4149017732552602,,,274,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,NR,NR-AhR,1,0.3189964844434965,False,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,NR,NR-AhR,1,0.3747569263844467,False,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,NR,NR-AhR,1,0.4905726402615902,True,2.0,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,NR,NR-AhR,1,0.4238190253561976,False,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,NR,NR-AhR,1,0.4447233096898174,False,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,NR,NR-AhR,1,0.471657932889504,True,3.0,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
GNN (MPNN),GCN_Pretrained,GCN,NR,NR-AhR,1,0.4316674506783924,False,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
GNN (MPNN),GAT_Pretrained,GAT,NR,NR-AhR,1,0.3653680589324354,False,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
GNN (MPNN),GIN_Pretrained,GIN,NR,NR-AhR,1,0.5121548754145218,True,1.0,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,NR,NR-AhR,1,0.447877151458187,False,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,NR,NR-AhR,1,0.4504569580454566,True,4.0,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
GNN (D-MPNN),Chemprop,Chemprop,NR,NR-AhR,1,0.3732896548676636,False,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-AhR.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,NR,NR-AhR,1,0.5740318828989827,,,271,43,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,NR,NR-Aromatase,1,0.2058856681087027,False,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,NR,NR-Aromatase,1,0.3600872225404378,True,2.0,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,NR,NR-Aromatase,1,0.2523555740564654,False,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,NR,NR-Aromatase,1,0.3696321099986692,True,1.0,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,NR,NR-Aromatase,1,0.2508375330033575,False,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,NR,NR-Aromatase,1,0.2209376527079337,False,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
GNN (MPNN),GCN_Pretrained,GCN,NR,NR-Aromatase,1,0.2373486145288688,False,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
GNN (MPNN),GAT_Pretrained,GAT,NR,NR-Aromatase,1,0.1650811917721306,False,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
GNN (MPNN),GIN_Pretrained,GIN,NR,NR-Aromatase,1,0.3085363211915259,True,4.0,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,NR,NR-Aromatase,1,0.3500284648978366,True,3.0,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,NR,NR-Aromatase,1,0.2826284325138067,False,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
GNN (D-MPNN),Chemprop,Chemprop,NR,NR-Aromatase,1,0.2513448304887672,False,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-Aromatase.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,NR,NR-Aromatase,1,0.4435769122299972,,,204,15,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,NR,NR-ER,1,0.3702251229298109,False,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,NR,NR-ER,1,0.3841544438880541,True,4.0,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,NR,NR-ER,1,0.3088765787638194,False,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,NR,NR-ER,1,0.3305681321744588,False,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,NR,NR-ER,1,0.2384385676311876,False,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,NR,NR-ER,1,0.3067150347663608,False,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
GNN (MPNN),GCN_Pretrained,GCN,NR,NR-ER,1,0.3879599370641601,True,2.0,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
GNN (MPNN),GAT_Pretrained,GAT,NR,NR-ER,1,0.2627882192996365,False,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
GNN (MPNN),GIN_Pretrained,GIN,NR,NR-ER,1,0.3863576801128477,True,3.0,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,NR,NR-ER,1,0.375875756128242,False,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,NR,NR-ER,1,0.4154323206411537,True,1.0,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
GNN (D-MPNN),Chemprop,Chemprop,NR,NR-ER,1,0.3353794736103511,False,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,NR,NR-ER,1,0.4599549661132784,,,236,33,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,NR,NR-ER-LBD,1,0.1298758494181294,False,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,NR,NR-ER-LBD,1,0.2641339182936812,True,1.0,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,NR,NR-ER-LBD,1,0.1500726573814556,False,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,NR,NR-ER-LBD,1,0.1525280389526816,False,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,NR,NR-ER-LBD,1,0.1935495511329265,True,3.0,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,NR,NR-ER-LBD,1,0.1947685082601991,True,2.0,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
GNN (MPNN),GCN_Pretrained,GCN,NR,NR-ER-LBD,1,0.1673638827087993,False,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
GNN (MPNN),GAT_Pretrained,GAT,NR,NR-ER-LBD,1,0.048950681524077,False,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
GNN (MPNN),GIN_Pretrained,GIN,NR,NR-ER-LBD,1,0.1664343218624478,False,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,NR,NR-ER-LBD,1,0.1827221721969227,True,4.0,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,NR,NR-ER-LBD,1,0.1609293692329779,False,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
GNN (D-MPNN),Chemprop,Chemprop,NR,NR-ER-LBD,1,0.1211451108695122,False,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-ER-LBD.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,NR,NR-ER-LBD,1,0.2190428289853234,,,284,13,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,NR,NR-PPAR-gamma,1,0.0571777969229109,False,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,NR,NR-PPAR-gamma,1,0.1006578180552498,False,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,NR,NR-PPAR-gamma,1,0.2339012132416996,True,3.0,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,NR,NR-PPAR-gamma,1,0.2456989831932623,True,2.0,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,NR,NR-PPAR-gamma,1,0.1930499777339611,True,4.0,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,NR,NR-PPAR-gamma,1,0.1500484644991453,False,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
GNN (MPNN),GCN_Pretrained,GCN,NR,NR-PPAR-gamma,1,0.1032013141165171,False,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
GNN (MPNN),GAT_Pretrained,GAT,NR,NR-PPAR-gamma,1,0.0734776779038827,False,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
GNN (MPNN),GIN_Pretrained,GIN,NR,NR-PPAR-gamma,1,0.0718841670685518,False,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,NR,NR-PPAR-gamma,1,0.0744862234035601,False,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,NR,NR-PPAR-gamma,1,0.0438886321564059,False,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
GNN (D-MPNN),Chemprop,Chemprop,NR,NR-PPAR-gamma,1,0.308101014470941,True,1.0,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/NR-PPAR-gamma.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,NR,NR-PPAR-gamma,1,0.3223248814983128,,,247,11,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,SR,SR-ARE,1,0.3773127142104253,False,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,SR,SR-ARE,1,0.5389238898457006,True,2.0,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,SR,SR-ARE,1,0.4501401017140409,False,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,SR,SR-ARE,1,0.4280228318875644,False,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,SR,SR-ARE,1,0.4701185407270023,False,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,SR,SR-ARE,1,0.4800983813137966,False,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
GNN (MPNN),GCN_Pretrained,GCN,SR,SR-ARE,1,0.4999605979521808,False,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
GNN (MPNN),GAT_Pretrained,GAT,SR,SR-ARE,1,0.3708721867094897,False,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
GNN (MPNN),GIN_Pretrained,GIN,SR,SR-ARE,1,0.5687786693405894,True,1.0,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,SR,SR-ARE,1,0.5082369807468202,True,3.0,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,SR,SR-ARE,1,0.5044406071320084,True,4.0,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
GNN (D-MPNN),Chemprop,Chemprop,SR,SR-ARE,1,0.4319704682249884,False,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ARE.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,SR,SR-ARE,1,0.618125302550079,,,215,60,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,SR,SR-ATAD5,1,0.0855731793039288,False,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,SR,SR-ATAD5,1,0.1102958621990637,False,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,SR,SR-ATAD5,1,0.2050052863853101,True,2.0,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,SR,SR-ATAD5,1,0.1592202213058412,False,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,SR,SR-ATAD5,1,0.1769876255892548,False,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,SR,SR-ATAD5,1,0.1775478980066495,False,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
GNN (MPNN),GCN_Pretrained,GCN,SR,SR-ATAD5,1,0.1157128144981635,False,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
GNN (MPNN),GAT_Pretrained,GAT,SR,SR-ATAD5,1,0.1399410335789526,False,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
GNN (MPNN),GIN_Pretrained,GIN,SR,SR-ATAD5,1,0.2123892356045923,True,1.0,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,SR,SR-ATAD5,1,0.1309341946726895,False,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
