variant,task,cell,gene,mean_beta,sd_beta,n_outer_fits
standardized,NR-AR,HA1E,HTRA1,-0.00020428711051669556,0.001193125685984279,100
standardized,NR-AR,HA1E,LRPAP1,1.2567999558298272e-05,0.0002184335625293649,100
standardized,NR-AR,HA1E,CREG1,1.3261850313479898e-05,0.000251005683158535,100
standardized,NR-AR,HA1E,PCNA,0.000223623800765769,0.0012919491491916932,100
standardized,NR-AR,HA1E,LGMN,-5.82448716854636e-05,0.0003510651672925377,100
standardized,NR-AR,HA1E,ILK,-1.8598135081673634e-05,0.00019215720893275785,100
standardized,NR-AR,HA1E,ATP1B1,0.00011833545934498392,0.0006314902174000546,100
standardized,NR-AR,HA1E,SYPL1,0.00013591962859829307,0.0008935242237457091,100
standardized,NR-AR,HA1E,TXNRD1,4.72423299778898e-06,0.0001349016136808391,100
standardized,NR-AR,HA1E,NUDCD3,-4.8217301090699874e-05,0.0005138625407340095,100
standardized,NR-AR,HA1E,TOP2A,8.875473051173267e-05,0.0005126135177540909,100
standardized,NR-AR,HA1E,STK25,2.4018337967914328e-05,0.00036040976163707135,100
standardized,NR-AR,HA1E,EBNA1BP2,-0.0001257145172600384,0.0008976123585194547,100
standardized,NR-AR,HA1E,ARHGEF12,2.0626699170817903e-05,0.0003470712095823212,100
standardized,NR-AR,HA1E,SCP2,4.5082122362298075e-05,0.0003073475558610878,100
standardized,NR-AR,HA1E,YME1L1,-0.0001174068105170503,0.0006573568634621079,100
standardized,NR-AR,HA1E,TMEM109,8.672642214010122e-06,0.00014403671422421498,100
standardized,NR-AR,HA1E,TPD52L2,-0.00013929047724599446,0.000814921449868279,100
standardized,NR-AR,HA1E,CRTAP,1.7432066644611462e-05,0.00011840145104727704,100
standardized,NR-AR,HA1E,TRAP1,4.869256215610476e-05,0.00042873035057399404,100
standardized,NR-AR,HA1E,IGF2R,-0.00013554970357852956,0.000703285656839149,100
standardized,NR-AR,HA1E,PHGDH,-8.387589374774424e-06,0.0003211566864057334,100
standardized,NR-AR,HA1E,LRP10,-6.553540215944152e-05,0.0004327633106958186,100
standardized,NR-AR,HA1E,SOX4,-0.00020017377964528501,0.0010970217680618905,100
standardized,NR-AR,HA1E,CAT,0.0002606517128003794,0.0015071632526067436,100
standardized,NR-AR,HA1E,RHEB,-5.795684173642863e-05,0.0005206850543485237,100
standardized,NR-AR,HA1E,MAPKAPK2,0.000156021867546718,0.0010755930213565484,100
standardized,NR-AR,HA1E,SCRN1,-6.928741303133265e-05,0.0006009227517535982,100
standardized,NR-AR,HA1E,JUN,-0.0002275259715157592,0.0012515503901543241,100
standardized,NR-AR,HA1E,SHC1,-6.914423668896251e-05,0.0003463648261692858,100
standardized,NR-AR,HA1E,SQSTM1,0.000103281012473639,0.0005952139264887385,100
standardized,NR-AR,HA1E,PRCP,-0.00017006769704757448,0.0010485043595783352,100
standardized,NR-AR,HA1E,USP7,-7.268175802952475e-05,0.0004920757975973978,100
standardized,NR-AR,HA1E,NFKBIA,0.00043282319198442894,0.002377759813327026,100
standardized,NR-AR,HA1E,G3BP1,1.9083655937564986e-05,0.00018618496921147954,100
standardized,NR-AR,HA1E,TOMM70A,7.988537915896266e-05,0.000611499567775959,100
standardized,NR-AR,HA1E,RPA1,0.00014172075927838376,0.0007472843800640092,100
standardized,NR-AR,HA1E,ZFP36,0.00020410559353357735,0.0011422755338657668,100
standardized,NR-AR,HA1E,DUSP3,0.00010873633708221472,0.0007889963301400303,100
standardized,NR-AR,HA1E,KDM5B,4.265644231176956e-05,0.00032996716165853825,100
standardized,NR-AR,HA1E,MCM3,-1.5239892640409701e-05,0.00019151437270491125,100
standardized,NR-AR,HA1E,CLIC4,-9.167591079552965e-05,0.0004772581447960842,100
standardized,NR-AR,HA1E,CLSTN1,-2.484792137071941e-06,0.00037266353997899253,100
standardized,NR-AR,HA1E,ID2,-0.0002107451750395808,0.001133968142280097,100
standardized,NR-AR,HA1E,DCTD,-1.111734171937395e-05,0.0003396155138689395,100
standardized,NR-AR,HA1E,FAT1,3.645398833781402e-05,0.00029734241057685786,100
standardized,NR-AR,HA1E,SMC1A,-7.811883177886121e-05,0.0006355135895604006,100
standardized,NR-AR,HA1E,NISCH,6.241853060934736e-05,0.0005978460165943858,100
standardized,NR-AR,HA1E,PWP1,2.385128750303211e-05,0.00044466368954418963,100
standardized,NR-AR,HA1E,ICMT,1.6905594981337583e-05,0.00014049982233464654,100
standardized,NR-AR,HA1E,RUVBL1,-6.128706421294353e-05,0.00050675447951434,100
standardized,NR-AR,HA1E,MBTPS1,-5.412649456641611e-05,0.00030767581481691146,100
standardized,NR-AR,HA1E,INSIG1,-0.0003551892839930837,0.0019509868223195226,100
standardized,NR-AR,HA1E,RRAGA,0.0001455472178943265,0.0009293120686640507,100
standardized,NR-AR,HA1E,IER3,-0.0003002616398742088,0.0016018847876374974,100
standardized,NR-AR,HA1E,UBE2L6,-0.0001517448515334496,0.0009035359253069054,100
standardized,NR-AR,HA1E,SMC4,-2.1550787698069798e-05,0.00019379779319946211,100
standardized,NR-AR,HA1E,USP14,0.00018399914025032203,0.0011297321277235362,100
standardized,NR-AR,HA1E,EGR1,-7.561444064743483e-05,0.0004711146472379373,100
standardized,NR-AR,HA1E,PNP,-0.00015734611895015297,0.0008525051696918808,100
standardized,NR-AR,HA1E,DNMT1,-4.0891449562047106e-05,0.0002442410482185767,100
standardized,NR-AR,HA1E,CCND3,0.00020369900374215524,0.0011003043626312454,100
standardized,NR-AR,HA1E,NIPSNAP1,2.3526080071683853e-05,0.00015579813819646514,100
standardized,NR-AR,HA1E,MYBL2,-0.00010063464365709774,0.0005126159437581132,100
standardized,NR-AR,HA1E,EPB41L2,-0.00012492868726119468,0.0008106137997218189,100
standardized,NR-AR,HA1E,ELAVL1,1.2815767082815863e-05,0.00034815014312597947,100
standardized,NR-AR,HA1E,KIAA0100,-1.9147562795518994e-05,0.00024365139526443466,100
standardized,NR-AR,HA1E,TP53,0.00011647826096671421,0.0006251717172935226,100
standardized,NR-AR,HA1E,RPA2,-3.648488886406907e-05,0.00029018277579676813,100
standardized,NR-AR,HA1E,MTHFD2,-2.830329271294709e-05,0.00041449889341637074,100
standardized,NR-AR,HA1E,PSME2,0.00010814086200535901,0.0006136745311516725,100
standardized,NR-AR,HA1E,DAXX,8.096157396566087e-05,0.0005033620523819789,100
standardized,NR-AR,HA1E,ELAC2,8.767267033158132e-05,0.0004757822468998544,100
standardized,NR-AR,HA1E,NCAPD2,-0.00011645257558813133,0.000644073475385383,100
standardized,NR-AR,HA1E,EFCAB14,0.00012007577411306096,0.0006670939975325266,100
standardized,NR-AR,HA1E,DDX42,-7.956643396064562e-05,0.00049606916627528,100
standardized,NR-AR,HA1E,LBR,-5.935115452541703e-05,0.0004289572960868539,100
standardized,NR-AR,HA1E,SH3BP5,-0.00038814828319754733,0.0021396797577349917,100
standardized,NR-AR,HA1E,UBE3C,-0.00010365305951261049,0.0005312236823242838,100
standardized,NR-AR,HA1E,SCARB1,3.7188917656408195e-05,0.0003443969695146793,100
standardized,NR-AR,HA1E,SCCPDH,1.2310722524663826e-05,0.0004446453529827431,100
standardized,NR-AR,HA1E,SMARCD2,1.6590095346954665e-05,0.00042966522584390665,100
standardized,NR-AR,HA1E,NET1,-0.00022942465914377428,0.0012365007578435836,100
standardized,NR-AR,HA1E,HDAC2,-0.00016464262191948092,0.0010192441159090028,100
standardized,NR-AR,HA1E,HSPB1,0.00023698367611832337,0.0013151365741312976,100
standardized,NR-AR,HA1E,LIPA,-6.314024491350436e-05,0.0004863810024617789,100
standardized,NR-AR,HA1E,BNIP3,9.405538283438008e-05,0.0006183233410188846,100
standardized,NR-AR,HA1E,CDC25B,9.989923380943526e-05,0.0005577346769326157,100
standardized,NR-AR,HA1E,ATMIN,0.00013007835846470908,0.0007186788410516518,100
standardized,NR-AR,HA1E,TOMM34,5.4776452452037254e-05,0.0005474299753990452,100
standardized,NR-AR,HA1E,MPZL1,0.00017134469614818928,0.0009118851891724672,100
standardized,NR-AR,HA1E,IL13RA1,4.7702150245801245e-05,0.00035227246271160156,100
