variant,task,cell,n_compounds,n_genes,n_outer_fits,n_heldout_evaluations,n_rescued,n_corrected,max_probability_reconstruction_error,max_logit_reconstruction_error,max_calibration_score_error,all_outer_scaffolds_disjoint
standardized,NR-AR,HA1E,968,978,100,19360,0,0,2.3314683517128287e-15,1.9539925233402755e-14,4.1807746224636084e-14,True
standardized,NR-AR-LBD,HA1E,869,978,100,17380,0,0,2.220446049250313e-16,1.7763568394002505e-15,1.7350263288557967e-14,True
standardized,NR-AhR,HA1E,849,978,100,16980,0,0,3.4416913763379853e-15,2.5868196473766147e-14,3.165376457679807e-14,True
standardized,NR-Aromatase,HA1E,759,978,100,15180,0,0,7.965850201685498e-15,4.529709940470639e-14,5.5923060063582525e-14,True
standardized,NR-ER,HA1E,805,978,100,16100,0,0,2.220446049250313e-16,8.881784197001252e-16,7.03734480881271e-14,True
standardized,NR-ER-LBD,HA1E,907,978,100,18140,0,0,1.1102230246251565e-15,1.1546319456101628e-14,2.93606238485413e-14,True
standardized,NR-PPAR-gamma,HA1E,811,978,100,16220,0,0,4.9404924595819466e-15,4.218847493575595e-14,1.836475156381123e-14,True
standardized,SR-ARE,HA1E,690,978,100,13800,0,0,2.1649348980190553e-14,8.89843754237063e-14,6.944762225608819e-14,True
standardized,SR-ATAD5,HA1E,911,978,100,18220,0,0,3.3861802251067274e-15,2.864375403532904e-14,3.8819416407363703e-16,True
standardized,SR-HSE,HA1E,814,978,100,16280,0,0,4.3298697960381105e-15,3.697042672001771e-14,2.9029410454409355e-14,True
standardized,SR-MMP,HA1E,723,978,100,14460,28,64,1.8540724511240114e-14,7.460698725481052e-14,5.308236703417662e-14,True
standardized,SR-p53,HA1E,884,978,100,17680,1,1,1.2434497875801753e-14,6.150635556423367e-14,5.468892665460474e-14,True
standardized,NR-AR,HEPG2,668,978,100,13360,0,0,1.6653345369377348e-16,1.3322676295501878e-15,4.010769536116658e-14,True
standardized,NR-AR-LBD,HEPG2,598,978,100,11960,0,0,3.164135620181696e-15,2.1760371282653068e-14,2.0790854418201457e-14,True
standardized,NR-AhR,HEPG2,585,978,100,11700,0,0,4.6629367034256575e-15,2.3314683517128287e-14,4.8014660241102293e-14,True
standardized,NR-Aromatase,HEPG2,512,978,100,10240,0,0,7.549516567451064e-15,3.175237850427948e-14,5.241750808504932e-14,True
standardized,NR-ER,HEPG2,540,978,100,10800,0,0,2.220446049250313e-16,8.881784197001252e-16,7.50747855395191e-14,True
standardized,NR-ER-LBD,HEPG2,620,978,100,12400,0,0,1.6653345369377348e-16,1.3322676295501878e-15,3.9549264519579814e-14,True
standardized,NR-PPAR-gamma,HEPG2,552,978,100,11040,0,0,7.771561172376096e-16,1.1102230246251565e-14,2.2203101035738283e-14,True
standardized,SR-ARE,HEPG2,451,978,100,9020,26,50,6.2727600891321345e-15,2.7755575615628914e-14,6.706632716732797e-14,True
standardized,SR-ATAD5,HEPG2,619,978,100,12380,0,0,5.329070518200751e-15,3.8191672047105385e-14,2.7973223297684143e-15,True
standardized,SR-HSE,HEPG2,547,978,100,10940,0,0,4.385380947269368e-15,2.398081733190338e-14,4.281497953630055e-14,True
standardized,SR-MMP,HEPG2,495,978,100,9900,30,70,7.66053886991358e-15,3.0753177782116836e-14,6.466605029231687e-14,True
standardized,SR-p53,HEPG2,603,978,100,12060,0,0,5.218048215738236e-15,3.064215547965432e-14,5.0042794076973755e-14,True
standardized,NR-AR,HT29,960,978,100,19200,0,0,2.220446049250313e-16,1.3322676295501878e-15,4.245702445793667e-14,True
standardized,NR-AR-LBD,HT29,862,978,100,17240,0,0,4.385380947269368e-15,5.551115123125783e-14,1.916138152882078e-14,True
standardized,NR-AhR,HT29,841,978,100,16820,0,0,2.220446049250313e-15,1.3766765505351941e-14,4.873606630736431e-14,True
standardized,NR-Aromatase,HT29,758,978,100,15160,0,0,7.271960811294775e-15,3.7914116290949096e-14,5.4121651876457793e-14,True
standardized,NR-ER,HT29,799,978,100,15980,0,0,2.220446049250313e-16,8.881784197001252e-16,4.7464809860287e-14,True
standardized,NR-ER-LBD,HT29,902,978,100,18040,0,0,3.83026943495679e-15,4.218847493575595e-14,4.117144809742327e-14,True
standardized,NR-PPAR-gamma,HT29,803,978,100,16060,0,0,1.5543122344752192e-15,1.6653345369377348e-14,2.2720120683500413e-14,True
standardized,SR-ARE,HT29,682,978,100,13640,0,0,6.772360450213455e-15,3.064215547965432e-14,6.544583057306723e-14,True
