variant,family,task,cell,n_repeats,outer_folds_per_repeat,n_paired_outer_draws,n_unique_compounds,n_test_evaluations,sd_auprc_chem,mean_auprc_bio,sd_auprc_bio,mean_delta_auprc,sd_delta_auprc,nb_auprc_corrected_se,nb_auprc_ci_low,nb_auprc_ci_high,nb_auprc_t_stat,nb_auprc_df,nb_auprc_p_value,nb_auprc_inference_valid,nb_auprc_variance_degenerate,nb_auprc_correction_factor,nb_auprc_mean_test_train_ratio,mean_auroc_chem,sd_auroc_chem,mean_auroc_bio,sd_auroc_bio,mean_delta_auroc,sd_delta_auroc,nb_auroc_corrected_se,nb_auroc_ci_low,nb_auroc_ci_high,nb_auroc_t_stat,nb_auroc_df,nb_auroc_p_value,nb_auroc_inference_valid,nb_auroc_variance_degenerate,nb_auroc_correction_factor,nb_auroc_mean_test_train_ratio,mean_log_loss_chem,sd_log_loss_chem,mean_log_loss_bio,sd_log_loss_bio,mean_delta_log_loss,sd_delta_log_loss,nb_log_loss_corrected_se,nb_log_loss_ci_low,nb_log_loss_ci_high,nb_log_loss_t_stat,nb_log_loss_df,nb_log_loss_p_value,nb_log_loss_inference_valid,nb_log_loss_variance_degenerate,nb_log_loss_correction_factor,nb_log_loss_mean_test_train_ratio,nb_auprc_q_value,significant_positive_auprc_fdr,nb_auroc_q_value,significant_positive_auroc_fdr,nb_log_loss_q_value,significant_positive_log_loss_fdr,significant_improvement_log_loss_fdr,sd_repeat_mean_auprc_term_off,sd_repeat_mean_auprc_biotox,sd_repeat_mean_auroc_chem,sd_repeat_mean_auroc_biotox,folds_per_repeat,n_paired_outer_effects,n_compounds,mean_auprc_term_off,mean_auprc_biotox,sd_outer_fold_auprc_chem,sd_outer_fold_auprc_biotox,sd_repeat_mean_delta_auprc,nb_95ci_low_delta_auprc,nb_95ci_high_delta_auprc,nb_p_value_delta_auprc,bh_q_value_delta_auprc
standardized,NR,NR-AR,HA1E,20,5,100,830,16600,0.2041126618470806,0.4322098280507019,0.2040669767290569,-6.0061154902840005e-05,0.0018909913962764,0.0009781344944942,-0.0020008921997337,0.001880769889928,-0.0614037795833939,99,0.9511614361011572,True,False,0.2675580634386805,0.2575580634386805,0.7063803223047479,0.1288898009385913,0.7050245980321226,0.1301299024011648,-0.0013557242726254,0.0135579546190376,0.0070129896485949,-0.0152710172141224,0.0125595686688714,-0.1933161662226452,99,0.8471074271298377,True,False,0.2675580634386805,0.2575580634386805,0.2058174034046688,0.0356476803660446,0.2058919120522506,0.0357306557335663,7.450864758179751e-05,0.0010638751740012,0.0005503002327645,-0.0010174064026888,0.0011664236978524,0.135396358470507,99,0.8925734178806966,True,False,0.2675580634386805,0.2575580634386805,1.0,False,1.0,False,1.0,False,False,0.03969607770152614,0.03981287496811618,0.029034329478992527,0.029322401585852167,5,100,830,0.4322698892056048,0.4322098280507019,0.2041126618470806,0.2040669767290569,0.0008615360342368317,-0.0020008921997337,0.001880769889928,0.9511614361011572,1.0
standardized,NR,NR-AR,HT29,20,5,100,585,11700,0.1673080050670552,0.385077282261887,0.1673080050670552,0.0,0.0,0.0,,,,99,,False,True,0.265067187143678,0.255067187143678,0.6335926064268641,0.12509471727352,0.6335926064268641,0.12509471727352,0.0,0.0,0.0,,,,99,,False,True,0.265067187143678,0.255067187143678,0.2323620318131837,0.0495678254940735,0.2323620316746672,0.049567825465561,-1.3851648911211708e-10,2.9652611266226307e-10,1.5266550860755968e-10,,,,99,,False,True,0.265067187143678,0.255067187143678,1.0,False,1.0,False,1.0,False,False,0.02859907762353129,0.02859907762353129,0.023535253005561297,0.023535253005561297,5,100,585,0.385077282261887,0.385077282261887,0.1673080050670552,0.1673080050670552,0.0,,,,1.0
standardized,NR,NR-AR,MCF7,20,5,100,1243,24860,0.198681240728488,0.4596904812794978,0.198681240728488,0.0,0.0,0.0,,,,99,,False,True,0.2698943090712041,0.2598943090712041,0.7398289930607785,0.0966237051628028,0.7398289930607785,0.0966237051628028,0.0,0.0,0.0,,,,99,,False,True,0.2698943090712041,0.2598943090712041,0.1845687602346844,0.0390352909895279,0.1845687601713827,0.0390352910011904,-6.330169527446471e-11,2.0356871252044719e-10,1.0575670067771428e-10,,,,99,,False,True,0.2698943090712041,0.2598943090712041,1.0,False,1.0,False,1.0,False,False,0.04833465252545177,0.04833465252545177,0.02150208902011953,0.02150208902011953,5,100,1243,0.4596904812794978,0.4596904812794978,0.198681240728488,0.198681240728488,0.0,,,,1.0
standardized,NR,NR-AR-LBD,HA1E,20,5,100,747,14940,0.2394902609593973,0.5027137654659084,0.2398988996619804,-3.961998148879998e-06,0.003190464147356,0.0016515260457042,-0.0032809479738933,0.0032730239775956,-0.0023989922285424,99,0.9980907104428068,True,False,0.2679557723653901,0.2579557723653901,0.8077140056285385,0.1245176279752492,0.8073430125774719,0.1243164412472915,-0.0003709930510665,0.0037318366777516,0.0019317645292234,-0.0042040329762748,0.0034620468741416,-0.1920487955204998,99,0.8480973587111397,True,False,0.2679557723653901,0.2579557723653901,0.1407848277573389,0.0427545965255784,0.1408870310747642,0.0428602213261939,0.0001022033174252,0.0008688660054191,0.0004497636619317,-0.0007902253647522,0.0009946319996028,0.2272378274988376,99,0.820707414623306,True,False,0.2679557723653901,0.2579557723653901,1.0,False,1.0,False,1.0,False,False,0.05098243321953381,0.05092426677494917,0.029846562025121405,0.029462932118215792,5,100,747,0.5027177274640572,0.5027137654659084,0.2394902609593973,0.2398988996619804,0.0014565429923798254,-0.0032809479738933,0.0032730239775956,0.9980907104428068,1.0
standardized,NR,NR-AR-LBD,HT29,20,5,100,523,10460,0.2141064344364238,0.5098805230800949,0.2141064344364238,0.0,0.0,0.0,,,,99,,False,True,0.2665813702024514,0.2565813702024513,0.7587128202665648,0.1478716273441901,0.7587128202665648,0.1478716273441901,0.0,0.0,0.0,,,,99,,False,True,0.2665813702024514,0.2565813702024513,0.116933464968482,0.050946361929509,0.1169334649382527,0.0509463619065036,-3.0229252989677494e-11,1.0221941478075495e-10,5.277743604726371e-11,,,,99,,False,True,0.2665813702024514,0.2565813702024513,1.0,False,1.0,False,1.0,False,False,0.03921925280617902,0.03921925280617902,0.0270345712075165,0.0270345712075165,5,100,523,0.5098805230800949,0.5098805230800949,0.2141064344364238,0.2141064344364238,0.0,,,,1.0
standardized,NR,NR-AR-LBD,MCF7,20,5,100,1129,22580,0.2215535159797979,0.5857963858422862,0.2206393764514761,0.0024409502421121,0.0160016541595211,0.0083166330019847,-0.0140610539399024,0.0189429544241268,0.2935022191708633,99,0.7697526947826027,True,False,0.2701253327267975,0.2601253327267975,0.8470788406637582,0.1105055896511883,0.8477955999452423,0.1100050073991607,0.0007167592814843,0.0036616437878716,0.0019030874723414,-0.0030593791413394,0.0044928977043081,0.3766297093020398,99,0.7072548238436192,True,False,0.2701253327267975,0.2601253327267975,0.1139549327847781,0.0427986939497743,0.1136298520293313,0.0427601266663782,-0.0003250807554467,0.0016689058053772,0.0008673901435337,-0.0020461709818179,0.0013960094709244,-0.3747803198712836,99,0.7086254937556715,True,False,0.2701253327267975,0.2601253327267975,1.0,False,1.0,False,0.959872659681876,False,False,0.050029376787235985,0.05264194930968611,0.017575264213703156,0.01784645842154881,5,100,1129,0.5833554356001741,0.5857963858422862,0.2215535159797979,0.2206393764514761,0.007196465865613464,-0.0140610539399024,0.0189429544241268,0.7697526947826027,1.0
standardized,NR,NR-AhR,HA1E,20,5,100,727,14540,0.123247047752594,0.5296545929638661,0.1259498494522391,0.0026977527384268,0.0147780272618796,0.0076644110482101,-0.0125101015867621,0.0179056070636158,0.3519843496724881,99,0.7255981316445295,True,False,0.2689828864597426,0.2589828864597426,0.8059307576553303,0.0561937213418304,0.805796415170593,0.0564830964597405,-0.0001343424847373,0.0040987879241349,0.0021257773377537,-0.0043523459134412,0.0040836609439666,-0.0631968750213817,99,0.9497371559989194,True,False,0.2689828864597426,0.2589828864597426,0.3015671590415361,0.0504429425600914,0.3008980084804322,0.0495793008537226,-0.0006691505611039,0.0046095676728213,0.0023906858996111,-0.005412790048845,0.0040744889266372,-0.2798989868191257,99,0.7801389905329952,True,False,0.2689828864597426,0.2589828864597426,1.0,False,1.0,False,1.0,False,False,0.02560515949586741,0.026502489748798628,0.010467331449151622,0.010494687484941558,5,100,727,0.5269568402254392,0.5296545929638661,0.123247047752594,0.1259498494522391,0.006599031914211897,-0.0125101015867621,0.0179056070636158,0.7255981316445295,1.0
standardized,NR,NR-AhR,HT29,20,5,100,516,10320,0.1434165614115317,0.5213510870214929,0.1434165614115317,0.0,0.0,0.0,,,,99,,False,True,0.2673001832990284,0.2573001832990284,0.8048287728765016,0.0629103107708537,0.8048287728765016,0.0629103107708537,0.0,0.0,0.0,,,,99,,False,True,0.2673001832990284,0.2573001832990284,0.2994231587186774,0.0558951034452685,0.2994231586191051,0.055895103434974,-9.957233398916188e-11,3.432926188046494e-10,1.7748599678840028e-10,,,,99,,False,True,0.2673001832990284,0.2573001832990284,1.0,False,1.0,False,1.0,False,False,0.036530099509086235,0.036530099509086235,0.014819701419314605,0.014819701419314605,5,100,516,0.5213510870214929,0.5213510870214929,0.1434165614115317,0.1434165614115317,0.0,,,,1.0
standardized,NR,NR-AhR,MCF7,20,5,100,1099,21980,0.123867538921613,0.4680097552348916,0.122895645015714,-0.0002968526761102,0.0074402701710345,0.0038737943822479,-0.0079833011560257,0.0073895958038053,-0.0766309842026142,99,0.9390717628980816,True,False,0.2710789021790365,0.2610789021790365,0.8090778639839897,0.0458292914702866,0.8095193660774385,0.046206394106322,0.0004415020934486,0.0033183816693299,0.0017277233182807,-0.0029866758022007,0.003869679989098,0.2555398128723658,99,0.7988363652881162,True,False,0.2710789021790365,0.2610789021790365,0.2683812055694401,0.0476149570341981,0.2681910628619542,0.0475866905735169,-0.0001901427074858,0.001436855366378,0.0007481021681238,-0.0016745397109375,0.0012942542959659,-0.2541667643641074,99,0.7998938830682301,True,False,0.2710789021790365,0.2610789021790365,1.0,False,1.0,False,0.959872659681876,False,False,0.018489964642300745,0.0178321603360153,0.008132182254770814,0.008413622357439176,5,100,1099,0.4683066079110018,0.4680097552348916,0.123867538921613,0.122895645015714,0.004044188881133776,-0.0079833011560257,0.0073895958038053,0.9390717628980816,1.0
standardized,NR,NR-Aromatase,HA1E,20,5,100,655,13100,0.127156409048289,0.4823290252352308,0.1346985834041281,0.0855566966375178,0.1014066921346273,0.0527571517771901,-0.0191249382320992,0.1902383315071348,1.621708029251662,99,0.1080465117897075,True,False,0.2706633479145751,0.2606633479145751,0.7481170101799772,0.0782233965025601,0.786530994868166,0.0729269447323114,0.0384139846881888,0.0438416619519873,0.0228087630616584,-0.0068435496216988,0.0836715189980766,1.6841765853038686,99,0.0952979980950425,True,False,0.2706633479145751,0.2606633479145751,0.2614768793323567,0.0525423148252153,0.2467909072239613,0.0494139651804202,-0.0146859721083953,0.0152440358722162,0.0079307577959425,-0.0304223161654142,0.0010503719486235,-1.8517741288113476,99,0.0670385034388618,True,False,0.2706633479145751,0.2606633479145751,0.6482790707382453,False,0.571787988570255,False,0.4022310206331713,False,False,0.026176097846841502,0.035290541687236464,0.015566095143653456,0.020340634455807114,5,100,655,0.3967723285977129,0.4823290252352308,0.127156409048289,0.1346985834041281,0.03247338809769876,-0.0191249382320992,0.1902383315071348,0.1080465117897075,0.6482790707382453
