variant,task,cell,repeat_id,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
residualized,NR-AR,HA1E,0,0.5117530973674658,0.7523974749312381,0.3826061119369836,0.1063994280110198,0.5117530973674658,0.7523974749312381,0.20800356582474616,0.053580817052449756,0.5117530973674658,0.7523974749312381,0.38260611149898766,0.10639942782999537,0.5117530973674658,0.7523974749312381,0.20800356565583616,0.05358081708196076,0.0,0.0,-4.3799591731286114e-10,-1.8102442878031867e-10,0.0,0.0,-1.6890999154917096e-10,2.9511013077687666e-11,0.0,0.0,-0.1746025458431515,-0.0528186107480346
residualized,NR-AR,HA1E,1,0.4689724238324538,0.7399987936157473,0.3832612981013782,0.106579319380223,0.4689724238324538,0.7399987936157473,0.2142612559935563,0.05571380776987195,0.4689724238324538,0.7399987936157473,0.3832612978080419,0.10657931927161066,0.4689724238324538,0.7399987936157473,0.21426125573520668,0.05571380776243116,0.0,0.0,-2.933362774903969e-10,-1.0861233024073158e-10,0.0,0.0,-2.583496028218946e-10,-7.440791038870742e-12,0.0,0.0,-0.1690000420728352,-0.050865511509179506
residualized,NR-AR,HA1E,2,0.467672108876683,0.7178453614150062,0.38365433782490016,0.10674453003469583,0.467672108876683,0.7178453614150062,0.20739085431100396,0.05327333733354346,0.46899540151678654,0.7237153823793668,0.3833903102944226,0.1067150840419953,0.467672108876683,0.7178453614150062,0.2073908540723152,0.05327333730874131,0.0013232926401034906,0.0058700209643606,-0.000264027530477573,-2.9445992700519175e-05,0.0,0.0,-2.3868873544330427e-10,-2.4802153386627168e-11,-0.0013232926401034906,-0.0058700209643606,-0.1759994562221074,-0.05344174673325401
residualized,NR-AR,HA1E,3,0.45671684135468027,0.7319862489595925,0.3809277872148257,0.10564469989098577,0.45671684135468027,0.7319862489595925,0.20574547096278986,0.0529090819307879,0.45671684135468027,0.7319862489595925,0.3809277868499072,0.10564469975956617,0.45671684135468027,0.7319862489595925,0.2057454706428327,0.052909081892889745,0.0,0.0,-3.64918451012386e-10,-1.31419611304473e-10,0.0,0.0,-3.1995718297039845e-10,-3.78981721005367e-11,0.0,0.0,-0.17518231620707453,-0.052735617866676424
residualized,NR-AR,HA1E,4,0.45672450501679884,0.6797855006102784,0.3871506370393701,0.10832859835636441,0.45672450501679884,0.6797855006102784,0.21250964167482939,0.0546764409663972,0.456456608818743,0.673643978580906,0.38723127339664115,0.10840140941864222,0.45672450501679884,0.6797855006102784,0.21250964141336115,0.05467644093308831,-0.0002678961980558836,-0.006141522029372492,8.06363572711022e-05,7.281106227781109e-05,0.0,0.0,-2.614681970936061e-10,-3.330888342922833e-11,0.0002678961980558836,0.006141522029372492,-0.17472163198328,-0.053724968485553914
residualized,NR-AR,HA1E,5,0.4433359594959009,0.7134964030378349,0.38021394869279224,0.10523800590638033,0.4433359594959009,0.7134964030378349,0.2160520053953085,0.056590808402122626,0.4433359594959009,0.7134964030378349,0.3802139483928707,0.1052380057994837,0.44534223336411766,0.7255119069138039,0.2154000023526737,0.05647231543749006,0.0,0.0,-2.9992158756542153e-10,-1.0689661655849392e-10,0.0020062738682168125,0.012015503875969002,-0.0006520030426348244,-0.00011849296463257165,0.0020062738682168125,0.012015503875969002,-0.164813946040197,-0.048765690361993644
residualized,NR-AR,HA1E,6,0.4327091554338519,0.7314282980783771,0.3807481787105914,0.10547459189853559,0.4327091554338519,0.7314282980783771,0.1997387978363004,0.050305521179140965,0.44545117910123827,0.7353722069302613,0.38029690543282213,0.10530293234779264,0.4327091554338519,0.7314282980783771,0.19973879743259135,0.05030552111637334,0.012742023667386382,0.003943908851884293,-0.0004512732777692041,-0.00017165955074294748,0.0,0.0,-4.037090717279312e-10,-6.27676237374697e-11,-0.012742023667386382,-0.003943908851884293,-0.1805581080002308,-0.0549974112314193
residualized,NR-AR,HA1E,7,0.4667564967104004,0.7307650379679278,0.3811858087546544,0.10577264148680374,0.4667564967104004,0.7307650379679278,0.20957685559897055,0.05420524809898384,0.4667564967104004,0.7307650379679278,0.38118580838790417,0.1057726413516736,0.48392858406967953,0.7345764074769717,0.20934062879014817,0.05408443175424118,0.0,0.0,-3.6675024128740574e-10,-1.3513015983956932e-10,0.017172087359279033,0.003811369509043927,-0.0002362268088224151,-0.00012081634474266773,0.017172087359279033,0.003811369509043927,-0.171845179597756,-0.05168820959743241
residualized,NR-AR,HA1E,8,0.4695903340840374,0.755656454113782,0.37671920253976915,0.10363382867542519,0.4695903340840374,0.755656454113782,0.20049738375275905,0.051553811516468,0.4721368974720807,0.761001927867687,0.37621415156658267,0.10348435347346156,0.4695903340840374,0.755656454113782,0.20049738351454974,0.05155381149993682,0.002546563388043238,0.005345473753904905,-0.0005050509731864938,-0.00014947520196360587,0.0,0.0,-2.382093189368106e-10,-1.65311687949643e-11,-0.002546563388043238,-0.005345473753904905,-0.17571676805203296,-0.05193054197352476
residualized,NR-AR,HA1E,9,0.3926540559617425,0.6763305059957545,0.385802844520321,0.10763409311217087,0.3926540559617425,0.6763305059957545,0.2107551431625899,0.05396143417030935,0.3926540559617425,0.6763305059957545,0.38580284410663784,0.10763409297281124,0.3926540559617425,0.6763305059957545,0.2107551428330424,0.05396143413685698,0.0,0.0,-4.136831099899041e-10,-1.393596238408179e-10,0.0,0.0,-3.2954752815506083e-10,-3.345238391849747e-11,0.0,0.0,-0.17504770127359548,-0.05367265883595427
