family,task,cell,panel_a_mean,panel_a_repeat_sd,panel_a_auprc_d_minus_c_mean,panel_a_auprc_d_minus_c_repeat_sd,panel_a_nb_mean,panel_a_nb_ci_low,panel_a_nb_ci_high,panel_a_nb_p_value,panel_a_n_outer_folds,panel_a_n_repeats,panel_a_bh_q_value,panel_b_mean,panel_b_repeat_sd,n_unique_compounds,panel_b_nb_mean,panel_b_nb_ci_low,panel_b_nb_ci_high,panel_b_nb_p_value,panel_b_bh_q_value,panel_b_n_outer_folds,panel_b_n_repeats
NR,NR-AR,HA1E,-0.1716945211306919,0.0046285273896016,0.0,0.0,-0.1716945211306919,-0.2062629454724245,-0.1371260967889594,2.2640363008234715e-16,100,20,9.056145203293886e-16,0.0872822629353784,0.0201412089093456,968,0.0872822629353784,0.0121393370246899,0.162425188846067,0.0232679329570586,0.1396075977423516,100,20
NR,NR-AR,HEPG2,-0.1923651806751448,0.0032546004826899,0.0,0.0,-0.1923651806751448,-0.2314990236676847,-0.153231337682605,3.773004681401204e-16,100,20,1.5092018725604816e-15,0.1083471209001274,0.0407145015855645,668,0.1083471209001274,-0.0104179120904591,0.2271121538907139,0.0733040872450914,0.2674443403384278,100,20
NR,NR-AR,HT29,-0.1741661019205943,0.0034730796953146,0.0,0.0,-0.1741661019205943,-0.2125709726169426,-0.135761231224246,1.66990239231763e-14,100,20,5.00970717695289e-14,0.084829868223327,0.0257803434079682,960,0.0848298682233271,-0.0063978383626209,0.1760575748092751,0.0680177104447294,0.2720708417789177,100,20
NR,NR-AR,MCF7,-0.1812759935254322,0.0045855469045465,0.0,0.0,-0.1812759935254322,-0.2092787111410455,-0.1532732759098189,8.277145712183298e-23,100,20,4.966287427309979e-22,0.1180182541303973,0.0248321068203137,1259,0.1180182541303973,0.0254410766193744,0.2105954316414202,0.0130006124469742,0.0895461335354398,100,20
NR,NR-AR-LBD,HA1E,-0.0307644951234336,0.0037943736407357,0.0,0.0,-0.0307644951234337,-0.0533368037922965,-0.008192186454571,0.0080575133638411,100,20,0.0080575133638411,-0.0050297871404483,0.0133452376116968,869,-0.0050297871404483,-0.0306667676376368,0.0206071933567401,0.6978986438078087,0.9371629442799876,100,20
NR,NR-AR-LBD,HEPG2,-0.0357409130662222,0.0044594386354997,0.0,0.0,-0.0357409130662223,-0.0622247846887435,-0.009257041443701,0.0086776097847028,100,20,0.0086776097847028,0.0031027644773158,0.0103838234312173,598,0.0031027644773158,-0.0263879181250808,0.0325934470797126,0.8350623336708496,0.9935344811247488,100,20
NR,NR-AR-LBD,HT29,-0.0339632587268595,0.0030989893242492,0.0,0.0,-0.0339632587268595,-0.0563281961745558,-0.0115983212791632,0.003282253112011,100,20,0.003282253112011,-0.0101159069649641,0.0132945188123186,862,-0.0101159069649641,-0.0413838711231668,0.0211520571932385,0.5223958449246804,0.7835937673870206,100,20
NR,NR-AR-LBD,MCF7,-0.0354763718528769,0.0040075071605122,0.0,0.0,-0.035476371852877,-0.0555894306234409,-0.015363313082313,0.000699399391944,100,20,0.000699399391944,0.0029911229304446,0.0151686754632877,1145,0.0029911229304446,-0.0373506990154699,0.0433329448763592,0.8833375127980784,0.9694595469224352,100,20
NR,NR-AhR,HA1E,-0.081724318256324,0.0058134514224524,0.0,0.0,-0.0817243182563241,-0.1155136853666712,-0.0479349511459769,5.647139556744783e-06,100,20,6.776567468093739e-06,0.0069574457197882,0.0072473165291553,849,0.0069574457197883,-0.0302467372318719,0.0441616286714485,0.7113837503820146,0.9371629442799876,100,20
NR,NR-AhR,HEPG2,-0.0979050706466584,0.0059783698080795,0.0,0.0,-0.0979050706466585,-0.1317366289130186,-0.0640735123802983,1.02851548644315e-07,100,20,1.542773229664725e-07,-0.0150259494300524,0.0222433307601975,585,-0.0150259494300524,-0.0864123870114427,0.0563604881513378,0.6771054289891516,0.9935344811247488,100,20
