family,task,cell,panel_a_mean,panel_a_repeat_sd,panel_a_auprc_d_minus_c_mean,panel_a_auprc_d_minus_c_repeat_sd,panel_a_nb_mean,panel_a_nb_ci_low,panel_a_nb_ci_high,panel_a_nb_p_value,panel_a_n_outer_folds,panel_a_n_repeats,panel_a_bh_q_value,panel_b_mean,panel_b_repeat_sd,n_unique_compounds,panel_b_nb_mean,panel_b_nb_ci_low,panel_b_nb_ci_high,panel_b_nb_p_value,panel_b_bh_q_value,panel_b_n_outer_folds,panel_b_n_repeats
NR,NR-AhR,HT29,-0.0906653940955371,0.0040318790166008,0.0,0.0,-0.0906653940955371,-0.1224925595453537,-0.0588382286457206,1.528209985034735e-07,100,20,2.2923149775521026e-07,0.0268662835662667,0.0117695039637834,841,0.0268662835662668,-0.030326748563452,0.0840593156959856,0.3535622475619796,0.7071244951239594,100,20
NR,NR-AhR,MCF7,-0.0920452202944139,0.006591786531937,0.0,0.0,-0.092045220294414,-0.1258809730803204,-0.0582094675085076,4.627092314968483e-07,100,20,6.169456419957977e-07,0.0206652634920142,0.0139741146331976,1111,0.0206652634920142,-0.027055396580737,0.0683859235647655,0.3922739395376911,0.7845478790753821,100,20
NR,NR-Aromatase,HA1E,-0.235349208685008,0.0076862360859068,0.0,0.0,-0.2353492086850081,-0.2858342804760673,-0.1848641368939489,4.732426700583261e-15,100,20,1.4197280101749784e-14,0.0125835772141202,0.0394197541524683,759,0.0125835772141203,-0.1506787920984904,0.1758459465267311,0.8787607322908988,0.9371629442799876,100,20
NR,NR-Aromatase,HEPG2,-0.2233987966051579,0.009972091544316,0.0,0.0,-0.2233987966051579,-0.279640185529047,-0.1671574076812688,4.3002253719467074e-12,100,20,1.2900676115840122e-11,-0.0005587365699413,0.0405347137776286,512,-0.0005587365699413,-0.1370269231516993,0.1359094500118165,0.9935344811247488,0.9935344811247488,100,20
NR,NR-Aromatase,HT29,-0.2335688197622694,0.0075419887354791,0.0,0.0,-0.2335688197622694,-0.28847546813565,-0.1786621713888888,2.7044628875330505e-13,100,20,5.408925775066101e-13,0.0166691934250057,0.03904541948834,758,0.0166691934250057,-0.1347470284878885,0.1680854153379,0.8275362877432013,0.8275362877432014,100,20
NR,NR-Aromatase,MCF7,-0.2372041512082626,0.0066800451467538,0.0,0.0,-0.2372041512082626,-0.2768973836749293,-0.197510918741596,1.0351619859454571e-20,100,20,3.1054859578363716e-20,0.0617323628007675,0.0332715621065334,1021,0.0617323628007675,-0.0687640522714492,0.1922287778729843,0.3501951443674178,0.7845478790753821,100,20
NR,NR-ER,HA1E,-0.1810919340457142,0.0086588698658803,0.0,0.0,-0.1810919340457143,-0.2246656129607979,-0.1375182551306307,7.09841335053928e-13,100,20,1.419682670107856e-12,0.051564245486303,0.0238927331047481,805,0.0515642454863031,-0.0110053460851107,0.1141338370577169,0.1051800168848992,0.3447199529306503,100,20
NR,NR-ER,HEPG2,-0.1855217272889427,0.0084040069091169,0.0,0.0,-0.1855217272889427,-0.2451211646361888,-0.1259222899416966,1.4562959750273668e-08,100,20,3.4951103400656804e-08,0.0565600106463933,0.0158252498132271,540,0.0565600106463934,-0.007593877879933,0.1207138991727199,0.0833302539260771,0.2674443403384278,100,20
NR,NR-ER,HT29,-0.1784858799067991,0.0068894266203076,0.0,0.0,-0.1784858799067992,-0.2197547486940003,-0.137217011119598,1.3405932885830193e-13,100,20,3.217423892599246e-13,0.0764712529883681,0.0121180611670157,799,0.0764712529883682,0.0059413050171784,0.1470012009595579,0.0338803546209108,0.2032821277254652,100,20
NR,NR-ER,MCF7,-0.191879236550948,0.0089537917251195,0.0,0.0,-0.191879236550948,-0.2355494873615294,-0.1482089857403667,6.779357908420969e-14,100,20,1.162175641443595e-13,0.062868302721892,0.0158793657542236,1067,0.0628683027218921,0.0045822767813265,0.1211543286624576,0.034794680747246,0.139178722988984,100,20
NR,NR-ER-LBD,HA1E,-0.2225495413112911,0.0044817432077173,0.0,0.0,-0.2225495413112911,-0.2598864445867153,-0.185212638035867,1.2031006327048551e-20,100,20,7.218603796229131e-20,0.1527124158969541,0.0362705983136891,907,0.1527124158969542,0.0214716268318583,0.28395320496205,0.0230311687393283,0.1396075977423516,100,20
NR,NR-ER-LBD,HEPG2,-0.2236122483734777,0.0047223298779755,0.0,0.0,-0.2236122483734777,-0.2638230464848411,-0.1834014502621143,6.155338337568875e-19,100,20,3.693203002541325e-18,0.1265620339912965,0.0461974967246315,620,0.1265620339912966,-0.0086119917318448,0.261736059714438,0.0661691082722583,0.2674443403384278,100,20
NR,NR-ER-LBD,HT29,-0.2219205533741366,0.0049200581323953,0.0,0.0,-0.2219205533741366,-0.2611574899063179,-0.1826836168419553,2.4085503569598285e-19,100,20,2.890260428351794e-18,0.1547410691291219,0.029279732056492,902,0.1547410691291219,0.0226980743181403,0.2867840639401036,0.022096944927142,0.2032821277254652,100,20
NR,NR-ER-LBD,MCF7,-0.2369446275074979,0.004338311582041,0.0,0.0,-0.236944627507498,-0.2730043748967613,-0.2008848801182347,3.251708524560664e-23,100,20,3.902050229472797e-22,0.1308918363424716,0.0431190935584751,1194,0.1308918363424717,-0.0038839513748032,0.2656676240597466,0.0568421067951374,0.1705263203854125,100,20
NR,NR-PPAR-gamma,HA1E,-0.1026350181352699,0.004021979651736,0.0,0.0,-0.1026350181352699,-0.1290121622306621,-0.0762578740398777,9.469667971105305e-12,100,20,1.6233716521894807e-11,0.0210747623201667,0.0289473848777275,811,0.0210747623201667,-0.0744130043148898,0.1165625289552233,0.6623914663117129,0.9371629442799876,100,20
NR,NR-PPAR-gamma,HEPG2,-0.1098977964362886,0.0059698122979457,0.0,0.0,-0.1098977964362887,-0.1459832515917647,-0.0738123412808127,2.6735777625469534e-08,100,20,4.583276164366206e-08,0.0594625824223505,0.0380976899237843,552,0.0594625824223506,-0.0532100986686862,0.1721352635133874,0.2975742836580385,0.7141782807792925,100,20
NR,NR-PPAR-gamma,HT29,-0.1077497216596335,0.0068839643455841,0.0,0.0,-0.1077497216596335,-0.1401277325945942,-0.0753717107246729,2.021726958203884e-09,100,20,3.465817642635229e-09,0.0382326099182922,0.0202449718740938,803,0.0382326099182923,-0.0414368796348131,0.1179020994713978,0.3433113865840771,0.7071244951239594,100,20
NR,NR-PPAR-gamma,MCF7,-0.1183730374396533,0.0046429847361996,0.0,0.0,-0.1183730374396533,-0.1402745258839941,-0.0964715489953125,2.8951824350302535e-18,100,20,6.948437844072608e-18,0.0483219001877773,0.0308078044391148,1073,0.0483219001877774,-0.0830639137273683,0.1797077141029231,0.4672553609836832,0.8010091902577428,100,20
SR,SR-ARE,HA1E,-0.0735974716446161,0.0077510382283541,0.0,0.0,-0.0735974716446161,-0.1121579206819904,-0.0350370226072419,0.0002615716757805,100,20,0.0002853509190332,-0.0154069630608707,0.0178929191887592,690,-0.0154069630608707,-0.068360660683794,0.0375467345620525,0.5650399158986841,0.9371629442799876,100,20
SR,SR-ARE,HEPG2,-0.0647670722206774,0.0087696517882218,0.0,0.0,-0.0647670722206774,-0.1055276514248776,-0.0240064930164772,0.0021403100672418,100,20,0.0023348837097183,-0.0298926642441279,0.020788890833023,451,-0.029892664244128,-0.0998234300011041,0.040038101512848,0.3983865534649603,0.7967731069299205,100,20
SR,SR-ARE,HT29,-0.0828500356268805,0.0058321963867307,0.0,0.0,-0.0828500356268806,-0.1180938258547892,-0.0476062453989719,9.698393257327252e-06,100,20,1.1638071908792703e-05,-0.0169668910177239,0.0177677412706258,682,-0.016966891017724,-0.0671794548695179,0.0332456728340699,0.5041196230974258,0.7835937673870206,100,20
SR,SR-ARE,MCF7,-0.0843475119174238,0.0094478525736486,0.0,0.0,-0.0843475119174238,-0.1237518575341053,-0.0449431663007423,4.891225684548088e-05,100,20,5.33588256496155e-05,0.0010215719340625,0.0190055347482288,923,0.0010215719340625,-0.0551434595832477,0.0571866034513729,0.9712829214988756,0.9712829214988756,100,20
SR,SR-ATAD5,HA1E,-0.056309275747866,0.0024582577341671,0.0,0.0,-0.0563092757478661,-0.0759494044902941,-0.036669147005438,1.3015374507738053e-07,100,20,1.9523061761607083e-07,-0.0371335981689565,0.0325412687455611,911,-0.0371335981689565,-0.1425443523715016,0.0682771560335886,0.4861968989932732,0.9371629442799876,100,20
SR,SR-ATAD5,HEPG2,-0.0599512422342875,0.0029132271768849,0.0,0.0,-0.0599512422342875,-0.0830620254931212,-0.0368404589754539,1.342985147448664e-06,100,20,1.7906468632648851e-06,0.0028833270118308,0.0379090103753924,619,0.0028833270118308,-0.1032219746946799,0.1089886287183415,0.9571079476002108,0.9935344811247488,100,20
SR,SR-ATAD5,HT29,-0.0553605813949985,0.0037629920101496,0.0,0.0,-0.0553605813949985,-0.0773217850535931,-0.033399377736404,2.462117902053192e-06,100,20,3.282823869404256e-06,0.0105052631890366,0.024596460622769,903,0.0105052631890366,-0.0772815276373906,0.098292054015464,0.812800626660043,0.8275362877432014,100,20
SR,SR-ATAD5,MCF7,-0.0639259223990778,0.003827520450707,0.0,0.0,-0.0639259223990779,-0.0850735885089797,-0.042778256289176,3.2759129505613925e-08,100,20,4.9138694258420894e-08,0.0124667008151423,0.0262478159132012,1196,0.0124667008151423,-0.0541422035129452,0.0790756051432299,0.7111545474280763,0.9694595469224352,100,20
SR,SR-HSE,HA1E,-0.2526621868529477,0.0049667035062838,0.0,0.0,-0.2526621868529478,-0.2936690247130902,-0.2116553489928054,1.6931536259883929e-21,100,20,2.031784351186072e-20,0.0879673254556807,0.0373650216837854,814,0.0879673254556807,-0.0217744972640412,0.1977091481754027,0.1149066509768834,0.3447199529306503,100,20
SR,SR-HSE,HEPG2,-0.2694145293429294,0.0080778934451836,0.0,0.0,-0.2694145293429295,-0.3162495871008903,-0.2225794715849685,9.297448330058313e-20,100,20,1.1156937996069976e-18,0.116988765616171,0.035846199866041,547,0.116988765616171,-0.0182249729148504,0.2522025041471925,0.0891481134461426,0.2674443403384278,100,20
SR,SR-HSE,HT29,-0.2482084413293371,0.0088035626615966,0.0,0.0,-0.2482084413293371,-0.2985283670269678,-0.1978885156317064,3.1836620912112733e-16,100,20,1.910197254726764e-15,0.1009091858303262,0.0221515461216804,806,0.1009091858303263,-0.0177589605053426,0.2195773321659953,0.0946990718469057,0.2840972155407173,100,20
SR,SR-HSE,MCF7,-0.2545377551783142,0.0074815687889597,0.0,0.0,-0.2545377551783142,-0.2960452969464247,-0.2130302134102038,2.2483790622467774e-21,100,20,8.993516248987111e-21,0.1297559283937977,0.0306163024342871,1077,0.1297559283937977,0.0258349075149211,0.2336769492726743,0.0149243555892399,0.0895461335354398,100,20
SR,SR-MMP,HA1E,-0.0820487298648433,0.0062801089581201,0.0,0.0,-0.0820487298648434,-0.111669472499619,-0.0524279872300678,3.023509312729553e-07,100,20,4.031345750306072e-07,-0.0020705407845201,0.0175794082817542,723,-0.0020705407845201,-0.0540514616446217,0.0499103800755815,0.9371629442799876,0.9371629442799876,100,20
SR,SR-MMP,HEPG2,-0.0576580527154096,0.0066651204678073,0.0,0.0,-0.0576580527154096,-0.0928110502640767,-0.0225050551667426,0.0015548571365224,100,20,0.0018658285638268,-0.0106575878969826,0.0177839683971,495,-0.0106575878969826,-0.0619376299957992,0.0406224542018339,0.6809510860083055,0.9935344811247488,100,20
SR,SR-MMP,HT29,-0.0864030471709055,0.0074349148704179,0.0,0.0,-0.0864030471709055,-0.1239496183189253,-0.0488564760228857,1.4314228706526308e-05,100,20,1.561552222530143e-05,0.0134900118505216,0.0143498609181278,717,0.0134900118505217,-0.0370588122297168,0.0640388359307603,0.5976234246326264,0.7968312328435019,100,20
SR,SR-MMP,MCF7,-0.0940075837543054,0.0068594219863433,0.0,0.0,-0.0940075837543054,-0.1301959807048024,-0.0578191868038085,1.3027608934088456e-06,100,20,1.5633130720906146e-06,-0.0034167449362691,0.0168699368286939,958,-0.0034167449362691,-0.0508481710113609,0.0440146811388226,0.8866328219590387,0.9694595469224352,100,20
SR,SR-p53,HA1E,-0.1602600456310257,0.0068180885485345,0.0,0.0,-0.1602600456310257,-0.1972728343735844,-0.1232472568884671,1.2771150174556248e-13,100,20,3.0650760418935e-13,-0.0095040067981276,0.0311703155950776,884,-0.0095040067981276,-0.1064422570665361,0.0874342434702809,0.846154600161493,0.9371629442799876,100,20
SR,SR-p53,HEPG2,-0.1529312857259653,0.0079323473116831,0.0,0.0,-0.1529312857259653,-0.2025738390185046,-0.103288732433426,1.9479727465074645e-08,100,20,3.895945493014929e-08,-0.0041894796241257,0.0332518009067746,603,-0.0041894796241257,-0.0877394277681897,0.0793604685199382,0.9209461257342824,0.9935344811247488,100,20
SR,SR-p53,HT29,-0.1612570259790274,0.0059107695661412,0.0,0.0,-0.1612570259790275,-0.196311174037174,-0.126202877920881,8.730273509183115e-15,100,20,3.4921094036732465e-14,0.0086950354380137,0.0318646402050167,877,0.0086950354380138,-0.0607130832573573,0.0781031541333849,0.8042076547843139,0.8275362877432014,100,20
SR,SR-p53,MCF7,-0.1748179646621351,0.0068299429387723,0.0,0.0,-0.1748179646621352,-0.2102102631814762,-0.1394256661427941,2.974173299011322e-16,100,20,5.948346598022644e-16,-0.0074680763831826,0.0253920980715598,1158,-0.0074680763831826,-0.1130515193053466,0.0981153665389814,0.8886712513455657,0.9694595469224352,100,20
