task,lincs_cell_line,analysis_cohort,lincs_exposure_h,chem_bio_auprc_old,chem_bio_auprc_new,delta_auprc_old,delta_auprc_new,nominal_p_value_old,nominal_p_value_new,nominal_significant_gain_old,nominal_significant_gain_new
NR-Aromatase,HT29,Primary full 6-h cohort,6,0.3759069249482121,0.3782585766216332,0.0037995968540817,0.0061512485275029,0.7911937993407162,0.7152063817303913,False,False
NR-Aromatase,MCF7,Primary full 6-h cohort,6,0.4261403949527395,0.4309741237708915,0.0172502087855739,0.022083937603726,0.3890780301023001,0.3251824112908632,False,False
NR-Aromatase,HA1E,Paired 6/24-h cohort,6,0.3834059180339947,0.4012696509607359,-0.0005789270629573,0.004497322363023,0.978274205722822,0.8934595796848119,False,False
NR-Aromatase,HA1E,Paired 6/24-h cohort,24,0.4617118177498402,0.4823290252352308,0.0649394891521273,0.0855566966375178,0.1692639537667189,0.1080465117897075,False,False
NR-Aromatase,HT29,Paired 6/24-h cohort,6,0.3759069249482121,0.3705657701687539,0.0037995968540817,0.0,0.7911937993407162,,False,False
NR-Aromatase,HT29,Paired 6/24-h cohort,24,0.3708956485786499,0.3708956485786499,0.0003298784098958,0.0003298784098958,0.8470511113185921,0.8470511113185921,False,False
NR-Aromatase,MCF7,Paired 6/24-h cohort,6,0.4261403949527395,0.4319541391735652,0.0172502087855739,0.0213118991347393,0.3890780301023001,0.3880326447945019,False,False
NR-Aromatase,MCF7,Paired 6/24-h cohort,24,0.5274411430225971,0.5383497949371577,0.1167989029837712,0.1277075548983317,0.0272403377803582,0.0141076161397998,True,True
NR-ER,HA1E,Primary full 6-h cohort,6,0.4299342961467183,0.4299342961467183,0.0,0.0,,,False,False
NR-ER,HEPG2,Primary full 6-h cohort,6,0.4774341002302447,0.4774205001966495,1.3600033595178e-05,0.0,0.8471179926026193,,False,False
NR-ER,HT29,Primary full 6-h cohort,6,0.419370133842031,0.419370133842031,0.0,0.0,,,False,False
NR-ER,MCF7,Primary full 6-h cohort,6,0.4020715864981175,0.4020698477064968,-0.0002017412112313,-0.000203480002852,0.9202019291398376,0.9195154182654453,False,False
NR-ER,HA1E,Paired 6/24-h cohort,6,0.4299342961467183,0.4411388017678759,0.0,-0.0001002827132761,,0.870165795648866,False,False
NR-ER,HA1E,Paired 6/24-h cohort,24,0.4400434978457568,0.4408105638854829,-0.0011955866353951,-0.000428520595669,0.788138805367514,0.9220812878653832,False,False
NR-ER,HT29,Paired 6/24-h cohort,6,0.419370133842031,0.4093111619897792,0.0,0.0,,,False,False
NR-ER,HT29,Paired 6/24-h cohort,24,0.4092143599031523,0.4092130883851554,-9.6802086627028e-05,-9.8073604623897e-05,0.8146488814753257,0.8150715660570709,False,False
NR-ER,MCF7,Paired 6/24-h cohort,6,0.4020715864981175,0.4067029340591344,-0.0002017412112313,-0.0001054491257916,0.9202019291398376,0.8226024759216881,False,False
NR-ER,MCF7,Paired 6/24-h cohort,24,0.4063922218361918,0.4065446485825346,-0.0004161613487341,-0.0002637346023913,0.9309359021201346,0.9648367910978288,False,False
NR-ER-LBD,HA1E,Primary full 6-h cohort,6,0.3848759735205316,0.3839035686471437,0.0,-0.0009724048733879,,0.8471836540132325,False,False
NR-ER-LBD,HEPG2,Primary full 6-h cohort,6,0.4038819995063205,0.4038819995063205,0.0,0.0,,,False,False
NR-ER-LBD,HT29,Primary full 6-h cohort,6,0.3977308047158233,0.3977308047158233,0.0003834452652427,0.0003834452652427,0.8469404536382787,0.8469404536382787,False,False
NR-ER-LBD,MCF7,Primary full 6-h cohort,6,0.4047270343095514,0.4180991299252984,0.0257579575009442,0.0391300531166913,0.5052070760124472,0.4145493966833683,False,False
NR-ER-LBD,HA1E,Paired 6/24-h cohort,6,0.3848759735205316,0.4041625009294046,0.0,-0.0067292507045551,,0.7960143920756136,False,False
NR-ER-LBD,HA1E,Paired 6/24-h cohort,24,0.4074455089374436,0.399706637180904,-0.0034462426965161,-0.0111851144530556,0.8062638949614812,0.6999025566520198,False,False
NR-ER-LBD,HT29,Paired 6/24-h cohort,6,0.3977308047158233,0.3753635759245645,0.0003834452652427,0.0,0.8469404536382787,,False,False
NR-ER-LBD,HT29,Paired 6/24-h cohort,24,0.3724182112966394,0.3691142851390949,-0.002945364627925,-0.0062492907854695,0.8372379477684972,0.6740853397946913,False,False
NR-ER-LBD,MCF7,Paired 6/24-h cohort,6,0.4047270343095514,0.4118226526489427,0.0257579575009442,0.0145337206615852,0.5052070760124472,0.6279269429309365,False,False
NR-ER-LBD,MCF7,Paired 6/24-h cohort,24,0.4108563199608454,0.4292305264139415,0.0135673879734879,0.031941594426584,0.477721441049841,0.3082930291307994,False,False
NR-PPAR-gamma,HA1E,Primary full 6-h cohort,6,0.2354274024261993,0.2354297553673758,-1.9611432229494e-05,-1.7258491053023e-05,0.8474114108386546,0.8474114108386546,False,False
NR-PPAR-gamma,HEPG2,Primary full 6-h cohort,6,0.2993734987941684,0.2993096181085177,-0.0003952352976743,-0.0004591159833249,0.8473574187972235,0.8547756967435854,False,False
NR-PPAR-gamma,HT29,Primary full 6-h cohort,6,0.193271020062843,0.1924101840747034,0.0001874136639638,-0.0006734223241757,0.851351919316433,0.9074774021497632,False,False
NR-PPAR-gamma,MCF7,Primary full 6-h cohort,6,0.2224564393669107,0.2224564393669107,0.0,0.0,,,False,False
NR-PPAR-gamma,HA1E,Paired 6/24-h cohort,6,0.2354274024261993,0.2408196295551695,-1.9611432229494e-05,-3.8776652842882994e-05,0.8474114108386546,0.9105518937314524,False,False
NR-PPAR-gamma,HA1E,Paired 6/24-h cohort,24,0.2408584062080124,0.2408584062080124,0.0,0.0,,,False,False
NR-PPAR-gamma,HT29,Paired 6/24-h cohort,6,0.193271020062843,0.2727325940156819,0.0001874136639638,-0.0055520766158684,0.851351919316433,0.7900488542085877,False,False
NR-PPAR-gamma,HT29,Paired 6/24-h cohort,24,0.2781640554782451,0.2767347728390305,-0.0001206151533053,-0.0015498977925199,0.8470895312654539,0.7668312410008797,False,False
NR-PPAR-gamma,MCF7,Paired 6/24-h cohort,6,0.2224564393669107,0.2118280638207826,0.0,0.0,,,False,False
NR-PPAR-gamma,MCF7,Paired 6/24-h cohort,24,0.2118280638207826,0.2118280638207826,0.0,0.0,,,False,False
SR-ARE,HA1E,Primary full 6-h cohort,6,0.4784262203610713,0.4787010232474711,0.0044016442854639,0.0046764471718637,0.604488318748767,0.5875629903796113,False,False
SR-ARE,HEPG2,Primary full 6-h cohort,6,0.5463633093380353,0.5530371507655053,0.0945281439955528,0.1012019854230227,0.0117869568517671,0.0042623326886877,True,True
SR-ARE,HT29,Primary full 6-h cohort,6,0.4508496526756964,0.4520460282834597,-5.305504184416703e-05,0.001143320565919,0.994475242866395,0.8882874174884303,False,False
SR-ARE,MCF7,Primary full 6-h cohort,6,0.4590914276372945,0.4591151738301088,0.0068222952874744,0.0068460414802886,0.5547128861497918,0.5410946259946955,False,False
SR-ARE,HA1E,Paired 6/24-h cohort,6,0.4784262203610713,0.4714156003881538,0.0044016442854639,0.002072503200539,0.604488318748767,0.8320855568980201,False,False
SR-ARE,HA1E,Paired 6/24-h cohort,24,0.4821914316695214,0.4817966800635551,0.0128483344819066,0.0124535828759403,0.4670342030140799,0.5013970111652466,False,False
SR-ARE,HT29,Paired 6/24-h cohort,6,0.4508496526756964,0.4982581542403144,-5.305504184416703e-05,0.0006439004642114,0.994475242866395,0.9427229117967268,False,False
SR-ARE,HT29,Paired 6/24-h cohort,24,0.4936494619765623,0.4915058075958645,-0.0039647917995406,-0.0061084461802385,0.8399755488232821,0.7730476468937117,False,False
SR-ARE,MCF7,Paired 6/24-h cohort,6,0.4590914276372945,0.4503722584158079,0.0068222952874744,0.0016997237064933,0.5547128861497918,0.8920382503107864,False,False
SR-ARE,MCF7,Paired 6/24-h cohort,24,0.4613415268868969,0.4627297430216303,0.0126689921775823,0.0140572083123156,0.4644836554210698,0.4198030513699918,False,False
SR-ATAD5,HA1E,Primary full 6-h cohort,6,0.2931889195164826,0.293208336840692,-0.0017928235425839,-0.0017734062183745,0.8604999134400843,0.8938972520427654,False,False
SR-ATAD5,HEPG2,Primary full 6-h cohort,6,0.3728068575309058,0.3679302176720641,0.0005897772265477,-0.0042868626322939,0.9803495718813594,0.8176285002793368,False,False
SR-ATAD5,HT29,Primary full 6-h cohort,6,0.3143175317442555,0.315731804204206,0.0074937026189247,0.0089079750788752,0.6307761224373506,0.7009953516556193,False,False
SR-ATAD5,MCF7,Primary full 6-h cohort,6,0.2592036222402492,0.2603304637967199,0.0056106579163552,0.006737499472826,0.7004258596189463,0.6626733427010023,False,False
SR-ATAD5,HA1E,Paired 6/24-h cohort,6,0.2931889195164826,0.3099052289182783,-0.0017928235425839,-0.0015920215264932,0.8604999134400843,0.8470645762756321,False,False
SR-ATAD5,HA1E,Paired 6/24-h cohort,24,0.3345544996345233,0.3365925750085015,0.0230572491897516,0.0250953245637299,0.5179132510503806,0.4845315787435982,False,False
SR-ATAD5,HT29,Paired 6/24-h cohort,6,0.3143175317442555,0.3064140970762729,0.0074937026189247,-0.0011677690184659,0.6307761224373506,0.8468749241312379,False,False
SR-ATAD5,HT29,Paired 6/24-h cohort,24,0.3075818660947388,0.3075818660947388,0.0,0.0,,,False,False
SR-ATAD5,MCF7,Paired 6/24-h cohort,6,0.2592036222402492,0.2581264954079476,0.0056106579163552,0.0007372659755547,0.7004258596189463,0.9162053345714286,False,False
SR-ATAD5,MCF7,Paired 6/24-h cohort,24,0.3124504294319373,0.3186360003620733,0.0550611999995443,0.0612467709296804,0.3486774397866139,0.3148953208460525,False,False
SR-HSE,HA1E,Primary full 6-h cohort,6,0.2466699928520636,0.2484177877498885,0.01295958978437,0.0147073846821949,0.5803351146097024,0.555864918508837,False,False
SR-HSE,HEPG2,Primary full 6-h cohort,6,0.2551971403124494,0.251992020042995,-0.0133031448938212,-0.0165082651632756,0.792971114582408,0.7418614709231122,False,False
SR-HSE,HT29,Primary full 6-h cohort,6,0.2514561808155387,0.2508193942751385,-0.0023489943809507,-0.0029857809213508,0.8569367343290122,0.8248266974052029,False,False
SR-HSE,MCF7,Primary full 6-h cohort,6,0.2471356030502891,0.2450665056021592,-0.0005694853068469,-0.0026385827549768,0.9658545176062112,0.8734356777136253,False,False
SR-HSE,HA1E,Paired 6/24-h cohort,6,0.2466699928520636,0.2366195307602872,0.01295958978437,0.005492746365904,0.5803351146097024,0.8526377677537458,False,False
SR-HSE,HA1E,Paired 6/24-h cohort,24,0.2369579929552356,0.2382363997756582,0.0058312085608524,0.007109615381275,0.7888981772475732,0.7738696297468033,False,False
SR-HSE,HT29,Paired 6/24-h cohort,6,0.2514561808155387,0.2925533420481225,-0.0023489943809507,-0.0040181975682419,0.8569367343290122,0.8085158542080817,False,False
SR-HSE,HT29,Paired 6/24-h cohort,24,0.29869931325252,0.2986524212889627,0.0021277736361556,0.0020808816725982,0.8772933242739611,0.8800087507516842,False,False
SR-HSE,MCF7,Paired 6/24-h cohort,6,0.2471356030502891,0.238480740677717,-0.0005694853068469,-0.0001504029100021,0.9658545176062112,0.9706012242890708,False,False
SR-HSE,MCF7,Paired 6/24-h cohort,24,0.2523864494383064,0.2537523993257435,0.0137553058505873,0.0151212557380244,0.7352835328894116,0.7118588179589257,False,False
SR-MMP,HA1E,Primary full 6-h cohort,6,0.6423556431210795,0.6462338768624327,0.0546532400350487,0.058531473776402,0.0109204181584307,0.0063333994205457,True,True
SR-MMP,HEPG2,Primary full 6-h cohort,6,0.6824131100482377,0.6860393421543346,0.0668233826835332,0.07044961478963,0.0197778223086575,0.0144826301901066,True,True
SR-MMP,HT29,Primary full 6-h cohort,6,0.632905974898076,0.6425872768757418,0.0697388617379532,0.0794201637156189,0.0173988300081216,0.0022676825650382,True,True
SR-MMP,MCF7,Primary full 6-h cohort,6,0.6214783829126503,0.6350226971551362,0.0944156927893339,0.1079600070318198,0.0021033474795257,0.0002341611072001,True,True
SR-MMP,HA1E,Paired 6/24-h cohort,6,0.6423556431210795,0.6273514096120839,0.0546532400350487,0.0566568425364491,0.0109204181584307,0.0291895432402216,True,True
SR-MMP,HA1E,Paired 6/24-h cohort,24,0.6803737079016117,0.6813584544715873,0.1096791408259768,0.1106638873959524,0.0083681815082423,0.0077084496581681,True,True
SR-MMP,HT29,Paired 6/24-h cohort,6,0.632905974898076,0.5798374326786309,0.0697388617379532,0.0332070599699301,0.0173988300081216,0.3583041452076415,True,False
SR-MMP,HT29,Paired 6/24-h cohort,24,0.5511763796906807,0.5533233391970299,0.0045460069819799,0.0066929664883291,0.7069283525477328,0.6242193034490338,False,False
SR-MMP,MCF7,Paired 6/24-h cohort,6,0.6214783829126503,0.6322191487052433,0.0944156927893339,0.103654011204078,0.0021033474795257,0.0008959401466975,True,True
SR-MMP,MCF7,Paired 6/24-h cohort,24,0.6512359528571953,0.6593604427123259,0.1226708153560302,0.1307953052111605,0.0032499307236747,0.0013097926111077,True,True
SR-p53,HA1E,Primary full 6-h cohort,6,0.396869385911808,0.4043344345705722,0.0354240029276751,0.0428890515864393,0.2500611895283424,0.1775386530662339,False,False
SR-p53,HEPG2,Primary full 6-h cohort,6,0.3848558270479607,0.3946017996860944,0.0408322772527901,0.0505782498909239,0.2567758388450358,0.1804403824135611,False,False
SR-p53,HT29,Primary full 6-h cohort,6,0.4213305528134913,0.4273655367447195,0.0832957769902746,0.0893307609215028,0.0877698186751363,0.0679730765981944,False,False
SR-p53,MCF7,Primary full 6-h cohort,6,0.3852005095174036,0.3965285913060047,0.0901243187085813,0.1014524004971825,0.0842820566803121,0.031815112926932,False,True
SR-p53,HA1E,Paired 6/24-h cohort,6,0.396869385911808,0.369650782622286,0.0354240029276751,0.0192404773461007,0.2500611895283424,0.4805048855332926,False,False
SR-p53,HA1E,Paired 6/24-h cohort,24,0.3741357561653554,0.3808859758370589,0.0237254508891701,0.0304756705608736,0.3931575277840601,0.2983447287804843,False,False
SR-p53,HT29,Paired 6/24-h cohort,6,0.4213305528134913,0.3911421756090036,0.0832957769902746,0.0174696002585969,0.0877698186751363,0.5242572279878647,False,False
SR-p53,HT29,Paired 6/24-h cohort,24,0.3984225532889216,0.3994805877351661,0.0247499779385149,0.0258080123847594,0.365231720062081,0.3551748662293308,False,False
SR-p53,MCF7,Paired 6/24-h cohort,6,0.3852005095174036,0.3905524824373521,0.0901243187085813,0.0970228573875002,0.0842820566803121,0.070453812212233,False,False
SR-p53,MCF7,Paired 6/24-h cohort,24,0.4992451580197516,0.5084174015722295,0.2057155329698997,0.2148877765223776,0.0014471161477065,0.0002932245041903,True,True
