task,lincs_cell_line,analysis_cohort,lincs_exposure_h,chem_bio_auprc_old,chem_bio_auprc_new,delta_auprc_old,delta_auprc_new,nominal_p_value_old,nominal_p_value_new,nominal_significant_gain_old,nominal_significant_gain_new
NR-AR,HA1E,Primary full 6-h cohort,6,0.4609609392967313,0.4610067637799049,0.0003848974026439,0.0004307218858175,0.7555336756461302,0.944205028277692,False,False
NR-AR,HEPG2,Primary full 6-h cohort,6,0.5368775232288627,0.5368775232288627,0.0,0.0,,,False,False
NR-AR,HT29,Primary full 6-h cohort,6,0.45749012004264,0.45749012004264,0.0,0.0,,,False,False
NR-AR,MCF7,Primary full 6-h cohort,6,0.4585775986032021,0.4585775986032021,1.9713805375805e-05,1.9713805375805e-05,0.8476466200952134,0.8476466200952134,False,False
NR-AR,HA1E,Paired 6/24-h cohort,6,0.4609609392967313,0.4320317176773424,0.0003848974026439,-0.0002381715282623,0.7555336756461302,0.8659876997780238,False,False
NR-AR,HA1E,Paired 6/24-h cohort,24,0.4323396277105096,0.4322098280507019,6.973850490484802e-05,-6.0061154902840005e-05,0.9721738904438756,0.9511614361011572,False,False
NR-AR,HT29,Paired 6/24-h cohort,6,0.45749012004264,0.385077282261887,0.0,0.0,,,False,False
NR-AR,HT29,Paired 6/24-h cohort,24,0.385077282261887,0.385077282261887,0.0,0.0,,,False,False
NR-AR,MCF7,Paired 6/24-h cohort,6,0.4585775986032021,0.4596904812794978,1.9713805375805e-05,0.0,0.8476466200952134,,False,False
NR-AR,MCF7,Paired 6/24-h cohort,24,0.4596904812794978,0.4596904812794978,0.0,0.0,,,False,False
NR-AR-LBD,HA1E,Primary full 6-h cohort,6,0.553857307831608,0.553857307831608,0.0,0.0,,,False,False
NR-AR-LBD,HEPG2,Primary full 6-h cohort,6,0.5544438743163795,0.5542381566895949,3.967018861558499e-05,-0.000166047438169,0.9346576022970964,0.7817270184969931,False,False
NR-AR-LBD,HT29,Primary full 6-h cohort,6,0.5615929477050128,0.5610856754326384,0.0009045480559007,0.0003972757835264,0.7919377148018357,0.7707961052739083,False,False
NR-AR-LBD,MCF7,Primary full 6-h cohort,6,0.5838636698355809,0.5845693123225536,0.0024154786324312,0.0031211211194038,0.5812544964782194,0.5927389678198691,False,False
NR-AR-LBD,HA1E,Paired 6/24-h cohort,6,0.553857307831608,0.5027177274640572,0.0,0.0,,,False,False
NR-AR-LBD,HA1E,Paired 6/24-h cohort,24,0.5027027508684232,0.5027137654659084,-1.497659563406399e-05,-3.961998148879998e-06,0.9927640691454732,0.9980907104428068,False,False
NR-AR-LBD,HT29,Paired 6/24-h cohort,6,0.5615929477050128,0.5099103498454346,0.0009045480559007,2.9826765339693e-05,0.7919377148018357,0.819711832485384,False,False
NR-AR-LBD,HT29,Paired 6/24-h cohort,24,0.5098805230800949,0.5098805230800949,0.0,0.0,,,False,False
NR-AR-LBD,MCF7,Paired 6/24-h cohort,6,0.5838636698355809,0.5842432774703127,0.0024154786324312,0.0008878418701385,0.5812544964782194,0.7773290409143793,False,False
NR-AR-LBD,MCF7,Paired 6/24-h cohort,24,0.5858070927006981,0.5857963858422862,0.0024516571005239,0.0024409502421121,0.767167560475446,0.7697526947826027,False,False
NR-AhR,HA1E,Primary full 6-h cohort,6,0.5255358215216103,0.5255419587493436,-0.0005592426574832,-0.0005531054297498,0.8324329604230154,0.8323396445070572,False,False
NR-AhR,HEPG2,Primary full 6-h cohort,6,0.4808343716244733,0.4820646059083383,0.0040377754925009,0.0052680097763659,0.6256217852244648,0.5801972250723303,False,False
NR-AhR,HT29,Primary full 6-h cohort,6,0.4786880370264162,0.4787694530267092,2.6443988440706e-05,0.0001078599887337,0.8472139054521463,0.8472139054521463,False,False
NR-AhR,MCF7,Primary full 6-h cohort,6,0.4725351686524144,0.4722419225537828,-0.0002023764349529,-0.0004956225335845,0.8478422595440788,0.8477052676114059,False,False
NR-AhR,HA1E,Paired 6/24-h cohort,6,0.5255358215216103,0.5271012675100305,-0.0005592426574832,0.0001444272845912,0.8324329604230154,0.8633137214210608,False,False
NR-AhR,HA1E,Paired 6/24-h cohort,24,0.529300305776417,0.5296545929638661,0.0023434655509777,0.0026977527384268,0.7099793337345467,0.7255981316445295,False,False
NR-AhR,HT29,Paired 6/24-h cohort,6,0.4786880370264162,0.5213510870214929,2.6443988440706e-05,0.0,0.8472139054521463,,False,False
NR-AhR,HT29,Paired 6/24-h cohort,24,0.5214271654193804,0.5213510870214929,7.6078397887462e-05,0.0,0.8470266846930674,,False,False
NR-AhR,MCF7,Paired 6/24-h cohort,6,0.4725351686524144,0.4679691656716652,-0.0002023764349529,-0.0003374422393365,0.8478422595440788,0.8589073701175524,False,False
NR-AhR,MCF7,Paired 6/24-h cohort,24,0.4685092639863274,0.4680097552348916,0.0002026560753256,-0.0002968526761102,0.9556107803425112,0.9390717628980816,False,False
NR-Aromatase,HA1E,Primary full 6-h cohort,6,0.3834059180339947,0.3840930230327541,-0.0005789270629573,0.0001081779358019,0.978274205722822,0.997216518288426,False,False
NR-Aromatase,HEPG2,Primary full 6-h cohort,6,0.3519502319291839,0.3564462067456475,0.0057178052589437,0.0102137800754071,0.7609490372060436,0.6185361817695909,False,False
