task,cell,repeat_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_compounds,n_positive,n_negative
NR-AR,HA1E,0,2042,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154,830,59,771
NR-AR,HA1E,1,3042,3042,211ab1f5179a87c0e65fa8c932f38443964a86f791d8ba1dc5e461ddd4d72b68,830,59,771
NR-AR,HA1E,2,4042,4042,8ec0ce2292a43d55f18f65a2c905524bf11947c46f75407d2981c1a8cfad0313,830,59,771
NR-AR,HA1E,3,5042,5042,8638aac507e8ade30d3b8bafa715e047985bf1fdcaa8b15bc7602860f5163457,830,59,771
NR-AR,HA1E,4,6042,6042,8a361dc1234b396f7074e9382c6c05904c62b7c1b3c2197fca2e44f74eec15a5,830,59,771
NR-AR,HA1E,5,7042,7042,085c9f97a95ebb4bc0587e8d1f6aaf8286d1f223013a59bb567a499e9b3575d7,830,59,771
NR-AR,HA1E,6,8042,8042,329b1fa3b976e60fcbe29addae0deb576556a095273b8123f89ee4a906d6bbd0,830,59,771
NR-AR,HA1E,7,9042,9042,3e193421394c7d00234ac0a51e299634426209f761cf8da727a013382d748579,830,59,771
NR-AR,HA1E,8,10042,10042,a016a5966e446522c397cf83838efe41beb1a78a8f4e875ac5a78f84c010e20d,830,59,771
NR-AR,HA1E,9,11042,11042,2557035400ed8f8ab1cab4cd03a999d292fdd5d0325c61ef60aa2dbaa580e597,830,59,771
NR-AR,HA1E,10,12042,12042,74edab83c3eb1131756797726ef55ddf79f457669b7dcacf6a9143876db6d0cc,830,59,771
NR-AR,HA1E,11,13042,13042,ddc82e13c02138dcd798379f9d103ad60932c9198111abf0ccdf4adc7f189f45,830,59,771
NR-AR,HA1E,12,14042,14042,ff921422d16dab0cbdce863abeed61b401b564b80884412b5074944342529c96,830,59,771
NR-AR,HA1E,13,15042,15042,861cc09598aea355b6ee9f1eebb68bf2c8e6690542dd27587025fcb262aa5044,830,59,771
NR-AR,HA1E,14,16042,16042,47c1ac3a8c9d91ffc76eaa621a626f5db4b7ba5b1d1ffcb98de7a5e98eae0f6d,830,59,771
